reference,method,metric,seed,difference
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,2101606466,0.006040000000000156
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1872839281,0.0049600000000000755
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,637029796,0.005760000000000098
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1357204345,0.006079999999999974
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1758462037,0.0011200000000000099
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,748737880,0.006159999999999943
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1611510062,0.005799999999999805
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,333205446,0.00888000000000011
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,130501536,0.008680000000000021
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,492612040,-0.0014399999999999968
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,2101606466,-0.011249999999999954
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1872839281,-0.010099999999999998
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,637029796,-0.012850000000000028
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1357204345,-0.012750000000000011
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1758462037,-0.006000000000000061
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,748737880,-0.01325000000000004
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1611510062,-0.014599999999999974
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,333205446,-0.01674999999999996
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,130501536,-0.015500000000000014
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,492612040,-0.0037000000000000366
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,2101606466,0.011249999999999954
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,1872839281,0.010099999999999998
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,637029796,0.01300000000000004
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,1357204345,0.012750000000000011
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,1758462037,0.006000000000000061
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,748737880,0.01325000000000004
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,1611510062,0.014599999999999974
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,333205446,0.01674999999999996
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,130501536,0.015500000000000014
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,492612040,0.0037000000000000366
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,2101606466,-0.005350000000000001
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,1872839281,0.0029500000000000012
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,637029796,-0.02175
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,1357204345,-0.006850000000000002
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,1758462037,-0.010600000000000002
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,748737880,-0.006700000000000006
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,1611510062,-0.0029999999999999923
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,333205446,0.005899999999999999
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,130501536,0.0012500000000000011
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,492612040,-0.01455
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,2101606466,0.006040000000000156
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,1872839281,0.0049600000000000755
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,637029796,0.005760000000000098
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,1357204345,0.006079999999999974
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,1758462037,0.0011200000000000099
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,748737880,0.006159999999999943
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,1611510062,0.005799999999999805
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,333205446,0.00888000000000011
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,130501536,0.008680000000000021
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,492612040,-0.0014399999999999968
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_forgetting,2101606466,-0.011249999999999954
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_forgetting,1872839281,-0.010099999999999998
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_forgetting,637029796,-0.012850000000000028
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_forgetting,1357204345,-0.012750000000000011
