reference,method,metric,seed,difference
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,2101606466,0.0693999999999999
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,1872839281,0.10304000000000002
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,637029796,0.06764000000000014
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,1357204345,0.06396000000000024
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,1758462037,0.12256000000000011
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,748737880,0.10239999999999994
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,1611510062,0.09023999999999999
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,333205446,0.09796000000000005
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,130501536,0.0611600000000001
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,492612040,0.03744000000000003
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,2101606466,-0.09045
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,1872839281,-0.13415000000000005
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,637029796,-0.08795
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,1357204345,-0.08415000000000003
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,1758462037,-0.15744999999999995
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,748737880,-0.13230000000000008
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,1611510062,-0.11879999999999999
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,333205446,-0.12814999999999996
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,130501536,-0.08244999999999994
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,492612040,-0.051700000000000024
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,2101606466,0.09045
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,1872839281,0.13415000000000005
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,637029796,0.08795
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,1357204345,0.08415000000000003
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,1758462037,0.15744999999999995
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,748737880,0.13230000000000008
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,1611510062,0.11879999999999999
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,333205446,0.12814999999999996
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,130501536,0.08244999999999994
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,492612040,0.051700000000000024
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,2101606466,0.0019999999999999983
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,1872839281,0.006450000000000001
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,637029796,-0.023499999999999997
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,1357204345,-0.020550000000000006
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,1758462037,-0.009299999999999992
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,748737880,0.0007500000000000007
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,1611510062,-0.0024499999999999973
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,333205446,0.01065
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,130501536,-0.008000000000000004
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,492612040,-0.02005
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,2101606466,0.0693999999999999
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,1872839281,0.10304000000000002
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,637029796,0.06764000000000014
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,1357204345,0.06396000000000024
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,1758462037,0.12256000000000011
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,748737880,0.10239999999999994
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,1611510062,0.09023999999999999
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,333205446,0.09796000000000005
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,130501536,0.0611600000000001
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,492612040,0.03744000000000003
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,2101606466,-0.09045
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,1872839281,-0.13415000000000005
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,637029796,-0.08795
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,1357204345,-0.08415000000000003
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,1758462037,-0.15744999999999995
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,748737880,-0.13230000000000008
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,1611510062,-0.11879999999999999
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,333205446,-0.12814999999999996
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,130501536,-0.08244999999999994
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,492612040,-0.051700000000000024
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,2101606466,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,1872839281,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,637029796,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,1357204345,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,1758462037,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,748737880,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,1611510062,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,333205446,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,130501536,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,492612040,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,2101606466,8.181958477995067
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,1872839281,8.49790320800821
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,637029796,8.043285029001709
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,1357204345,8.366973882999446
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,1758462037,8.019068677007454
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,748737880,8.932586476003053
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,1611510062,8.269220469002903
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,333205446,8.683374004001962
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,130501536,8.650048720002815
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,492612040,8.480117658007657
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,2101606466,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,1872839281,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,637029796,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,1357204345,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,1758462037,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,748737880,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,1611510062,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,333205446,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,130501536,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,492612040,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,total_model_examples_processed,2101606466,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,total_model_examples_processed,1872839281,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,total_model_examples_processed,637029796,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,total_model_examples_processed,1357204345,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,total_model_examples_processed,1758462037,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,total_model_examples_processed,748737880,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,total_model_examples_processed,1611510062,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,total_model_examples_processed,333205446,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,total_model_examples_processed,130501536,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,total_model_examples_processed,492612040,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_total_flops,2101606466,3659566080.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_total_flops,1872839281,3659566080.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_total_flops,637029796,3659566080.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_total_flops,1357204345,3659566080.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_total_flops,1758462037,3659566080.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_total_flops,748737880,3659566080.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_total_flops,1611510062,3659566080.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_total_flops,333205446,3659566080.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_total_flops,130501536,3659566080.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_total_flops,492612040,3659566080.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_overhead_flops,2101606466,3659566080.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_overhead_flops,1872839281,3659566080.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_overhead_flops,637029796,3659566080.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_overhead_flops,1357204345,3659566080.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_overhead_flops,1758462037,3659566080.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_overhead_flops,748737880,3659566080.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_overhead_flops,1611510062,3659566080.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_overhead_flops,333205446,3659566080.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_overhead_flops,130501536,3659566080.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_overhead_flops,492612040,3659566080.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_memory_bytes,2101606466,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_memory_bytes,1872839281,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_memory_bytes,637029796,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_memory_bytes,1357204345,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_memory_bytes,1758462037,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_memory_bytes,748737880,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_memory_bytes,1611510062,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_memory_bytes,333205446,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_memory_bytes,130501536,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_memory_bytes,492612040,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,stored_logits_bytes,2101606466,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,stored_logits_bytes,1872839281,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,stored_logits_bytes,637029796,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,stored_logits_bytes,1357204345,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,stored_logits_bytes,1758462037,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,stored_logits_bytes,748737880,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,stored_logits_bytes,1611510062,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,stored_logits_bytes,333205446,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,stored_logits_bytes,130501536,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,stored_logits_bytes,492612040,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_metadata_bytes,2101606466,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_metadata_bytes,1872839281,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_metadata_bytes,637029796,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_metadata_bytes,1357204345,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_metadata_bytes,1758462037,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_metadata_bytes,748737880,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_metadata_bytes,1611510062,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_metadata_bytes,333205446,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_metadata_bytes,130501536,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_metadata_bytes,492612040,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selector_forward_examples,2101606466,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selector_forward_examples,1872839281,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selector_forward_examples,637029796,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selector_forward_examples,1357204345,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selector_forward_examples,1758462037,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selector_forward_examples,748737880,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selector_forward_examples,1611510062,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selector_forward_examples,333205446,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selector_forward_examples,130501536,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selector_forward_examples,492612040,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selection_seconds,2101606466,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selection_seconds,1872839281,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selection_seconds,637029796,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selection_seconds,1357204345,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selection_seconds,1758462037,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selection_seconds,748737880,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selection_seconds,1611510062,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selection_seconds,333205446,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selection_seconds,130501536,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selection_seconds,492612040,0.0
