reference,method,metric,seed,difference
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,2101606466,0.0023600000000001398
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1872839281,0.0012399999999999078
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,637029796,0.0024800000000000377
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1357204345,0.007319999999999993
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1758462037,0.004999999999999893
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,748737880,0.0045600000000000085
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1611510062,0.0011599999999999389
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,333205446,0.008200000000000096
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,130501536,0.0033999999999999586
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,492612040,0.0008000000000001339
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,2101606466,-0.007300000000000029
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1872839281,-0.006750000000000006
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,637029796,-0.007799999999999974
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1357204345,-0.01419999999999999
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1758462037,-0.010649999999999993
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,748737880,-0.011149999999999965
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1611510062,-0.00959999999999997
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,333205446,-0.015400000000000025
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,130501536,-0.00949999999999998
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,492612040,-0.006099999999999994
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,2101606466,0.007300000000000029
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,1872839281,0.006750000000000006
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,637029796,0.007799999999999974
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,1357204345,0.01419999999999999
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,1758462037,0.010649999999999993
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,748737880,0.011149999999999965
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,1611510062,0.00959999999999997
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,333205446,0.015400000000000025
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,130501536,0.00949999999999998
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,492612040,0.006099999999999994
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,2101606466,0.0020000000000000018
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,1872839281,0.0021000000000000046
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,637029796,-0.031599999999999996
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,1357204345,-0.016700000000000003
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,1758462037,-0.010699999999999994
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,748737880,-0.006349999999999998
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,1611510062,-0.011
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,333205446,-0.012250000000000004
