reference,method,metric,seed,difference
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,2101606466,0.0034000000000000002
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,1872839281,0.0003999999999999976
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,637029796,0.00010000000000000286
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,1357204345,0.002799999999999997
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,1758462037,-0.0011999999999999997
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,748737880,-0.0025000000000000022
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,1611510062,0.0015999999999999973
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,333205446,-0.0003999999999999976
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,130501536,-0.003600000000000006
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,492612040,0.0030999999999999917
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,2101606466,0.007000000000000006
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,1872839281,-0.0013333333333332975
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,637029796,0.004444444444444362
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,1357204345,0.005333333333333301
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,1758462037,0.009666666666666712
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,748737880,-0.0014444444444443594
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,1611510062,0.007555555555555649
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,333205446,-0.00855555555555565
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,130501536,-0.00477777777777777
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,492612040,0.006333333333333302
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,2101606466,-0.007000000000000006
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,1872839281,0.0013333333333332975
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,637029796,-0.004444444444444362
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,1357204345,-0.005333333333333301
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,1758462037,-0.009666666666666712
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,748737880,0.0014444444444443594
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,1611510062,-0.007555555555555649
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,333205446,0.00855555555555565
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,130501536,0.00477777777777777
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,492612040,-0.006333333333333302
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,2101606466,-0.00022222222222222435
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,1872839281,0.00011111111111111391
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,637029796,-0.00022222222222222435
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,1357204345,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,1758462037,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,748737880,0.0001111111111111113
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,1611510062,0.0003333333333333313
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,333205446,-0.0003333333333333348
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,130501536,-0.00022222222222222435
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,492612040,-0.00011111111111111044
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,2101606466,0.007000000000000006
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,1872839281,-0.0005000000000000004
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,637029796,-0.004599999999999993
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,1357204345,0.007800000000000001
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,1758462037,0.019799999999999984
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,748737880,0.003300000000000025
