reference,method,metric,seed,difference
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,2101606466,-0.0009000000000000119
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1872839281,-0.014499999999999957
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,637029796,-0.014500000000000013
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1357204345,-0.020100000000000007
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1758462037,-0.005899999999999961
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,748737880,-0.00040000000000001146
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1611510062,-0.011199999999999988
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,333205446,0.0019999999999999463
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,130501536,-0.01100000000000001
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,492612040,-0.022299999999999986
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,2101606466,-0.03775000000000006
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1872839281,-0.021375000000000033
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,637029796,-0.008749999999999925
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1357204345,-0.009874999999999856
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1758462037,-0.0378750000000001
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,748737880,-0.026374999999999926
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1611510062,-0.019499999999999962
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,333205446,-0.038250000000000006
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,130501536,-0.02575000000000005
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,492612040,-0.010249999999999981
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,2101606466,0.03775000000000006
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,1872839281,0.021375000000000033
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,637029796,0.008749999999999925
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,1357204345,0.009874999999999856
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,1758462037,0.0378750000000001
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,748737880,0.026374999999999926
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,1611510062,0.019499999999999962
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,333205446,0.038250000000000006
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,130501536,0.02575000000000005
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,492612040,0.010249999999999981
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,2101606466,0.014375000000000013
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,1872839281,-0.040249999999999994
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,637029796,0.01599999999999998
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,1357204345,-0.011249999999999996
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,1758462037,0.01150000000000001
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,748737880,-0.02624999999999998
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,1611510062,0.0010000000000000009
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,333205446,0.001125000000000001
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,130501536,0.00025
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,492612040,0.003999999999999997
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,2101606466,-0.012299999999999867
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,1872839281,-0.021199999999999997
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,637029796,-0.012800000000000145
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,1357204345,-0.018500000000000072
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,1758462037,-0.016799999999999926
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,748737880,-0.01319999999999999
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,1611510062,-0.012500000000000067
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,333205446,-0.009800000000000031
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,130501536,-0.006700000000000039
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,492612040,-0.023500000000000076
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_forgetting,2101606466,-0.009125000000000022
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_forgetting,1872839281,-0.0011250000000000426
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_forgetting,637029796,-0.0038749999999999896
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_forgetting,1357204345,-0.004125000000000045
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_forgetting,1758462037,-0.007750000000000007
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_forgetting,748737880,-0.006374999999999992
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_forgetting,1611510062,-0.00799999999999998
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_forgetting,333205446,-0.014750000000000013
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_forgetting,130501536,-0.014624999999999999
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_forgetting,492612040,0.004500000000000032
replay,slowheat_replay_hidden_beta_30_budget_0.25,classifier_gap,2101606466,-0.011399999999999855
replay,slowheat_replay_hidden_beta_30_budget_0.25,classifier_gap,1872839281,-0.006700000000000039
replay,slowheat_replay_hidden_beta_30_budget_0.25,classifier_gap,637029796,0.0016999999999998683
replay,slowheat_replay_hidden_beta_30_budget_0.25,classifier_gap,1357204345,0.0015999999999999348
replay,slowheat_replay_hidden_beta_30_budget_0.25,classifier_gap,1758462037,-0.010899999999999965
replay,slowheat_replay_hidden_beta_30_budget_0.25,classifier_gap,748737880,-0.012799999999999978
replay,slowheat_replay_hidden_beta_30_budget_0.25,classifier_gap,1611510062,-0.0013000000000000789
replay,slowheat_replay_hidden_beta_30_budget_0.25,classifier_gap,333205446,-0.011799999999999977
replay,slowheat_replay_hidden_beta_30_budget_0.25,classifier_gap,130501536,0.0042999999999999705
replay,slowheat_replay_hidden_beta_30_budget_0.25,classifier_gap,492612040,-0.0012000000000000899
replay,slowheat_replay_hidden_beta_30_budget_0.25,elapsed_seconds,2101606466,3.704989954996563
replay,slowheat_replay_hidden_beta_30_budget_0.25,elapsed_seconds,1872839281,3.9554366870070226
replay,slowheat_replay_hidden_beta_30_budget_0.25,elapsed_seconds,637029796,3.5092473460026667
replay,slowheat_replay_hidden_beta_30_budget_0.25,elapsed_seconds,1357204345,4.25046246900456
replay,slowheat_replay_hidden_beta_30_budget_0.25,elapsed_seconds,1758462037,3.867051035995246
replay,slowheat_replay_hidden_beta_30_budget_0.25,elapsed_seconds,748737880,3.8076289509917842
replay,slowheat_replay_hidden_beta_30_budget_0.25,elapsed_seconds,1611510062,3.8305039160113665
replay,slowheat_replay_hidden_beta_30_budget_0.25,elapsed_seconds,333205446,3.5948701090019313
replay,slowheat_replay_hidden_beta_30_budget_0.25,elapsed_seconds,130501536,3.9693954910035245
replay,slowheat_replay_hidden_beta_30_budget_0.25,elapsed_seconds,492612040,3.912195618999249
replay,slowheat_replay_hidden_beta_30_budget_0.25,learner_examples_processed,2101606466,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,learner_examples_processed,1872839281,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,learner_examples_processed,637029796,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,learner_examples_processed,1357204345,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,learner_examples_processed,1758462037,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,learner_examples_processed,748737880,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,learner_examples_processed,1611510062,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,learner_examples_processed,333205446,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,learner_examples_processed,130501536,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,learner_examples_processed,492612040,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,total_model_examples_processed,2101606466,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,total_model_examples_processed,1872839281,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,total_model_examples_processed,637029796,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,total_model_examples_processed,1357204345,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,total_model_examples_processed,1758462037,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,total_model_examples_processed,748737880,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,total_model_examples_processed,1611510062,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,total_model_examples_processed,333205446,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,total_model_examples_processed,130501536,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,total_model_examples_processed,492612040,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,estimated_total_flops,2101606466,138925280.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,estimated_total_flops,1872839281,138925280.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,estimated_total_flops,637029796,138925280.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,estimated_total_flops,1357204345,138925280.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,estimated_total_flops,1758462037,138925280.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,estimated_total_flops,748737880,138925280.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,estimated_total_flops,1611510062,138925280.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,estimated_total_flops,333205446,138925280.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,estimated_total_flops,130501536,138925280.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,estimated_total_flops,492612040,138925280.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,estimated_overhead_flops,2101606466,138925280.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,estimated_overhead_flops,1872839281,138925280.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,estimated_overhead_flops,637029796,138925280.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,estimated_overhead_flops,1357204345,138925280.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,estimated_overhead_flops,1758462037,138925280.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,estimated_overhead_flops,748737880,138925280.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,estimated_overhead_flops,1611510062,138925280.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,estimated_overhead_flops,333205446,138925280.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,estimated_overhead_flops,130501536,138925280.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,estimated_overhead_flops,492612040,138925280.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,replay_memory_bytes,2101606466,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,replay_memory_bytes,1872839281,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,replay_memory_bytes,637029796,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,replay_memory_bytes,1357204345,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,replay_memory_bytes,1758462037,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,replay_memory_bytes,748737880,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,replay_memory_bytes,1611510062,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,replay_memory_bytes,333205446,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,replay_memory_bytes,130501536,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,replay_memory_bytes,492612040,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,stored_logits_bytes,2101606466,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,stored_logits_bytes,1872839281,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,stored_logits_bytes,637029796,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,stored_logits_bytes,1357204345,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,stored_logits_bytes,1758462037,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,stored_logits_bytes,748737880,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,stored_logits_bytes,1611510062,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,stored_logits_bytes,333205446,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,stored_logits_bytes,130501536,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,stored_logits_bytes,492612040,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,replay_metadata_bytes,2101606466,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,replay_metadata_bytes,1872839281,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,replay_metadata_bytes,637029796,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,replay_metadata_bytes,1357204345,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,replay_metadata_bytes,1758462037,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,replay_metadata_bytes,748737880,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,replay_metadata_bytes,1611510062,0.0
