reference,method,metric,seed,difference
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,2101606466,-0.032200000000000006
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1872839281,-0.01630000000000001
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,637029796,-0.020199999999999996
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1357204345,-0.03410000000000002
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1758462037,-0.013499999999999984
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,748737880,-0.053899999999999976
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1611510062,-0.0237
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,333205446,-0.03740000000000002
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,130501536,-0.023200000000000026
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,492612040,-0.02629999999999999
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,2101606466,0.001875000000000071
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1872839281,-0.014124999999999943
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,637029796,0.002000000000000113
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1357204345,0.010500000000000176
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1758462037,-0.0045000000000000595
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,748737880,0.03287499999999999
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1611510062,0.005125000000000046
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,333205446,0.013249999999999873
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,130501536,0.0006249999999999867
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,492612040,0.0009999999999998899
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,2101606466,-0.001875000000000071
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,1872839281,0.014124999999999943
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,637029796,-0.002000000000000113
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,1357204345,-0.010500000000000176
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,1758462037,0.0045000000000000595
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,748737880,-0.03287499999999999
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,1611510062,-0.005125000000000046
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,333205446,-0.013249999999999873
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,130501536,-0.0006249999999999867
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,492612040,-0.0009999999999998899
