reference,method,metric,seed,difference
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,2101606466,-0.0015000000000000013
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,1872839281,-0.0030000000000000027
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,637029796,-0.005700000000000011
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,1357204345,-0.004400000000000015
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,1758462037,-0.004499999999999976
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,748737880,-0.0040999999999999925
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,1611510062,-0.0068999999999999895
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,333205446,0.00030000000000002247
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,130501536,-0.005299999999999999
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,492612040,0.0027000000000000357
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,2101606466,-0.022750000000000048
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,1872839281,-0.023375000000000035
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,637029796,-0.023125000000000062
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,1357204345,-0.022250000000000103
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,1758462037,-0.019124999999999948
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,748737880,-0.020874999999999977
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,1611510062,-0.019624999999999893
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,333205446,-0.02300000000000002
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,130501536,-0.021625000000000005
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,492612040,-0.028249999999999997
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,2101606466,0.022750000000000048
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,1872839281,0.023375000000000035
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,637029796,0.023125000000000062
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,1357204345,0.022250000000000103
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,1758462037,0.019124999999999948
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,748737880,0.020874999999999977
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,1611510062,0.019624999999999893
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,333205446,0.02300000000000002
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,130501536,0.021625000000000005
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,492612040,0.028249999999999997
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,2101606466,-0.0006250000000000144
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,1872839281,0.0006250000000000144
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,637029796,-0.0013749999999999873
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,1357204345,-0.000125000000000014
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,1758462037,-0.0002500000000000002
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,748737880,-0.00012499999999998623
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,1611510062,-0.00024999999999997247
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,333205446,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,130501536,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,492612040,-0.0002500000000000002
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,2101606466,0.1331
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,1872839281,0.08210000000000006
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,637029796,0.10170000000000001
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,1357204345,0.07460000000000011
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,1758462037,0.0675
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,748737880,0.0797
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,1611510062,0.011400000000000077
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,333205446,0.10950000000000004
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,130501536,0.10280000000000011
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,492612040,0.1352000000000002
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,2101606466,-0.191
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,1872839281,-0.12975000000000003
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,637029796,-0.15737500000000001
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,1357204345,-0.12100000000000005
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,1758462037,-0.10912499999999994
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,748737880,-0.12562499999999996
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,1611510062,-0.04250000000000001
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,333205446,-0.15949999999999998
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,130501536,-0.15674999999999994
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,492612040,-0.19387500000000005
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,2101606466,0.13460000000000005
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,1872839281,0.08510000000000012
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,637029796,0.10739999999999994
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,1357204345,0.07900000000000018
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,1758462037,0.07199999999999995
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,748737880,0.08379999999999999
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,1611510062,0.018299999999999983
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,333205446,0.10920000000000007
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,130501536,0.1081000000000002
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,492612040,0.13250000000000023
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,2101606466,3.526823507003428
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,1872839281,3.423648142001184
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,637029796,3.561746422004944
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,1357204345,3.5266857050010003
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,1758462037,3.4664587959923665
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,748737880,3.5441598120014532
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,1611510062,3.481179021000571
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,333205446,3.538547407995793
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,130501536,3.564991216007911
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,492612040,3.4426952020003228
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,2101606466,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,1872839281,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,637029796,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,1357204345,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,1758462037,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,748737880,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,1611510062,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,333205446,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,130501536,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,492612040,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,total_model_examples_processed,2101606466,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,total_model_examples_processed,1872839281,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,total_model_examples_processed,637029796,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,total_model_examples_processed,1357204345,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,total_model_examples_processed,1758462037,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,total_model_examples_processed,748737880,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,total_model_examples_processed,1611510062,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,total_model_examples_processed,333205446,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,total_model_examples_processed,130501536,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,total_model_examples_processed,492612040,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_total_flops,2101606466,107959520.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_total_flops,1872839281,107959520.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_total_flops,637029796,107959520.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_total_flops,1357204345,107959520.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_total_flops,1758462037,107959520.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_total_flops,748737880,107959520.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_total_flops,1611510062,107959520.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_total_flops,333205446,107959520.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_total_flops,130501536,107959520.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_total_flops,492612040,107959520.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_overhead_flops,2101606466,107959520.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_overhead_flops,1872839281,107959520.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_overhead_flops,637029796,107959520.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_overhead_flops,1357204345,107959520.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_overhead_flops,1758462037,107959520.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_overhead_flops,748737880,107959520.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_overhead_flops,1611510062,107959520.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_overhead_flops,333205446,107959520.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_overhead_flops,130501536,107959520.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_overhead_flops,492612040,107959520.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_memory_bytes,2101606466,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_memory_bytes,1872839281,0.0
