reference,method,metric,seed,difference
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,2101606466,0.00019999999999997797
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1872839281,-0.03180000000000016
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,637029796,-0.012199999999999989
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1357204345,0.005800000000000027
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1758462037,0.009200000000000097
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,748737880,0.017800000000000038
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1611510062,0.030200000000000005
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,333205446,-0.012800000000000034
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,130501536,-0.0016000000000000458
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,492612040,0.0038000000000000256
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,2101606466,-0.002250000000000002
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1872839281,0.037750000000000006
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,637029796,0.008999999999999952
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1357204345,-0.009000000000000008
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1758462037,-0.01375000000000004
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,748737880,-0.026500000000000024
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1611510062,-0.04325000000000001
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,333205446,0.01200000000000001
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,130501536,-0.0032500000000000306
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,492612040,-0.007000000000000006
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,2101606466,0.002250000000000002
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,1872839281,-0.037750000000000006
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,637029796,-0.008999999999999952
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,1357204345,0.009000000000000008
