reference,method,metric,seed,difference
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,2101606466,-0.0050000000000000044
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1872839281,-0.00880000000000003
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,637029796,0.00820000000000004
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1357204345,0.0037999999999999146
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1758462037,0.03480000000000005
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,748737880,0.00039999999999995595
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1611510062,-0.010199999999999987
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,333205446,-0.03379999999999994
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,130501536,-0.01539999999999997
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,492612040,0.007800000000000029
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,2101606466,0.0029999999999998916
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1872839281,0.004249999999999865
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,637029796,-0.01399999999999979
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1357204345,-0.011499999999999955
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1758462037,-0.04949999999999999
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,748737880,-0.004999999999999893
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1611510062,0.00924999999999998
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,333205446,0.038000000000000034
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,130501536,0.01650000000000007
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,492612040,-0.01375000000000004
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,2101606466,-0.0029999999999998916
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,1872839281,-0.004249999999999865
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,637029796,0.01399999999999979
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,1357204345,0.011499999999999955
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,1758462037,0.04949999999999999
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,748737880,0.004999999999999893
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,1611510062,-0.00924999999999998
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,333205446,-0.038000000000000034
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,130501536,-0.01650000000000007
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,492612040,0.01375000000000004
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,2101606466,-0.033
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,1872839281,0.0020000000000000018
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,637029796,0.004499999999999997
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,1357204345,0.00399999999999999
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,1758462037,-0.003500000000000003
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,748737880,-0.0007500000000000007
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,1611510062,0.009000000000000008
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,333205446,0.006000000000000005
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,130501536,0.0030000000000000027
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,492612040,0.014500000000000013
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,2101606466,-0.015799999999999925
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,1872839281,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,637029796,0.0044000000000000705
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,1357204345,-0.0022000000000000908
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,1758462037,0.014800000000000035
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,748737880,-0.04059999999999986
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,1611510062,0.0018000000000000238
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,333205446,-0.01100000000000001
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,130501536,-0.012600000000000056
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,492612040,0.00019999999999986695
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_forgetting,2101606466,0.01824999999999999
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_forgetting,1872839281,-0.003500000000000003
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_forgetting,637029796,-0.0062500000000000056
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_forgetting,1357204345,-0.0012500000000000289
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_forgetting,1758462037,-0.01974999999999999
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_forgetting,748737880,0.05024999999999999
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_forgetting,1611510062,-0.0037500000000000033
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_forgetting,333205446,0.012749999999999984
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_forgetting,130501536,0.01450000000000004
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_forgetting,492612040,-0.0050000000000000044
replay,slowheat_replay_hidden_beta_30_budget_0.25,classifier_gap,2101606466,-0.01079999999999992
replay,slowheat_replay_hidden_beta_30_budget_0.25,classifier_gap,1872839281,0.00880000000000003
replay,slowheat_replay_hidden_beta_30_budget_0.25,classifier_gap,637029796,-0.00379999999999997
replay,slowheat_replay_hidden_beta_30_budget_0.25,classifier_gap,1357204345,-0.006000000000000005
