reference,candidate,metric,seed,reference_value,candidate_value,difference
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,2037868115,0.19519999999999998,0.19419999999999998,-0.0010000000000000009
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,197201656,0.19619999999999999,0.1936,-0.002599999999999991
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,315911652,0.19619999999999999,0.195,-0.0011999999999999789
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,1329807151,0.1968,0.196,-0.0007999999999999952
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,661500785,0.1976,0.1968,-0.0007999999999999952
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,881911756,0.1966,0.196,-0.0005999999999999894
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,544969310,0.1968,0.195,-0.001799999999999996
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,498275854,0.196,0.1946,-0.0014000000000000123
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,1700414243,0.197,0.1956,-0.0014000000000000123
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,303045716,0.1954,0.1948,-0.0005999999999999894
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,2037868115,0.9930000000000001,0.99125,-0.0017500000000001403
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,197201656,0.99325,0.9905,-0.002749999999999919
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,315911652,0.99175,0.99125,-0.000500000000000056
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,1329807151,0.9924999999999999,0.9914999999999999,-0.0010000000000000009
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,661500785,0.99475,0.9924999999999999,-0.0022500000000000853
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,881911756,0.994,0.991,-0.0030000000000000027
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,544969310,0.99275,0.9914999999999999,-0.0012500000000000844
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,498275854,0.99325,0.99025,-0.0030000000000000027
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,1700414243,0.9922500000000001,0.99175,-0.000500000000000056
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,303045716,0.9935,0.99275,-0.0007500000000000284
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,2037868115,-0.9930000000000001,-0.99125,0.0017500000000001403
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,197201656,-0.99325,-0.9905,0.002749999999999919
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,315911652,-0.99175,-0.99125,0.000500000000000056
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,1329807151,-0.9924999999999999,-0.9914999999999999,0.0010000000000000009
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,661500785,-0.99475,-0.9924999999999999,0.0022500000000000853
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,881911756,-0.994,-0.991,0.0030000000000000027
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,544969310,-0.99275,-0.9914999999999999,0.0012500000000000844
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,498275854,-0.99325,-0.99025,0.0030000000000000027
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,1700414243,-0.9922500000000001,-0.99175,0.000500000000000056
