reference,candidate,metric,seed,reference_value,candidate_value,difference
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,311,0.72192,0.8054799999999999,0.08355999999999986
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,617,0.70428,0.77,0.06572
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,919,0.72192,0.8065599999999999,0.08463999999999994
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,1223,0.70384,0.8088799999999999,0.10503999999999991
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,1523,0.6878,0.797,0.10920000000000007
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,1823,0.70892,0.80676,0.09784000000000004
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,2129,0.73228,0.8141999999999999,0.08191999999999988
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,2423,0.7420399999999999,0.80556,0.06352000000000013
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,2729,0.77324,0.8156800000000001,0.04244000000000003
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,3037,0.69848,0.7642,0.06572
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,311,0.30005000000000004,0.1912,-0.10885000000000003
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,617,0.32909999999999995,0.2417,-0.08739999999999995
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,919,0.30200000000000005,0.19065000000000001,-0.11135000000000003
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,1223,0.32155,0.18695,-0.1346
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,1523,0.346,0.20220000000000002,-0.14379999999999996
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,1823,0.32019999999999993,0.19510000000000002,-0.1250999999999999
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,2129,0.2837,0.17554999999999998,-0.10815000000000002
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,2423,0.27660000000000007,0.1934,-0.08320000000000008
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,2729,0.23655,0.17850000000000002,-0.05804999999999999
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,3037,0.3299,0.2405,-0.08940000000000003
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,311,-0.30005000000000004,-0.1912,0.10885000000000003
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,617,-0.32909999999999995,-0.2417,0.08739999999999995
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,919,-0.30200000000000005,-0.19065000000000001,0.11135000000000003
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,1223,-0.32155,-0.18695,0.1346
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,1523,-0.346,-0.20220000000000002,0.14379999999999996
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,1823,-0.32019999999999993,-0.19510000000000002,0.1250999999999999
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,2129,-0.2837,-0.17554999999999998,0.10815000000000002
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,2423,-0.27660000000000007,-0.1934,0.08320000000000008
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,2729,-0.23655,-0.17850000000000002,0.05804999999999999
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,3037,-0.3299,-0.2405,0.08940000000000003
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,311,0.02655,0.028750000000000005,0.002200000000000004
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,617,0.03950000000000001,0.01915,-0.020350000000000007
