reference,candidate,metric,seed,reference_value,candidate_value,difference
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,311,0.19619999999999999,0.1956,-0.0005999999999999894
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,617,0.19519999999999998,0.195,-0.00019999999999997797
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,919,0.19519999999999998,0.195,-0.00019999999999997797
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,1223,0.197,0.1944,-0.002600000000000019
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,1523,0.1966,0.1938,-0.002799999999999997
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,1823,0.1944,0.194,-0.0003999999999999837
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,2129,0.1972,0.1946,-0.002599999999999991
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,2423,0.1972,0.1956,-0.0015999999999999903
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,2729,0.1968,0.1948,-0.0020000000000000018
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,3037,0.196,0.196,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,311,0.9909999999999999,0.989,-0.0019999999999998908
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,617,0.99325,0.9929999999999999,-0.0002500000000000835
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,919,0.99275,0.9905,-0.0022499999999999742
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,1223,0.9917499999999999,0.9904999999999999,-0.0012499999999999734
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,1523,0.993,0.99025,-0.00275000000000003
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,1823,0.9950000000000001,0.9934999999999999,-0.0015000000000001679
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,2129,0.9915,0.9914999999999999,-1.1102230246251565e-16
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,2423,0.9937499999999999,0.9927499999999999,-0.0010000000000000009
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,2729,0.9925,0.9905,-0.0020000000000000018
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,3037,0.9925,0.9924999999999999,-1.1102230246251565e-16
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,311,-0.9909999999999999,-0.989,0.0019999999999998908
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,617,-0.99325,-0.9929999999999999,0.0002500000000000835
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,919,-0.99275,-0.9905,0.0022499999999999742
