reference,candidate,metric,seed,reference_value,candidate_value,difference
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,4001,0.125,0.10500000000000001,-0.01999999999999999
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,4003,0.1,0.10500000000000001,0.0050000000000000044
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,4001,0.18749999999999997,0.0,-0.18749999999999997
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,4003,0.4125,0.38749999999999996,-0.025000000000000022
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,4001,-0.13749999999999998,0.0,0.13749999999999998
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,4003,-0.4125,-0.38749999999999996,0.025000000000000022
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,4001,0.06875,0.00625,-0.0625
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,4003,0.03749999999999999,0.03125,-0.006249999999999992
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,4001,0.51,0.5199999999999999,0.009999999999999898
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,4003,0.595,0.63,0.03500000000000003
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,4001,0.0,0.01874999999999999,0.01874999999999999
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,4003,0.0625,0.006249999999999978,-0.05625000000000002
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,4001,0.385,0.4149999999999999,0.029999999999999916
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,4003,0.495,0.525,0.030000000000000027
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,4001,0.1352340470002673,0.18527682599960826,0.05004277899934095
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,4003,0.1273056509999151,0.17561124299936637,0.04830559199945128
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,4001,320.0,320.0,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,4003,320.0,320.0,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,total_model_examples_processed,4001,320.0,320.0,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,total_model_examples_processed,4003,320.0,320.0,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_total_flops,4001,24483840.0,24641960.0,158120.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_total_flops,4003,24483840.0,24641960.0,158120.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_overhead_flops,4001,0.0,158120.0,158120.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_overhead_flops,4003,0.0,158120.0,158120.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_memory_bytes,4001,0.0,0.0,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_memory_bytes,4003,0.0,0.0,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,stored_logits_bytes,4001,0.0,0.0,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,stored_logits_bytes,4003,0.0,0.0,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,4001,0.10499999999999998,0.1,-0.004999999999999977
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,4003,0.125,0.10500000000000001,-0.01999999999999999
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,4001,0.175,0.0062500000000000056,-0.16874999999999998
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,4003,0.35,0.38125,0.03125
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,4001,-0.14375,-0.0062500000000000056,0.13749999999999998
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,4003,-0.35,-0.38125,-0.03125
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,4001,0.05625,0.00625,-0.05
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,4003,0.018750000000000003,0.03125,0.012499999999999997
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,4001,0.5,0.515,0.015000000000000013
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,4003,0.6,0.635,0.03500000000000003
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_forgetting,4001,0.024999999999999994,0.012499999999999983,-0.012500000000000011
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_forgetting,4003,0.0625,0.0,-0.0625
replay,slowheat_replay_hidden_beta_30_budget_0.25,classifier_gap,4001,0.395,0.41500000000000004,0.020000000000000018
replay,slowheat_replay_hidden_beta_30_budget_0.25,classifier_gap,4003,0.475,0.53,0.05500000000000005
replay,slowheat_replay_hidden_beta_30_budget_0.25,elapsed_seconds,4001,0.1445216079991951,0.28318969899919466,0.13866809099999955
replay,slowheat_replay_hidden_beta_30_budget_0.25,elapsed_seconds,4003,0.13355833300011,0.22303676299998187,0.08947842999987188
replay,slowheat_replay_hidden_beta_30_budget_0.25,learner_examples_processed,4001,384.0,384.0,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,learner_examples_processed,4003,384.0,384.0,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,total_model_examples_processed,4001,384.0,384.0,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,total_model_examples_processed,4003,384.0,384.0,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,estimated_total_flops,4001,29380608.0,29544872.0,164264.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,estimated_total_flops,4003,29380608.0,29544872.0,164264.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,estimated_overhead_flops,4001,0.0,164264.0,164264.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,estimated_overhead_flops,4003,0.0,164264.0,164264.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,replay_memory_bytes,4001,62880.0,62880.0,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,replay_memory_bytes,4003,62880.0,62880.0,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,stored_logits_bytes,4001,0.0,0.0,0.0
replay,slowheat_replay_hidden_beta_30_budget_0.25,stored_logits_bytes,4003,0.0,0.0,0.0
derpp,slowheat_derpp_hidden_beta_30_budget_0.25,final_average_accuracy,4001,0.135,0.10500000000000001,-0.03
derpp,slowheat_derpp_hidden_beta_30_budget_0.25,final_average_accuracy,4003,0.135,0.12,-0.015000000000000013
derpp,slowheat_derpp_hidden_beta_30_budget_0.25,average_forgetting,4001,0.1125,0.0062500000000000056,-0.10625
derpp,slowheat_derpp_hidden_beta_30_budget_0.25,average_forgetting,4003,0.32499999999999996,0.3625,0.03750000000000003
derpp,slowheat_derpp_hidden_beta_30_budget_0.25,backward_transfer,4001,-0.07500000000000001,-0.0062500000000000056,0.06875
derpp,slowheat_derpp_hidden_beta_30_budget_0.25,backward_transfer,4003,-0.32499999999999996,-0.3625,-0.03750000000000003
derpp,slowheat_derpp_hidden_beta_30_budget_0.25,forward_transfer,4001,0.05,0.00625,-0.043750000000000004
derpp,slowheat_derpp_hidden_beta_30_budget_0.25,forward_transfer,4003,0.0,0.03125,0.03125
derpp,slowheat_derpp_hidden_beta_30_budget_0.25,task_aware_final_accuracy,4001,0.52,0.53,0.010000000000000009
derpp,slowheat_derpp_hidden_beta_30_budget_0.25,task_aware_final_accuracy,4003,0.62,0.635,0.015000000000000013
derpp,slowheat_derpp_hidden_beta_30_budget_0.25,task_aware_forgetting,4001,0.006249999999999978,0.0062500000000000056,2.7755575615628914e-17
derpp,slowheat_derpp_hidden_beta_30_budget_0.25,task_aware_forgetting,4003,0.03749999999999998,0.0,-0.03749999999999998
derpp,slowheat_derpp_hidden_beta_30_budget_0.25,classifier_gap,4001,0.385,0.42500000000000004,0.040000000000000036
derpp,slowheat_derpp_hidden_beta_30_budget_0.25,classifier_gap,4003,0.485,0.515,0.030000000000000027
derpp,slowheat_derpp_hidden_beta_30_budget_0.25,elapsed_seconds,4001,0.13525646400012192,0.2629682500009949,0.12771178600087296
derpp,slowheat_derpp_hidden_beta_30_budget_0.25,elapsed_seconds,4003,0.11660574300003645,0.2087902999992366,0.09218455699920014
derpp,slowheat_derpp_hidden_beta_30_budget_0.25,learner_examples_processed,4001,384.0,384.0,0.0
derpp,slowheat_derpp_hidden_beta_30_budget_0.25,learner_examples_processed,4003,384.0,384.0,0.0
derpp,slowheat_derpp_hidden_beta_30_budget_0.25,total_model_examples_processed,4001,384.0,384.0,0.0
derpp,slowheat_derpp_hidden_beta_30_budget_0.25,total_model_examples_processed,4003,384.0,384.0,0.0
derpp,slowheat_derpp_hidden_beta_30_budget_0.25,estimated_total_flops,4001,29380608.0,29544872.0,164264.0
derpp,slowheat_derpp_hidden_beta_30_budget_0.25,estimated_total_flops,4003,29380608.0,29544872.0,164264.0
derpp,slowheat_derpp_hidden_beta_30_budget_0.25,estimated_overhead_flops,4001,0.0,164264.0,164264.0
derpp,slowheat_derpp_hidden_beta_30_budget_0.25,estimated_overhead_flops,4003,0.0,164264.0,164264.0
derpp,slowheat_derpp_hidden_beta_30_budget_0.25,replay_memory_bytes,4001,62880.0,62880.0,0.0
derpp,slowheat_derpp_hidden_beta_30_budget_0.25,replay_memory_bytes,4003,62880.0,62880.0,0.0
derpp,slowheat_derpp_hidden_beta_30_budget_0.25,stored_logits_bytes,4001,800.0,800.0,0.0
derpp,slowheat_derpp_hidden_beta_30_budget_0.25,stored_logits_bytes,4003,800.0,800.0,0.0
er_ace,slowheat_er_ace_hidden_beta_30_budget_0.25,final_average_accuracy,4001,0.10500000000000001,0.1,-0.0050000000000000044
er_ace,slowheat_er_ace_hidden_beta_30_budget_0.25,final_average_accuracy,4003,0.22999999999999998,0.16499999999999998,-0.065
er_ace,slowheat_er_ace_hidden_beta_30_budget_0.25,average_forgetting,4001,0.0,0.0,0.0
er_ace,slowheat_er_ace_hidden_beta_30_budget_0.25,average_forgetting,4003,0.08124999999999999,0.26875,0.1875
er_ace,slowheat_er_ace_hidden_beta_30_budget_0.25,backward_transfer,4001,0.00625,0.0,-0.00625
er_ace,slowheat_er_ace_hidden_beta_30_budget_0.25,backward_transfer,4003,-0.08124999999999999,-0.26875,-0.1875
er_ace,slowheat_er_ace_hidden_beta_30_budget_0.25,forward_transfer,4001,0.0,0.0,0.0
er_ace,slowheat_er_ace_hidden_beta_30_budget_0.25,forward_transfer,4003,-0.07500000000000001,0.018750000000000003,0.09375000000000001
er_ace,slowheat_er_ace_hidden_beta_30_budget_0.25,task_aware_final_accuracy,4001,0.515,0.525,0.010000000000000009
er_ace,slowheat_er_ace_hidden_beta_30_budget_0.25,task_aware_final_accuracy,4003,0.62,0.625,0.0050000000000000044
er_ace,slowheat_er_ace_hidden_beta_30_budget_0.25,task_aware_forgetting,4001,0.012499999999999997,0.0062500000000000056,-0.006249999999999992
er_ace,slowheat_er_ace_hidden_beta_30_budget_0.25,task_aware_forgetting,4003,0.024999999999999994,0.0,-0.024999999999999994
er_ace,slowheat_er_ace_hidden_beta_30_budget_0.25,classifier_gap,4001,0.41000000000000003,0.42500000000000004,0.015000000000000013
er_ace,slowheat_er_ace_hidden_beta_30_budget_0.25,classifier_gap,4003,0.39,0.46,0.07
