reference,method,metric,seed,difference
vanilla,slowheat_none,final_average_accuracy,2101606466,0.005900000000000016
vanilla,slowheat_none,final_average_accuracy,1872839281,-0.00360000000000002
vanilla,slowheat_none,final_average_accuracy,637029796,0.0010000000000000009
vanilla,slowheat_none,final_average_accuracy,1357204345,0.0020999999999999908
vanilla,slowheat_none,final_average_accuracy,1758462037,-0.0023000000000000242
vanilla,slowheat_none,final_average_accuracy,748737880,0.003799999999999998
vanilla,slowheat_none,final_average_accuracy,1611510062,9.999999999998899e-05
vanilla,slowheat_none,final_average_accuracy,333205446,0.001799999999999996
vanilla,slowheat_none,final_average_accuracy,130501536,0.00010000000000001674
vanilla,slowheat_none,final_average_accuracy,492612040,-0.0012000000000000066
vanilla,slowheat_none,average_forgetting,2101606466,0.0008749999999999591
vanilla,slowheat_none,average_forgetting,1872839281,0.0022499999999999742
vanilla,slowheat_none,average_forgetting,637029796,0.0025000000000001688
vanilla,slowheat_none,average_forgetting,1357204345,0.0007499999999999174
vanilla,slowheat_none,average_forgetting,1758462037,0.0007500000000000284
vanilla,slowheat_none,average_forgetting,748737880,0.0010000000000000009
vanilla,slowheat_none,average_forgetting,1611510062,-0.0007500000000000284
vanilla,slowheat_none,average_forgetting,333205446,0.0003750000000000142
vanilla,slowheat_none,average_forgetting,130501536,-0.0016249999999999876
vanilla,slowheat_none,average_forgetting,492612040,-0.0008750000000000702
vanilla,slowheat_none,backward_transfer,2101606466,-0.0008749999999999591
vanilla,slowheat_none,backward_transfer,1872839281,-0.0022499999999999742
vanilla,slowheat_none,backward_transfer,637029796,-0.0025000000000001688
vanilla,slowheat_none,backward_transfer,1357204345,-0.0007499999999999174
vanilla,slowheat_none,backward_transfer,1758462037,-0.0007500000000000284
vanilla,slowheat_none,backward_transfer,748737880,-0.0010000000000000009
vanilla,slowheat_none,backward_transfer,1611510062,0.0007500000000000284
vanilla,slowheat_none,backward_transfer,333205446,-0.0003750000000000142
vanilla,slowheat_none,backward_transfer,130501536,0.0016249999999999876
vanilla,slowheat_none,backward_transfer,492612040,0.0008750000000000702
vanilla,slowheat_none,forward_transfer,2101606466,-0.000125000000000014
vanilla,slowheat_none,forward_transfer,1872839281,-0.0010000000000000009
vanilla,slowheat_none,forward_transfer,637029796,-0.003375000000000003
vanilla,slowheat_none,forward_transfer,1357204345,0.000125000000000014
vanilla,slowheat_none,forward_transfer,1758462037,-0.000125000000000014
vanilla,slowheat_none,forward_transfer,748737880,-0.0016250000000000153
vanilla,slowheat_none,forward_transfer,1611510062,-0.000125000000000014
vanilla,slowheat_none,forward_transfer,333205446,-0.0002500000000000002
vanilla,slowheat_none,forward_transfer,130501536,0.0
vanilla,slowheat_none,forward_transfer,492612040,0.0
vanilla,slowheat_none,task_aware_final_accuracy,2101606466,0.026499999999999968
vanilla,slowheat_none,task_aware_final_accuracy,1872839281,0.016599999999999948
vanilla,slowheat_none,task_aware_final_accuracy,637029796,0.04059999999999997
vanilla,slowheat_none,task_aware_final_accuracy,1357204345,-0.05930000000000002
vanilla,slowheat_none,task_aware_final_accuracy,1758462037,0.012199999999999989
vanilla,slowheat_none,task_aware_final_accuracy,748737880,-0.016899999999999915
vanilla,slowheat_none,task_aware_final_accuracy,1611510062,0.02310000000000012
vanilla,slowheat_none,task_aware_final_accuracy,333205446,0.042199999999999904
vanilla,slowheat_none,task_aware_final_accuracy,130501536,0.04899999999999993
vanilla,slowheat_none,task_aware_final_accuracy,492612040,-0.005099999999999993
vanilla,slowheat_none,task_aware_forgetting,2101606466,-0.02487499999999998
vanilla,slowheat_none,task_aware_forgetting,1872839281,-0.022999999999999965
vanilla,slowheat_none,task_aware_forgetting,637029796,-0.04699999999999993
vanilla,slowheat_none,task_aware_forgetting,1357204345,0.07749999999999996
vanilla,slowheat_none,task_aware_forgetting,1758462037,-0.017374999999999974
vanilla,slowheat_none,task_aware_forgetting,748737880,0.026874999999999982
vanilla,slowheat_none,task_aware_forgetting,1611510062,-0.02950000000000008
vanilla,slowheat_none,task_aware_forgetting,333205446,-0.050124999999999975
vanilla,slowheat_none,task_aware_forgetting,130501536,-0.06275000000000008
vanilla,slowheat_none,task_aware_forgetting,492612040,0.003999999999999948
vanilla,slowheat_none,classifier_gap,2101606466,0.02059999999999995
vanilla,slowheat_none,classifier_gap,1872839281,0.02019999999999994
vanilla,slowheat_none,classifier_gap,637029796,0.03959999999999997
vanilla,slowheat_none,classifier_gap,1357204345,-0.06140000000000001
vanilla,slowheat_none,classifier_gap,1758462037,0.014500000000000013
vanilla,slowheat_none,classifier_gap,748737880,-0.020699999999999885
vanilla,slowheat_none,classifier_gap,1611510062,0.02300000000000013
vanilla,slowheat_none,classifier_gap,333205446,0.040399999999999936
vanilla,slowheat_none,classifier_gap,130501536,0.04889999999999989
vanilla,slowheat_none,classifier_gap,492612040,-0.003899999999999959
vanilla,slowheat_none,elapsed_seconds,2101606466,4.9806989839999005
vanilla,slowheat_none,elapsed_seconds,1872839281,4.859109968005214
vanilla,slowheat_none,elapsed_seconds,637029796,4.9285524529987015
vanilla,slowheat_none,elapsed_seconds,1357204345,4.803594292025082
vanilla,slowheat_none,elapsed_seconds,1758462037,4.9900414340081625
vanilla,slowheat_none,elapsed_seconds,748737880,4.741015426989179
vanilla,slowheat_none,elapsed_seconds,1611510062,5.042870803037658
vanilla,slowheat_none,elapsed_seconds,333205446,4.343348508991767
vanilla,slowheat_none,elapsed_seconds,130501536,4.93103268800769
vanilla,slowheat_none,elapsed_seconds,492612040,4.884511814045254
vanilla,slowheat_none,learner_examples_processed,2101606466,0.0
vanilla,slowheat_none,learner_examples_processed,1872839281,0.0
vanilla,slowheat_none,learner_examples_processed,637029796,0.0
vanilla,slowheat_none,learner_examples_processed,1357204345,0.0
vanilla,slowheat_none,learner_examples_processed,1758462037,0.0
vanilla,slowheat_none,learner_examples_processed,748737880,0.0
vanilla,slowheat_none,learner_examples_processed,1611510062,0.0
