method,final_average_accuracy_mean,final_average_accuracy_std,final_average_accuracy_ci95,average_forgetting_mean,average_forgetting_std,average_forgetting_ci95,backward_transfer_mean,backward_transfer_std,backward_transfer_ci95,forward_transfer_mean,forward_transfer_std,forward_transfer_ci95,task_aware_final_accuracy_mean,task_aware_final_accuracy_std,task_aware_final_accuracy_ci95,task_aware_forgetting_mean,task_aware_forgetting_std,task_aware_forgetting_ci95,classifier_gap_mean,classifier_gap_std,classifier_gap_ci95,elapsed_seconds_mean,elapsed_seconds_std,elapsed_seconds_ci95,learner_examples_processed_mean,learner_examples_processed_std,learner_examples_processed_ci95,total_model_examples_processed_mean,total_model_examples_processed_std,total_model_examples_processed_ci95,estimated_total_flops_mean,estimated_total_flops_std,estimated_total_flops_ci95,estimated_overhead_flops_mean,estimated_overhead_flops_std,estimated_overhead_flops_ci95,replay_memory_bytes_mean,replay_memory_bytes_std,replay_memory_bytes_ci95,stored_logits_bytes_mean,stored_logits_bytes_std,stored_logits_bytes_ci95
vanilla,0.717272,0.025246854501545762,0.01564816254003289,0.30743,0.0336958553336559,0.02088490751012957,-0.30743,0.0336958553336559,0.02088490751012957,0.011539999999999998,0.014408346346629946,0.008930385587295645,0.717272,0.025246854501545762,0.01564816254003289,0.30743,0.0336958553336559,0.02088490751012957,0.0,0.0,0.0,43.87946140999848,0.11424951552967555,0.07081258336633245,505600.0,0.0,0.0,505600.0,0.0,0.0,1623097344000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat,0.882344,0.02298257658894378,0.014244748549983838,0.095435,0.028710809520689818,0.017795144104314896,-0.095435,0.028710809520689818,0.017795144104314896,0.00704,0.014850304897730402,0.009204314335257256,0.882344,0.02298257658894378,0.014244748549983838,0.095435,0.028710809520689818,0.017795144104314896,0.0,0.0,0.0,73.10602705699712,0.3389317650853792,0.21007208441398262,505600.0,0.0,0.0,505600.0,0.0,0.0,1626787285780.0,0.0,0.0,3689941780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_beta_10,0.8522599999999999,0.016780944219229384,0.010400936984116153,0.13535,0.02199032615593603,0.013629745359975649,-0.13535,0.02199032615593603,0.013629745359975649,0.008220000000000002,0.016771324734001586,0.01039497476540147,0.8522599999999999,0.016780944219229384,0.010400936984116153,0.13535,0.02199032615593603,0.013629745359975649,0.0,0.0,0.0,73.45559632159856,0.25659865797710224,0.1590414959350347,505600.0,0.0,0.0,505600.0,0.0,0.0,1626787285780.0,0.0,0.0,3689941780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_beta_30,0.882344,0.02298257658894378,0.014244748549983838,0.095435,0.028710809520689818,0.017795144104314896,-0.095435,0.028710809520689818,0.017795144104314896,0.00704,0.014850304897730402,0.009204314335257256,0.882344,0.02298257658894378,0.014244748549983838,0.095435,0.028710809520689818,0.017795144104314896,0.0,0.0,0.0,73.38753453900426,0.3157820224796188,0.19572372529333712,505600.0,0.0,0.0,505600.0,0.0,0.0,1626787285780.0,0.0,0.0,3689941780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_beta_100,0.8954639999999999,0.012920807680292688,0.00800839956982943,0.07597000000000001,0.015499663078775467,0.009606790705653068,-0.07597000000000001,0.015499663078775467,0.009606790705653068,0.00921,0.01620459125611559,0.01004370971658934,0.8954639999999999,0.012920807680292688,0.00800839956982943,0.07597000000000001,0.015499663078775467,0.009606790705653068,0.0,0.0,0.0,73.37350271020259,0.280543627981397,0.1738827421037594,505600.0,0.0,0.0,505600.0,0.0,0.0,1626787285780.0,0.0,0.0,3689941780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_adaptive,0.887088,0.015361432803543363,0.009521114693433287,0.08945,0.019517897769312495,0.01209731836951204,-0.08945,0.019517897769312495,0.01209731836951204,0.007450000000000001,0.014723224284555789,0.00912554895517707,0.887088,0.015361432803543363,0.009521114693433287,0.08945,0.019517897769312495,0.01209731836951204,0.0,0.0,0.0,73.14884434599517,0.26133999844172356,0.1619802092010175,505600.0,0.0,0.0,505600.0,0.0,0.0,1626787285780.0,0.0,0.0,3689941780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_native_state,0.9129880000000001,0.009763734258298254,0.006051625190068101,0.05683499999999999,0.013132699857818862,0.008139731702103099,-0.05683499999999999,0.013132699857818862,0.008139731702103099,0.005245000000000002,0.015461573335207516,0.009583182438000437,0.9129880000000001,0.009763734258298254,0.006051625190068101,0.05683499999999999,0.013132699857818862,0.008139731702103099,0.0,0.0,0.0,66.00979107079911,0.1609144329568944,0.0997357988414969,505600.0,0.0,0.0,505600.0,0.0,0.0,1626787285780.0,0.0,0.0,3689941780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_unidirectional,0.83452,0.017207491908403608,0.010665313980896684,0.15587,0.021191339950293115,0.013134528579113739,-0.15587,0.021191339950293115,0.013134528579113739,0.008140000000000001,0.01526458865042444,0.009461090065455811,0.83452,0.017207491908403608,0.010665313980896684,0.15587,0.021191339950293115,0.013134528579113739,0.0,0.0,0.0,72.65059100970102,0.3429912146167647,0.21258815730085615,505600.0,0.0,0.0,505600.0,0.0,0.0,1626787285780.0,0.0,0.0,3689941780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_unbudgeted,0.883708,0.020510576567008325,0.012712587062704601,0.092635,0.025192084846016406,0.015614215955838312,-0.092635,0.025192084846016406,0.015614215955838312,0.00842,0.015053058013425562,0.009329982018322554,0.883708,0.020510576567008325,0.012712587062704601,0.092635,0.025192084846016406,0.015614215955838312,0.0,0.0,0.0,73.31687867250585,0.3104979238458345,0.19244860702884364,505600.0,0.0,0.0,505600.0,0.0,0.0,1626787285780.0,0.0,0.0,3689941780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_none,0.704064,0.03153744131099486,0.01954710863885956,0.32357,0.04010389424149895,0.024856651173746896,-0.32357,0.04010389424149895,0.024856651173746896,0.01064,0.013727300454851921,0.008508268970308302,0.704064,0.03153744131099486,0.01954710863885956,0.32357,0.04010389424149895,0.024856651173746896,0.0,0.0,0.0,73.53610657390091,0.40040537485358113,0.24817382249452175,505600.0,0.0,0.0,505600.0,0.0,0.0,1626787252300.0,0.0,0.0,3689908300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
