reference,method,metric,seed,difference
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,2101606466,0.006160000000000054
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1872839281,0.007999999999999896
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,637029796,0.009999999999999898
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1357204345,0.0031999999999999806
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1758462037,0.0011199999999998989
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,748737880,0.006440000000000001
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1611510062,0.0036799999999999056
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,333205446,0.011199999999999877
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,130501536,0.0031599999999999406
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,492612040,0.0041999999999998705
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,2101606466,-0.012149999999999994
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1872839281,-0.018949999999999995
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,637029796,-0.018600000000000033
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1357204345,-0.007750000000000035
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1758462037,-0.007650000000000018
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,748737880,-0.012949999999999962
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1611510062,-0.012450000000000017
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,333205446,-0.017849999999999977
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,130501536,-0.010199999999999959
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,492612040,-0.011299999999999977
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,2101606466,0.012149999999999994
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,1872839281,0.018949999999999995
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,637029796,0.018900000000000028
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,1357204345,0.007750000000000035
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,1758462037,0.007650000000000018
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,748737880,0.012949999999999962
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,1611510062,0.012450000000000017
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,333205446,0.017849999999999977
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,130501536,0.010199999999999959
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,492612040,0.011299999999999977
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,2101606466,-0.002149999999999999
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,1872839281,0.003749999999999993
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,637029796,-0.010600000000000012
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,1357204345,-0.014799999999999997
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,1758462037,-0.0131
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,748737880,-0.008650000000000003
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,1611510062,-0.020150000000000008
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,333205446,-0.002299999999999993
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,130501536,-0.006149999999999999
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,492612040,-0.017100000000000004
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,2101606466,0.006160000000000054
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,1872839281,0.007999999999999896
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,637029796,0.009999999999999898
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,1357204345,0.0031999999999999806
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,1758462037,0.0011199999999998989
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,748737880,0.006440000000000001
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,1611510062,0.0036799999999999056
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,333205446,0.011199999999999877
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,130501536,0.0031599999999999406
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,492612040,0.0041999999999998705
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_forgetting,2101606466,-0.012149999999999994
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_forgetting,1872839281,-0.018949999999999995
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_forgetting,637029796,-0.018600000000000033
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_forgetting,1357204345,-0.007750000000000035
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_forgetting,1758462037,-0.007650000000000018
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_forgetting,748737880,-0.012949999999999962
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_forgetting,1611510062,-0.012450000000000017
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_forgetting,333205446,-0.017849999999999977
