reference,method,metric,seed,difference
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,2101606466,0.006719999999999948
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1872839281,0.023279999999999856
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,637029796,0.008119999999999905
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1357204345,0.009599999999999942
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1758462037,-0.007080000000000086
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,748737880,0.02179999999999993
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1611510062,0.008280000000000065
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,333205446,0.03260000000000007
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,130501536,0.017280000000000073
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,492612040,-0.0021599999999999397
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,2101606466,-0.01444999999999999
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1872839281,-0.035999999999999976
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,637029796,-0.016150000000000025
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1357204345,-0.017699999999999994
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1758462037,0.0031999999999999806
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,748737880,-0.033249999999999974
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1611510062,-0.015400000000000053
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,333205446,-0.044399999999999995
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,130501536,-0.026000000000000023
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,492612040,-0.0038999999999999313
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,2101606466,0.01444999999999999
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,1872839281,0.035999999999999976
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,637029796,0.016150000000000025
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,1357204345,0.017699999999999994
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,1758462037,-0.0031999999999999806
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,748737880,0.033249999999999974
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,1611510062,0.015400000000000053
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,333205446,0.044399999999999995
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,130501536,0.026000000000000023
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,492612040,0.0038999999999999313
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,2101606466,-0.00015000000000000083
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,1872839281,0.0027999999999999935
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,637029796,-0.004800000000000002
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,1357204345,-0.01115
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,1758462037,-0.003049999999999997
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,748737880,-0.02085
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,1611510062,-0.021400000000000002
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,333205446,0.002600000000000005
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,130501536,-0.013450000000000004
replay,slowheat_replay_hidden_beta_30_budget_0.25,forward_transfer,492612040,-0.019700000000000002
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,2101606466,0.006719999999999948
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,1872839281,0.023279999999999856
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,637029796,0.008119999999999905
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,1357204345,0.009599999999999942
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,1758462037,-0.007080000000000086
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,748737880,0.02179999999999993
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,1611510062,0.008280000000000065
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,333205446,0.03260000000000007
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,130501536,0.017280000000000073
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_final_accuracy,492612040,-0.0021599999999999397
replay,slowheat_replay_hidden_beta_30_budget_0.25,task_aware_forgetting,2101606466,-0.01444999999999999
