reference,method,metric,seed,difference
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,2101606466,-0.0040000000000000036
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,1872839281,-0.0007999999999999952
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,637029796,-0.0005999999999999894
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,1357204345,-0.0005999999999999894
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,1758462037,-0.001799999999999996
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,748737880,-0.0007999999999999952
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,1611510062,0.0003999999999999837
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,333205446,-0.0006000000000000172
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,130501536,-0.001600000000000018
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,492612040,-0.0010000000000000009
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,2101606466,0.000500000000000167
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,1872839281,-0.0017500000000001403
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,637029796,-0.0020000000000000018
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,1357204345,-0.0017499999999999183
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,1758462037,-0.0017499999999999183
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,748737880,-0.0015000000000000568
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,1611510062,-0.0024999999999999467
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,333205446,-0.0017500000000001403
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,130501536,-0.0012499999999999734
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,492612040,-0.000500000000000056
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,2101606466,-0.000500000000000167
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,1872839281,0.0017500000000001403
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,637029796,0.0020000000000000018
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,1357204345,0.0017499999999999183
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,1758462037,0.0017499999999999183
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,748737880,0.0015000000000000568
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,1611510062,0.0024999999999999467
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,333205446,0.0017500000000001403
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,130501536,0.0012499999999999734
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,492612040,0.000500000000000056
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,2101606466,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,1872839281,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,637029796,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,1357204345,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,1758462037,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,748737880,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,1611510062,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,333205446,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,130501536,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,forward_transfer,492612040,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,2101606466,0.04920000000000013
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,1872839281,-0.03839999999999999
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,637029796,0.013600000000000056
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,1357204345,0.2467999999999999
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,1758462037,0.0988
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,748737880,0.0673999999999999
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,1611510062,-0.02859999999999996
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,333205446,0.07059999999999989
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,130501536,0.13560000000000005
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_final_accuracy,492612040,0.1412
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,2101606466,-0.06599999999999995
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,1872839281,0.04524999999999996
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,637029796,-0.019750000000000045
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,1357204345,-0.311
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,1758462037,-0.1275
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,748737880,-0.08675
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,1611510062,0.03375
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,333205446,-0.09074999999999994
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,130501536,-0.17250000000000004
vanilla,slowheat_hidden_beta_30_budget_0.25,task_aware_forgetting,492612040,-0.17825000000000002
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,2101606466,0.053200000000000136
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,1872839281,-0.03760000000000008
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,637029796,0.014200000000000101
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,1357204345,0.2473999999999999
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,1758462037,0.10059999999999991
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,748737880,0.06819999999999993
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,1611510062,-0.028999999999999915
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,333205446,0.07119999999999993
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,130501536,0.13720000000000004
vanilla,slowheat_hidden_beta_30_budget_0.25,classifier_gap,492612040,0.1422
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,2101606466,2.5742290699963633
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,1872839281,2.596701860002213
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,637029796,2.6844906530022854
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,1357204345,2.59292921600354
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,1758462037,2.6481786559998
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,748737880,2.6801271569966048
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,1611510062,2.609974355000304
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,333205446,2.6151692050007114
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,130501536,2.6461137070036784
vanilla,slowheat_hidden_beta_30_budget_0.25,elapsed_seconds,492612040,2.689462395999726
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,2101606466,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,1872839281,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,637029796,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,1357204345,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,1758462037,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,748737880,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,1611510062,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,333205446,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,130501536,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,learner_examples_processed,492612040,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,total_model_examples_processed,2101606466,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,total_model_examples_processed,1872839281,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,total_model_examples_processed,637029796,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,total_model_examples_processed,1357204345,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,total_model_examples_processed,1758462037,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,total_model_examples_processed,748737880,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,total_model_examples_processed,1611510062,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,total_model_examples_processed,333205446,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,total_model_examples_processed,130501536,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,total_model_examples_processed,492612040,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_total_flops,2101606466,344385920.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_total_flops,1872839281,344385920.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_total_flops,637029796,344385920.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_total_flops,1357204345,344385920.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_total_flops,1758462037,344385920.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_total_flops,748737880,344385920.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_total_flops,1611510062,344385920.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_total_flops,333205446,344385920.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_total_flops,130501536,344385920.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_total_flops,492612040,344385920.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_overhead_flops,2101606466,344385920.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_overhead_flops,1872839281,344385920.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_overhead_flops,637029796,344385920.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_overhead_flops,1357204345,344385920.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_overhead_flops,1758462037,344385920.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_overhead_flops,748737880,344385920.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_overhead_flops,1611510062,344385920.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_overhead_flops,333205446,344385920.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_overhead_flops,130501536,344385920.0
vanilla,slowheat_hidden_beta_30_budget_0.25,estimated_overhead_flops,492612040,344385920.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_memory_bytes,2101606466,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_memory_bytes,1872839281,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_memory_bytes,637029796,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_memory_bytes,1357204345,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_memory_bytes,1758462037,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_memory_bytes,748737880,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_memory_bytes,1611510062,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_memory_bytes,333205446,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_memory_bytes,130501536,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_memory_bytes,492612040,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,stored_logits_bytes,2101606466,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,stored_logits_bytes,1872839281,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,stored_logits_bytes,637029796,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,stored_logits_bytes,1357204345,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,stored_logits_bytes,1758462037,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,stored_logits_bytes,748737880,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,stored_logits_bytes,1611510062,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,stored_logits_bytes,333205446,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,stored_logits_bytes,130501536,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,stored_logits_bytes,492612040,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_metadata_bytes,2101606466,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_metadata_bytes,1872839281,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_metadata_bytes,637029796,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_metadata_bytes,1357204345,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_metadata_bytes,1758462037,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_metadata_bytes,748737880,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_metadata_bytes,1611510062,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_metadata_bytes,333205446,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_metadata_bytes,130501536,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,replay_metadata_bytes,492612040,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selector_forward_examples,2101606466,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selector_forward_examples,1872839281,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selector_forward_examples,637029796,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selector_forward_examples,1357204345,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selector_forward_examples,1758462037,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selector_forward_examples,748737880,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selector_forward_examples,1611510062,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selector_forward_examples,333205446,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selector_forward_examples,130501536,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selector_forward_examples,492612040,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selection_seconds,2101606466,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selection_seconds,1872839281,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selection_seconds,637029796,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selection_seconds,1357204345,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selection_seconds,1758462037,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selection_seconds,748737880,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selection_seconds,1611510062,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selection_seconds,333205446,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selection_seconds,130501536,0.0
vanilla,slowheat_hidden_beta_30_budget_0.25,selection_seconds,492612040,0.0
