reference,method,metric,seed,difference
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,2101606466,0.0050000000000001155
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1872839281,0.0011999999999999789
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,637029796,0.00039999999999995595
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1357204345,-0.008000000000000118
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1758462037,0.02420000000000011
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,748737880,0.012000000000000122
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,1611510062,-0.0031999999999998696
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,333205446,-0.008599999999999941
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,130501536,-0.011800000000000033
replay,slowheat_replay_hidden_beta_30_budget_0.25,final_average_accuracy,492612040,-0.0052000000000000934
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,2101606466,-0.009500000000000036
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1872839281,-0.004500000000000004
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,637029796,-0.005499999999999977
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1357204345,0.003500000000000003
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1758462037,-0.03774999999999998
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,748737880,-0.01874999999999999
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,1611510062,0.0017500000000000293
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,333205446,0.010250000000000037
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,130501536,0.00874999999999998
replay,slowheat_replay_hidden_beta_30_budget_0.25,average_forgetting,492612040,0.0020000000000000018
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,2101606466,0.009500000000000036
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,1872839281,0.004500000000000004
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,637029796,0.005499999999999977
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,1357204345,-0.003500000000000003
replay,slowheat_replay_hidden_beta_30_budget_0.25,backward_transfer,1758462037,0.03774999999999998
