method,final_average_accuracy_mean,final_average_accuracy_std,final_average_accuracy_ci95,average_forgetting_mean,average_forgetting_std,average_forgetting_ci95,backward_transfer_mean,backward_transfer_std,backward_transfer_ci95,forward_transfer_mean,forward_transfer_std,forward_transfer_ci95,task_aware_final_accuracy_mean,task_aware_final_accuracy_std,task_aware_final_accuracy_ci95,task_aware_forgetting_mean,task_aware_forgetting_std,task_aware_forgetting_ci95,classifier_gap_mean,classifier_gap_std,classifier_gap_ci95,elapsed_seconds_mean,elapsed_seconds_std,elapsed_seconds_ci95,learner_examples_processed_mean,learner_examples_processed_std,learner_examples_processed_ci95,total_model_examples_processed_mean,total_model_examples_processed_std,total_model_examples_processed_ci95,estimated_total_flops_mean,estimated_total_flops_std,estimated_total_flops_ci95,estimated_overhead_flops_mean,estimated_overhead_flops_std,estimated_overhead_flops_ci95,replay_memory_bytes_mean,replay_memory_bytes_std,replay_memory_bytes_ci95,stored_logits_bytes_mean,stored_logits_bytes_std,stored_logits_bytes_ci95
vanilla,0.19596,0.0008733078876700165,0.000541281836631035,0.99285,0.0012087642909645812,0.0007491998694904068,-0.99285,0.0012087642909645812,0.0007491998694904068,-0.13410000000000002,0.07465180283601104,0.04626966676632398,0.65352,0.044102426237113086,0.027334966980773916,0.42089999999999994,0.05492737629512871,0.034044340537990554,0.45755999999999997,0.044163111806624814,0.027372580286443175,4.2854770385034495,0.02465298681326674,0.015280079533379735,102400.0,0.0,0.0,102400.0,0.0,0.0,144231628800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat,0.19294,0.00128944432476423,0.0007992058725176338,0.9898,0.002002775851439969,0.0012413333333333304,-0.9898,0.002002775851439969,0.0012413333333333304,-0.13410000000000002,0.07465180283601104,0.04626966676632398,0.6686,0.06881653548062087,0.0426529305889082,0.39522499999999994,0.08531033625664726,0.05287589422306624,0.4756600000000001,0.06856530058597017,0.04249721358792569,7.131518712299294,0.04112456579353875,0.025489269955834327,102400.0,0.0,0.0,102400.0,0.0,0.0,144581142920.0,0.0,0.0,349514120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_beta_10,0.1943,0.0011671427600007777,0.0007234025773308338,0.99095,0.0019249819623974119,0.0011931161813596189,-0.99095,0.0019249819623974119,0.0011931161813596189,-0.13410000000000002,0.07465180283601104,0.04626966676632398,0.66282,0.07269641287191855,0.04505770351025203,0.4053,0.09172193788232395,0.05684984608207446,0.46852,0.07294766464923864,0.04521343097522142,7.165078233601525,0.046441685257608695,0.028784854742978597,102400.0,0.0,0.0,102400.0,0.0,0.0,144581142920.0,0.0,0.0,349514120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_beta_30,0.19294,0.00128944432476423,0.0007992058725176338,0.9898,0.002002775851439969,0.0012413333333333304,-0.9898,0.002002775851439969,0.0012413333333333304,-0.13410000000000002,0.07465180283601104,0.04626966676632398,0.6686,0.06881653548062087,0.0426529305889082,0.39522499999999994,0.08531033625664726,0.05287589422306624,0.4756600000000001,0.06856530058597017,0.04249721358792569,7.165820848698786,0.042351108514218416,0.02624948901022443,102400.0,0.0,0.0,102400.0,0.0,0.0,144581142920.0,0.0,0.0,349514120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_beta_100,0.19132000000000002,0.0020724649842907127,0.0012845271053755314,0.9883749999999999,0.0029136889561745104,0.0018059231249788355,-0.9883749999999999,0.0029136889561745104,0.0018059231249788355,-0.13410000000000002,0.07465180283601104,0.04626966676632398,0.63424,0.0527556884768521,0.03269831448296175,0.434725,0.06695141791710696,0.0414969187463894,0.4429200000000001,0.053744018788657345,0.033310887956675986,7.169774020297337,0.0625634430558839,0.038777223750492286,102400.0,0.0,0.0,102400.0,0.0,0.0,144581142920.0,0.0,0.0,349514120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_adaptive,0.19295999999999996,0.00165945104711702,0.0010285384149904707,0.989325,0.0020105623867741726,0.0012461594779338732,-0.989325,0.0020105623867741726,0.0012461594779338732,-0.13410000000000002,0.07465180283601104,0.04626966676632398,0.6526000000000001,0.03650095889151404,0.022623528707962404,0.414775,0.046194253189956194,0.02863149475858903,0.4596400000000001,0.03744338541199378,0.023207650717046814,7.156733574699319,0.05250464983493935,0.032542719120686445,102400.0,0.0,0.0,102400.0,0.0,0.0,144581142920.0,0.0,0.0,349514120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_native_state,0.19522,0.0007390684827688305,0.00045807939146930463,0.9911750000000001,0.00204481050466787,0.0012673866813250115,-0.9911750000000001,0.00204481050466787,0.0012673866813250115,-0.13410000000000002,0.07465180283601104,0.04626966676632398,0.85172,0.0597431688331162,0.037029199677131704,0.170575,0.0749601792435305,0.04646080044391065,0.6565,0.059617689395756485,0.03695142671610337,6.570159096698626,0.05149089928302377,0.03191439001891847,102400.0,0.0,0.0,102400.0,0.0,0.0,144581142920.0,0.0,0.0,349514120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_unidirectional,0.19346,0.0018062853226073299,0.0011195472418199539,0.9911749999999998,0.001611805405955292,0.0009990073406470448,-0.9911749999999998,0.001611805405955292,0.0009990073406470448,-0.13410000000000002,0.07465180283601104,0.04626966676632398,0.72198,0.06117526370101635,0.03791682127230018,0.33055,0.07639506237680257,0.04735015022386119,0.52852,0.061249667572794035,0.03796293726980449,7.082506878396089,0.05338026823581443,0.033085433028238694,102400.0,0.0,0.0,102400.0,0.0,0.0,144581142920.0,0.0,0.0,349514120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_unbudgeted,0.19234,0.0021375999001995993,0.0013248981445127524,0.9901,0.0016923028360458718,0.0010489001647228206,-0.9901,0.0016923028360458718,0.0010489001647228206,-0.13410000000000002,0.07465180283601104,0.04626966676632398,0.6648799999999999,0.03514897817386257,0.021785562377562503,0.39942500000000003,0.04395610973838944,0.02724427907530926,0.47254000000000007,0.03504372506835806,0.021720325826899256,7.160783163098676,0.056577318736396195,0.03506698545801698,102400.0,0.0,0.0,102400.0,0.0,0.0,144581142920.0,0.0,0.0,349514120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_none,0.19596,0.0008733078876700165,0.000541281836631035,0.99285,0.0012087642909645812,0.0007491998694904068,-0.99285,0.0012087642909645812,0.0007491998694904068,-0.13410000000000002,0.07465180283601104,0.04626966676632398,0.6532399999999999,0.04416874712081183,0.027376073090362853,0.42124999999999996,0.05499848482761443,0.034088414063041035,0.45728,0.04422871867413248,0.027413243844211902,7.150973142498697,0.06057844278979656,0.037546907839104526,102400.0,0.0,0.0,102400.0,0.0,0.0,144581128000.0,0.0,0.0,349499200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hard_freeze,0.19584,0.008897340426591899,0.005514628729721213,0.9824999999999999,0.010777419810779326,0.006679914004769181,-0.9824999999999999,0.010777419810779326,0.006679914004769181,-0.13410000000000002,0.07465180283601104,0.04626966676632398,0.77234,0.055310360693092586,0.0342817167271419,0.261925,0.06841032755853949,0.04240116031038144,0.5765,0.05480188561232785,0.03396656060696558,7.086674128497544,0.04590514321285661,0.028452302538293922,102400.0,0.0,0.0,102400.0,0.0,0.0,144581142920.0,0.0,0.0,349514120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
replay,0.76268,0.012681465039795522,0.00786005346433613,0.282275,0.01670472737480821,0.0103536972945256,-0.282275,0.01670472737480821,0.0103536972945256,-0.133025,0.07602196776809537,0.04711890378959736,0.9831200000000001,0.0023555136264612215,0.001459962471359383,0.011200000000000005,0.0033224823383862937,0.002059295888296663,0.22044000000000002,0.014294303449665221,0.008859701067442648,5.51378531120281,0.030611765168071382,0.01897336862134528,143360.0,0.0,0.0,143360.0,0.0,0.0,201924280320.0,0.0,0.0,0.0,0.0,0.0,628800.0,0.0,0.0,0.0,0.0,0.0
distillation,0.19604,0.0009276014469827258,0.000574933333333334,0.9931750000000001,0.002300513227762657,0.0014258728710668373,-0.9931750000000001,0.002300513227762657,0.0014258728710668373,-0.13410000000000002,0.07465180283601104,0.04626966676632398,0.86786,0.057137810015202156,0.03541438155175569,0.15357500000000002,0.07122977783202754,0.04414867369468759,0.6718200000000001,0.05720578447830062,0.035456512560474863,5.269964800002344,0.021633175704866992,0.01340838121699965,102400.0,0.0,0.0,184320.0,0.0,0.0,182693396480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_replay,0.7675799999999999,0.01267103433469863,0.007853588446337418,0.26949999999999996,0.016783755373707177,0.010402679355713016,-0.26949999999999996,0.016783755373707177,0.010402679355713016,-0.13295,0.07369878636118177,0.04567898103553148,0.98166,0.003361282823896604,0.002083344678369119,0.009025000000000005,0.005215428500559128,0.0032325560749626252,0.21407999999999996,0.012459070769702124,0.007722212067651232,8.357961481098027,0.06174344810547836,0.03826898561472109,143360.0,0.0,0.0,143360.0,0.0,0.0,202338347400.0,0.0,0.0,414067080.0,0.0,0.0,628800.0,0.0,0.0,0.0,0.0,0.0
slowheat_distillation,0.19326,0.0027777688888746682,0.0017216789944702244,0.98845,0.0034996031521048565,0.002169076506001782,-0.98845,0.0034996031521048565,0.002169076506001782,-0.13410000000000002,0.07465180283601104,0.04626966676632398,0.84148,0.03475798229663703,0.021543220622119923,0.17845,0.043229812244175506,0.026794115224553813,0.64822,0.03562326954861573,0.02207953121724583,8.13233698560216,0.051752640120949434,0.032076618671005586,102400.0,0.0,0.0,184320.0,0.0,0.0,183042910600.0,0.0,0.0,349514120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
derpp,0.8250399999999999,0.01089007703268335,0.006749739674321593,0.20372500000000002,0.013751489818278685,0.00852326169308962,-0.20372500000000002,0.013751489818278685,0.00852326169308962,-0.13392500000000002,0.07443967076319812,0.04613818594541112,0.9852999999999998,0.002655392835553921,0.0016458295307972927,0.009100000000000007,0.003693462693282104,0.0022892318944717407,0.16025999999999993,0.010993351526162393,0.006813749868546014,5.592658920903341,0.025319496516875598,0.015693186527597252,143360.0,0.0,0.0,143360.0,0.0,0.0,201924280320.0,0.0,0.0,0.0,0.0,0.0,628800.0,0.0,0.0,8000.0,0.0,0.0
slowheat_derpp_hidden_beta_30_budget_0.25,0.8506199999999999,0.01580054851368563,0.009793281430314013,0.1619,0.02225521162434645,0.013793923074230118,-0.1619,0.02225521162434645,0.013793923074230118,-0.1337,0.07411934820124753,0.045939647964597104,0.9838000000000001,0.002037427571991489,0.0012628106922434783,0.0072500000000000064,0.00360747680365223,0.002235937287929955,0.13317999999999994,0.015872953936387074,0.009838158776248041,8.152421311000944,0.06265603434211833,0.03883461242426542,143360.0,0.0,0.0,143360.0,0.0,0.0,202331580800.0,0.0,0.0,407300480.0,0.0,0.0,628800.0,0.0,0.0,8000.0,0.0,0.0
er_ace,0.7078,0.01307108768746244,0.008101544083280229,0.04265000000000001,0.013457856028687811,0.008341265584763235,0.45780000000000004,0.044941134337659464,0.027854803647166887,-0.132775,0.07579059693216128,0.046975498659762346,0.9826600000000001,0.002566536793251014,0.0015907559851983826,0.012025000000000008,0.0031056623913247377,0.0019249094928218196,0.27486,0.01286409300685003,0.007973247451042463,5.528114672396623,0.03503406894459711,0.021714340899386453,143360.0,0.0,0.0,143360.0,0.0,0.0,201924280320.0,0.0,0.0,0.0,0.0,0.0,628800.0,0.0,0.0,0.0,0.0,0.0
