reference,candidate,metric,seed,reference_value,candidate_value,difference
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,2101606466,0.1968,0.19319999999999998,-0.00360000000000002
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,1872839281,0.1954,0.195,-0.0003999999999999837
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,637029796,0.1958,0.19519999999999998,-0.0006000000000000172
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,1357204345,0.1968,0.1964,-0.00040000000000001146
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,1758462037,0.197,0.19519999999999998,-0.0018000000000000238
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,748737880,0.19619999999999999,0.195,-0.0011999999999999789
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,1611510062,0.1958,0.19619999999999999,0.0003999999999999837
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,333205446,0.197,0.19619999999999999,-0.0008000000000000229
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,130501536,0.19519999999999998,0.194,-0.0011999999999999789
vanilla,slowheat_hidden_beta_30_budget_0.25,final_average_accuracy,492612040,0.1964,0.195,-0.0013999999999999846
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,2101606466,0.9927499999999999,0.9930000000000001,0.0002500000000001945
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,1872839281,0.9947499999999999,0.99225,-0.0024999999999999467
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,637029796,0.993,0.99075,-0.0022499999999999742
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,1357204345,0.9917499999999999,0.991,-0.0007499999999999174
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,1758462037,0.995,0.99375,-0.0012499999999999734
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,748737880,0.99575,0.994,-0.0017500000000000293
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,1611510062,0.99075,0.9882500000000001,-0.0024999999999999467
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,333205446,0.9957500000000001,0.9937499999999999,-0.002000000000000224
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,130501536,0.99175,0.9902500000000001,-0.0014999999999999458
vanilla,slowheat_hidden_beta_30_budget_0.25,average_forgetting,492612040,0.992,0.99175,-0.00024999999999997247
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,2101606466,-0.9927499999999999,-0.9930000000000001,-0.0002500000000001945
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,1872839281,-0.9947499999999999,-0.99225,0.0024999999999999467
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,637029796,-0.993,-0.99075,0.0022499999999999742
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,1357204345,-0.9917499999999999,-0.991,0.0007499999999999174
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,1758462037,-0.995,-0.99375,0.0012499999999999734
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,748737880,-0.99575,-0.994,0.0017500000000000293
vanilla,slowheat_hidden_beta_30_budget_0.25,backward_transfer,1611510062,-0.99075,-0.9882500000000001,0.0024999999999999467
