reference,method,metric,seed,difference
slowheat,dualheat,final_average_accuracy,698971273,0.0435
slowheat,dualheat,final_average_accuracy,1288660088,-0.039900000000000005
slowheat,dualheat,final_average_accuracy,1181804493,0.021599999999999994
slowheat,dualheat,average_forgetting,698971273,-0.03312499999999996
slowheat,dualheat,average_forgetting,1288660088,-0.01574999999999993
slowheat,dualheat,average_forgetting,1181804493,-0.04837500000000017
slowheat,dualheat,backward_transfer,698971273,0.03312499999999996
slowheat,dualheat,backward_transfer,1288660088,0.01574999999999993
slowheat,dualheat,backward_transfer,1181804493,0.04837500000000017
slowheat,dualheat,forward_transfer,698971273,-0.037250000000000005
slowheat,dualheat,forward_transfer,1288660088,-0.009000000000000008
slowheat,dualheat,forward_transfer,1181804493,-0.01575
slowheat,dualheat,task_aware_final_accuracy,698971273,0.04350000000000004
slowheat,dualheat,task_aware_final_accuracy,1288660088,-0.030200000000000005
slowheat,dualheat,task_aware_final_accuracy,1181804493,0.021600000000000064
slowheat,dualheat,task_aware_forgetting,698971273,-0.03312499999999996
slowheat,dualheat,task_aware_forgetting,1288660088,-0.027874999999999983
slowheat,dualheat,task_aware_forgetting,1181804493,-0.04837500000000006
slowheat,dualheat,classifier_gap,698971273,5.551115123125783e-17
slowheat,dualheat,classifier_gap,1288660088,0.009699999999999986
slowheat,dualheat,classifier_gap,1181804493,5.551115123125783e-17
slowheat,dualheat,elapsed_seconds,698971273,11.197028531023534
slowheat,dualheat,elapsed_seconds,1288660088,11.380730649019824
slowheat,dualheat,elapsed_seconds,1181804493,8.971529570000712
slowheat,dualheat,learner_examples_processed,698971273,0.0
slowheat,dualheat,learner_examples_processed,1288660088,0.0
slowheat,dualheat,learner_examples_processed,1181804493,0.0
slowheat,dualheat,total_model_examples_processed,698971273,0.0
slowheat,dualheat,total_model_examples_processed,1288660088,0.0
slowheat,dualheat,total_model_examples_processed,1181804493,0.0
slowheat,dualheat,estimated_total_flops,698971273,193071513600.0
slowheat,dualheat,estimated_total_flops,1288660088,193071513600.0
slowheat,dualheat,estimated_total_flops,1181804493,193071513600.0
slowheat,dualheat,estimated_overhead_flops,698971273,193071513600.0
slowheat,dualheat,estimated_overhead_flops,1288660088,193071513600.0
slowheat,dualheat,estimated_overhead_flops,1181804493,193071513600.0
slowheat,dualheat,fastheat_overhead_flops,698971273,193071513600.0
slowheat,dualheat,fastheat_overhead_flops,1288660088,193071513600.0
slowheat,dualheat,fastheat_overhead_flops,1181804493,193071513600.0
slowheat,dualheat,fastheat_state_bytes,698971273,7936.0
slowheat,dualheat,fastheat_state_bytes,1288660088,7936.0
slowheat,dualheat,fastheat_state_bytes,1181804493,7936.0
slowheat,dualheat,slowheat_state_bytes,698971273,0.0
slowheat,dualheat,slowheat_state_bytes,1288660088,0.0
slowheat,dualheat,slowheat_state_bytes,1181804493,0.0
slowheat,dualheat,method_state_bytes,698971273,7936.0
slowheat,dualheat,method_state_bytes,1288660088,7936.0
slowheat,dualheat,method_state_bytes,1181804493,7936.0
slowheat,dualheat,replay_memory_bytes,698971273,0.0
slowheat,dualheat,replay_memory_bytes,1288660088,0.0
slowheat,dualheat,replay_memory_bytes,1181804493,0.0
slowheat,dualheat,stored_logits_bytes,698971273,0.0
slowheat,dualheat,stored_logits_bytes,1288660088,0.0
slowheat,dualheat,stored_logits_bytes,1181804493,0.0
slowheat,dualheat,replay_metadata_bytes,698971273,0.0
slowheat,dualheat,replay_metadata_bytes,1288660088,0.0
slowheat,dualheat,replay_metadata_bytes,1181804493,0.0
slowheat,dualheat,selector_forward_examples,698971273,0.0
slowheat,dualheat,selector_forward_examples,1288660088,0.0
slowheat,dualheat,selector_forward_examples,1181804493,0.0
slowheat,dualheat,selection_seconds,698971273,0.0
slowheat,dualheat,selection_seconds,1288660088,0.0
slowheat,dualheat,selection_seconds,1181804493,0.0
