reference,method,metric,seed,difference
slowheat,dualheat,final_average_accuracy,698971273,0.0020000000000000018
slowheat,dualheat,final_average_accuracy,1288660088,-0.0066000000000000225
slowheat,dualheat,final_average_accuracy,1181804493,-0.0020000000000000018
slowheat,dualheat,average_forgetting,698971273,-0.024375000000000036
slowheat,dualheat,average_forgetting,1288660088,-0.0026250000000000995
slowheat,dualheat,average_forgetting,1181804493,-0.03750000000000009
slowheat,dualheat,backward_transfer,698971273,0.024375000000000036
slowheat,dualheat,backward_transfer,1288660088,0.0026250000000000995
slowheat,dualheat,backward_transfer,1181804493,0.03750000000000009
slowheat,dualheat,forward_transfer,698971273,-0.0005000000000000004
slowheat,dualheat,forward_transfer,1288660088,0.0015000000000000013
slowheat,dualheat,forward_transfer,1181804493,-0.0001250000000000001
slowheat,dualheat,task_aware_final_accuracy,698971273,0.023900000000000032
slowheat,dualheat,task_aware_final_accuracy,1288660088,0.03550000000000009
slowheat,dualheat,task_aware_final_accuracy,1181804493,0.00029999999999985594
slowheat,dualheat,task_aware_forgetting,698971273,-0.05174999999999996
slowheat,dualheat,task_aware_forgetting,1288660088,-0.055249999999999966
slowheat,dualheat,task_aware_forgetting,1181804493,-0.04037500000000005
slowheat,dualheat,classifier_gap,698971273,0.02190000000000003
slowheat,dualheat,classifier_gap,1288660088,0.04210000000000008
slowheat,dualheat,classifier_gap,1181804493,0.0022999999999998577
slowheat,dualheat,elapsed_seconds,698971273,6.991205769998487
slowheat,dualheat,elapsed_seconds,1288660088,7.101614713988965
slowheat,dualheat,elapsed_seconds,1181804493,7.066464375006035
slowheat,dualheat,learner_examples_processed,698971273,0.0
slowheat,dualheat,learner_examples_processed,1288660088,0.0
slowheat,dualheat,learner_examples_processed,1181804493,0.0
slowheat,dualheat,total_model_examples_processed,698971273,0.0
slowheat,dualheat,total_model_examples_processed,1288660088,0.0
slowheat,dualheat,total_model_examples_processed,1181804493,0.0
slowheat,dualheat,estimated_total_flops,698971273,98316288000.0
slowheat,dualheat,estimated_total_flops,1288660088,98316288000.0
slowheat,dualheat,estimated_total_flops,1181804493,98316288000.0
slowheat,dualheat,estimated_overhead_flops,698971273,98316288000.0
slowheat,dualheat,estimated_overhead_flops,1288660088,98316288000.0
slowheat,dualheat,estimated_overhead_flops,1181804493,98316288000.0
slowheat,dualheat,fastheat_overhead_flops,698971273,98316288000.0
slowheat,dualheat,fastheat_overhead_flops,1288660088,98316288000.0
slowheat,dualheat,fastheat_overhead_flops,1181804493,98316288000.0
slowheat,dualheat,fastheat_state_bytes,698971273,11008.0
slowheat,dualheat,fastheat_state_bytes,1288660088,11008.0
slowheat,dualheat,fastheat_state_bytes,1181804493,11008.0
slowheat,dualheat,slowheat_state_bytes,698971273,0.0
slowheat,dualheat,slowheat_state_bytes,1288660088,0.0
slowheat,dualheat,slowheat_state_bytes,1181804493,0.0
slowheat,dualheat,method_state_bytes,698971273,11008.0
slowheat,dualheat,method_state_bytes,1288660088,11008.0
slowheat,dualheat,method_state_bytes,1181804493,11008.0
slowheat,dualheat,replay_memory_bytes,698971273,0.0
slowheat,dualheat,replay_memory_bytes,1288660088,0.0
slowheat,dualheat,replay_memory_bytes,1181804493,0.0
slowheat,dualheat,stored_logits_bytes,698971273,0.0
slowheat,dualheat,stored_logits_bytes,1288660088,0.0
slowheat,dualheat,stored_logits_bytes,1181804493,0.0
slowheat,dualheat,replay_metadata_bytes,698971273,0.0
slowheat,dualheat,replay_metadata_bytes,1288660088,0.0
slowheat,dualheat,replay_metadata_bytes,1181804493,0.0
slowheat,dualheat,selector_forward_examples,698971273,0.0
slowheat,dualheat,selector_forward_examples,1288660088,0.0
slowheat,dualheat,selector_forward_examples,1181804493,0.0
slowheat,dualheat,selection_seconds,698971273,0.0
slowheat,dualheat,selection_seconds,1288660088,0.0
slowheat,dualheat,selection_seconds,1181804493,0.0
