method,final_average_accuracy_mean,final_average_accuracy_std,final_average_accuracy_ci95,average_forgetting_mean,average_forgetting_std,average_forgetting_ci95,backward_transfer_mean,backward_transfer_std,backward_transfer_ci95,forward_transfer_mean,forward_transfer_std,forward_transfer_ci95,task_aware_final_accuracy_mean,task_aware_final_accuracy_std,task_aware_final_accuracy_ci95,task_aware_forgetting_mean,task_aware_forgetting_std,task_aware_forgetting_ci95,classifier_gap_mean,classifier_gap_std,classifier_gap_ci95,elapsed_seconds_mean,elapsed_seconds_std,elapsed_seconds_ci95,learner_examples_processed_mean,learner_examples_processed_std,learner_examples_processed_ci95,total_model_examples_processed_mean,total_model_examples_processed_std,total_model_examples_processed_ci95,estimated_total_flops_mean,estimated_total_flops_std,estimated_total_flops_ci95,estimated_overhead_flops_mean,estimated_overhead_flops_std,estimated_overhead_flops_ci95,replay_memory_bytes_mean,replay_memory_bytes_std,replay_memory_bytes_ci95,stored_logits_bytes_mean,stored_logits_bytes_std,stored_logits_bytes_ci95
vanilla,0.719472,0.024959129614453936,0.015469828807418798,0.3045649999999999,0.03225596456471266,0.019992453965434046,-0.3045649999999999,0.03225596456471266,0.019992453965434046,0.012255000000000002,0.01656659037541119,0.010268079095267365,0.719472,0.024959129614453936,0.015469828807418798,0.3045649999999999,0.03225596456471266,0.019992453965434046,0.0,0.0,0.0,7.848147425000207,0.31178635408098493,0.19324718436210678,505600.0,0.0,0.0,505600.0,0.0,0.0,1623097344000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat,0.8814080000000001,0.01287237593539833,0.00797838126334464,0.09678500000000001,0.014572978228366508,0.009032425484761979,-0.09678500000000001,0.014572978228366508,0.009032425484761979,0.007620000000000002,0.014052564020688737,0.008709869417059146,0.8814080000000001,0.01287237593539833,0.00797838126334464,0.09678500000000001,0.014572978228366508,0.009032425484761979,0.0,0.0,0.0,19.315458650700748,0.27069757459941873,0.167780094992231,505600.0,0.0,0.0,505600.0,0.0,0.0,1626787285780.0,0.0,0.0,3689941780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_beta_10,0.851852,0.010587557477215171,0.006562236111245459,0.13554499999999997,0.014080945556949569,0.008727460475482608,-0.13554499999999997,0.014080945556949569,0.008727460475482608,0.007994999999999999,0.015725535673617678,0.009746787990352968,0.851852,0.010587557477215171,0.006562236111245459,0.13554499999999997,0.014080945556949569,0.008727460475482608,0.0,0.0,0.0,19.389784216007683,0.18603555696406038,0.1153060328137483,505600.0,0.0,0.0,505600.0,0.0,0.0,1626787285780.0,0.0,0.0,3689941780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_beta_30,0.8814080000000001,0.01287237593539833,0.00797838126334464,0.09678500000000001,0.014572978228366508,0.009032425484761979,-0.09678500000000001,0.014572978228366508,0.009032425484761979,0.007620000000000002,0.014052564020688737,0.008709869417059146,0.8814080000000001,0.01287237593539833,0.00797838126334464,0.09678500000000001,0.014572978228366508,0.009032425484761979,0.0,0.0,0.0,19.404138267293455,0.16713395647162693,0.10359069945393291,505600.0,0.0,0.0,505600.0,0.0,0.0,1626787285780.0,0.0,0.0,3689941780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_beta_100,0.89214,0.00797382941600558,0.004942230675132673,0.07953999999999999,0.009109787166680799,0.005646304583432324,-0.07953999999999999,0.009109787166680799,0.005646304583432324,0.005165,0.013759462400673782,0.008528203150853186,0.89214,0.00797382941600558,0.004942230675132673,0.07953999999999999,0.009109787166680799,0.005646304583432324,0.0,0.0,0.0,19.40224406370835,0.15900651205947278,0.09855325721776509,505600.0,0.0,0.0,505600.0,0.0,0.0,1626787285780.0,0.0,0.0,3689941780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_adaptive,0.88332,0.013310166540405595,0.00824972669155367,0.09407,0.016132716930373363,0.009999161547961016,-0.09407,0.016132716930373363,0.009999161547961016,0.00701,0.014629779371010503,0.009067631197715188,0.88332,0.013310166540405595,0.00824972669155367,0.09407,0.016132716930373363,0.009999161547961016,0.0,0.0,0.0,19.416369854600635,0.14365851442090535,0.08904046972585637,505600.0,0.0,0.0,505600.0,0.0,0.0,1626787285780.0,0.0,0.0,3689941780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_native_state,0.9132560000000002,0.01215291021388154,0.007532451789176384,0.05655,0.014599448239193454,0.009048831767446863,-0.05655,0.014599448239193454,0.009048831767446863,0.005124999999999999,0.014553622115015447,0.009020428441413781,0.9132560000000002,0.01215291021388154,0.007532451789176384,0.05655,0.014599448239193454,0.009048831767446863,0.0,0.0,0.0,17.657336900997326,0.19607370743752706,0.12152774293611214,505600.0,0.0,0.0,505600.0,0.0,0.0,1626787285780.0,0.0,0.0,3689941780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_unidirectional,0.8299200000000001,0.020435167943740735,0.012665848313774942,0.16108000000000003,0.025623580719503068,0.015881659869029927,-0.16108000000000003,0.025623580719503068,0.015881659869029927,0.006459999999999999,0.014889739196283237,0.009228755966723432,0.8299200000000001,0.020435167943740735,0.012665848313774942,0.16108000000000003,0.025623580719503068,0.015881659869029927,0.0,0.0,0.0,18.849973595800112,0.115351845866829,0.07149581478779647,505600.0,0.0,0.0,505600.0,0.0,0.0,1626787285780.0,0.0,0.0,3689941780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_unbudgeted,0.8845040000000001,0.017670044456964764,0.010952007020726587,0.09127,0.021535683566273597,0.013347954963464127,-0.09127,0.021535683566273597,0.013347954963464127,0.0066,0.014090165995394725,0.008733175362438976,0.8845040000000001,0.017670044456964764,0.010952007020726587,0.09127,0.021535683566273597,0.013347954963464127,0.0,0.0,0.0,19.343952218303457,0.13950990243860326,0.08646913337935758,505600.0,0.0,0.0,505600.0,0.0,0.0,1626787285780.0,0.0,0.0,3689941780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_none,0.708068,0.03514367741461072,0.021782276932939947,0.31876499999999997,0.044408176486868824,0.027524472948915035,-0.31876499999999997,0.044408176486868824,0.027524472948915035,0.010325,0.012325949366185867,0.007639702566927008,0.708068,0.03514367741461072,0.021782276932939947,0.31876499999999997,0.044408176486868824,0.027524472948915035,0.0,0.0,0.0,19.315570743003626,0.1636482717942776,0.10143024970796059,505600.0,0.0,0.0,505600.0,0.0,0.0,1626787252300.0,0.0,0.0,3689908300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
