reference,method,metric,seed,difference
replay,vanilla,final_average_accuracy,311,-0.21256000000000008
replay,vanilla,final_average_accuracy,617,-0.23027999999999993
replay,vanilla,final_average_accuracy,919,-0.21155999999999997
replay,vanilla,final_average_accuracy,1223,-0.22399999999999998
replay,vanilla,final_average_accuracy,1523,-0.24195999999999995
replay,vanilla,final_average_accuracy,1823,-0.22176000000000007
replay,vanilla,final_average_accuracy,2129,-0.19919999999999993
replay,vanilla,final_average_accuracy,2423,-0.19284
replay,vanilla,final_average_accuracy,2729,-0.15664
replay,vanilla,final_average_accuracy,3037,-0.23483999999999994
replay,vanilla,average_forgetting,311,0.2643000000000001
replay,vanilla,average_forgetting,617,0.28879999999999995
replay,vanilla,average_forgetting,919,0.26560000000000006
replay,vanilla,average_forgetting,1223,0.2799
replay,vanilla,average_forgetting,1523,0.30234999999999995
replay,vanilla,average_forgetting,1823,0.27699999999999997
replay,vanilla,average_forgetting,2129,0.24929999999999997
replay,vanilla,average_forgetting,2423,0.24140000000000003
replay,vanilla,average_forgetting,2729,0.19730000000000003
replay,vanilla,average_forgetting,3037,0.29355000000000003
replay,vanilla,backward_transfer,311,-0.2643000000000001
replay,vanilla,backward_transfer,617,-0.28879999999999995
replay,vanilla,backward_transfer,919,-0.26560000000000006
replay,vanilla,backward_transfer,1223,-0.2799
replay,vanilla,backward_transfer,1523,-0.30234999999999995
replay,vanilla,backward_transfer,1823,-0.27699999999999997
replay,vanilla,backward_transfer,2129,-0.24929999999999997
replay,vanilla,backward_transfer,2423,-0.24140000000000003
replay,vanilla,backward_transfer,2729,-0.19730000000000003
replay,vanilla,backward_transfer,3037,-0.29355000000000003
replay,vanilla,forward_transfer,311,-0.006950000000000001
replay,vanilla,forward_transfer,617,0.009000000000000011
replay,vanilla,forward_transfer,919,-0.0005499999999999949
replay,vanilla,forward_transfer,1223,-0.008000000000000002
replay,vanilla,forward_transfer,1523,0.000900000000000005
replay,vanilla,forward_transfer,1823,0.0016499999999999987
replay,vanilla,forward_transfer,2129,0.0024999999999999988
replay,vanilla,forward_transfer,2423,-0.0037499999999999964
replay,vanilla,forward_transfer,2729,-0.002749999999999999
replay,vanilla,forward_transfer,3037,0.01075000000000001
replay,vanilla,task_aware_final_accuracy,311,-0.21256000000000008
replay,vanilla,task_aware_final_accuracy,617,-0.23027999999999993
replay,vanilla,task_aware_final_accuracy,919,-0.21155999999999997
replay,vanilla,task_aware_final_accuracy,1223,-0.22399999999999998
replay,vanilla,task_aware_final_accuracy,1523,-0.24195999999999995
replay,vanilla,task_aware_final_accuracy,1823,-0.22176000000000007
replay,vanilla,task_aware_final_accuracy,2129,-0.19919999999999993
replay,vanilla,task_aware_final_accuracy,2423,-0.19284
replay,vanilla,task_aware_final_accuracy,2729,-0.15664
replay,vanilla,task_aware_final_accuracy,3037,-0.23483999999999994
replay,vanilla,task_aware_forgetting,311,0.2643000000000001
replay,vanilla,task_aware_forgetting,617,0.28879999999999995
replay,vanilla,task_aware_forgetting,919,0.26560000000000006
replay,vanilla,task_aware_forgetting,1223,0.2799
replay,vanilla,task_aware_forgetting,1523,0.30234999999999995
replay,vanilla,task_aware_forgetting,1823,0.27699999999999997
replay,vanilla,task_aware_forgetting,2129,0.24929999999999997
replay,vanilla,task_aware_forgetting,2423,0.24140000000000003
replay,vanilla,task_aware_forgetting,2729,0.19730000000000003
replay,vanilla,task_aware_forgetting,3037,0.29355000000000003
replay,vanilla,classifier_gap,311,0.0
replay,vanilla,classifier_gap,617,0.0
replay,vanilla,classifier_gap,919,0.0
replay,vanilla,classifier_gap,1223,0.0
replay,vanilla,classifier_gap,1523,0.0
replay,vanilla,classifier_gap,1823,0.0
replay,vanilla,classifier_gap,2129,0.0
replay,vanilla,classifier_gap,2423,0.0
replay,vanilla,classifier_gap,2729,0.0
replay,vanilla,classifier_gap,3037,0.0
replay,vanilla,elapsed_seconds,311,-4.7611077740148176
replay,vanilla,elapsed_seconds,617,-3.781838577997405
replay,vanilla,elapsed_seconds,919,-3.795178817003034
replay,vanilla,elapsed_seconds,1223,-4.393256484996527
replay,vanilla,elapsed_seconds,1523,-4.586060169996927
replay,vanilla,elapsed_seconds,1823,-4.741788897023071
replay,vanilla,elapsed_seconds,2129,-4.244416684989119
replay,vanilla,elapsed_seconds,2423,-3.4628534599614795
replay,vanilla,elapsed_seconds,2729,-3.914697550004348
replay,vanilla,elapsed_seconds,3037,-3.8804577149858233
replay,vanilla,learner_examples_processed,311,-202240.0
replay,vanilla,learner_examples_processed,617,-202240.0
replay,vanilla,learner_examples_processed,919,-202240.0
replay,vanilla,learner_examples_processed,1223,-202240.0
replay,vanilla,learner_examples_processed,1523,-202240.0
replay,vanilla,learner_examples_processed,1823,-202240.0
replay,vanilla,learner_examples_processed,2129,-202240.0
replay,vanilla,learner_examples_processed,2423,-202240.0
replay,vanilla,learner_examples_processed,2729,-202240.0
replay,vanilla,learner_examples_processed,3037,-202240.0
replay,vanilla,total_model_examples_processed,311,-202240.0
replay,vanilla,total_model_examples_processed,617,-202240.0
replay,vanilla,total_model_examples_processed,919,-202240.0
replay,vanilla,total_model_examples_processed,1223,-202240.0
replay,vanilla,total_model_examples_processed,1523,-202240.0
replay,vanilla,total_model_examples_processed,1823,-202240.0
replay,vanilla,total_model_examples_processed,2129,-202240.0
replay,vanilla,total_model_examples_processed,2423,-202240.0
replay,vanilla,total_model_examples_processed,2729,-202240.0
replay,vanilla,total_model_examples_processed,3037,-202240.0
replay,vanilla,estimated_total_flops,311,-649238937600.0
replay,vanilla,estimated_total_flops,617,-649238937600.0
replay,vanilla,estimated_total_flops,919,-649238937600.0
replay,vanilla,estimated_total_flops,1223,-649238937600.0
replay,vanilla,estimated_total_flops,1523,-649238937600.0
replay,vanilla,estimated_total_flops,1823,-649238937600.0
replay,vanilla,estimated_total_flops,2129,-649238937600.0
replay,vanilla,estimated_total_flops,2423,-649238937600.0
replay,vanilla,estimated_total_flops,2729,-649238937600.0
replay,vanilla,estimated_total_flops,3037,-649238937600.0
replay,vanilla,estimated_overhead_flops,311,0.0
replay,vanilla,estimated_overhead_flops,617,0.0
replay,vanilla,estimated_overhead_flops,919,0.0
replay,vanilla,estimated_overhead_flops,1223,0.0
replay,vanilla,estimated_overhead_flops,1523,0.0
replay,vanilla,estimated_overhead_flops,1823,0.0
replay,vanilla,estimated_overhead_flops,2129,0.0
replay,vanilla,estimated_overhead_flops,2423,0.0
replay,vanilla,estimated_overhead_flops,2729,0.0
replay,vanilla,estimated_overhead_flops,3037,0.0
replay,vanilla,replay_memory_bytes,311,-628800.0
replay,vanilla,replay_memory_bytes,617,-628800.0
replay,vanilla,replay_memory_bytes,919,-628800.0
replay,vanilla,replay_memory_bytes,1223,-628800.0
replay,vanilla,replay_memory_bytes,1523,-628800.0
