method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes
vanilla,0.72192,0.30005000000000004,-0.30005000000000004,0.02655,0.72192,0.30005000000000004,0.0,7.537521271995502,505600,505600,1623097344000,0,0,0
slowheat,0.87332,0.10250000000000001,-0.10250000000000001,0.017000000000000005,0.87332,0.10250000000000001,0.0,19.518595628993353,505600,505600,1626787285780,3689941780,0,0
slowheat_beta_10,0.85272,0.13154999999999994,-0.13154999999999994,0.03135,0.85272,0.13154999999999994,0.0,19.553152409003815,505600,505600,1626787285780,3689941780,0,0
slowheat_beta_30,0.87332,0.10250000000000001,-0.10250000000000001,0.017000000000000005,0.87332,0.10250000000000001,0.0,19.491129235975677,505600,505600,1626787285780,3689941780,0,0
slowheat_beta_100,0.8937999999999999,0.07414999999999997,-0.07414999999999997,0.012900000000000005,0.8937999999999999,0.07414999999999997,0.0,19.473030046996428,505600,505600,1626787285780,3689941780,0,0
slowheat_adaptive,0.88172,0.09425000000000003,-0.09425000000000003,0.018350000000000005,0.88172,0.09425000000000003,0.0,19.531021964998217,505600,505600,1626787285780,3689941780,0,0
slowheat_native_state,0.9196799999999999,0.04435,-0.04435,0.022400000000000003,0.9196799999999999,0.04435,0.0,17.738064951990964,505600,505600,1626787285780,3689941780,0,0
slowheat_unidirectional,0.8298399999999999,0.15755000000000002,-0.15755000000000002,0.020900000000000005,0.8298399999999999,0.15755000000000002,0.0,18.933077568013687,505600,505600,1626787285780,3689941780,0,0
slowheat_unbudgeted,0.8876799999999999,0.086,-0.086,0.025150000000000006,0.8876799999999999,0.086,0.0,19.51304724800866,505600,505600,1626787285780,3689941780,0,0
slowheat_none,0.71396,0.3095,-0.3095,0.02545,0.71396,0.3095,0.0,19.499455786019098,505600,505600,1626787252300,3689908300,0,0
hard_freeze,0.90464,0.050699999999999995,-0.050699999999999995,0.005750000000000002,0.90464,0.050699999999999995,0.0,18.800955793994945,505600,505600,1626787285780,3689941780,0,0
replay,0.9344800000000001,0.035749999999999976,-0.035749999999999976,0.0335,0.9344800000000001,0.035749999999999976,0.0,12.29862904601032,707840,707840,2272336281600,0,628800,0
