method,final_average_accuracy_mean,final_average_accuracy_std,final_average_accuracy_ci95,average_forgetting_mean,average_forgetting_std,average_forgetting_ci95,backward_transfer_mean,backward_transfer_std,backward_transfer_ci95,forward_transfer_mean,forward_transfer_std,forward_transfer_ci95,task_aware_final_accuracy_mean,task_aware_final_accuracy_std,task_aware_final_accuracy_ci95,task_aware_forgetting_mean,task_aware_forgetting_std,task_aware_forgetting_ci95,classifier_gap_mean,classifier_gap_std,classifier_gap_ci95,elapsed_seconds_mean,elapsed_seconds_std,elapsed_seconds_ci95,learner_examples_processed_mean,learner_examples_processed_std,learner_examples_processed_ci95,total_model_examples_processed_mean,total_model_examples_processed_std,total_model_examples_processed_ci95,estimated_total_flops_mean,estimated_total_flops_std,estimated_total_flops_ci95,estimated_overhead_flops_mean,estimated_overhead_flops_std,estimated_overhead_flops_ci95,replay_memory_bytes_mean,replay_memory_bytes_std,replay_memory_bytes_ci95,stored_logits_bytes_mean,stored_logits_bytes_std,stored_logits_bytes_ci95
vanilla,0.05459000000000001,0.0009848293704438809,0.0006104035677775452,0.5258666666666667,0.00447299471895842,0.002772390849667416,-0.5258666666666667,0.00447299471895842,0.002772390849667416,-0.0234,0.007550506664564463,0.004679852515467714,0.15986,0.005373225805375716,0.0033303598577664557,0.4089111111111111,0.007435649863252629,0.004608663532473979,0.10527,0.004979970995007003,0.0030866180010562395,45.14074592979741,6.926541626486599,4.293114978142325,409600.0,0.0,0.0,409600.0,0.0,0.0,9145260441600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat,0.054680000000000006,0.001416411741769398,0.00087790109288512,0.5345777777777778,0.0043007001694925885,0.00266560158153748,-0.5345777777777778,0.0043007001694925885,0.00266560158153748,-0.023533333333333337,0.007645040172021624,0.004738444990426465,0.14984999999999998,0.0034351936707492318,0.002129155095858973,0.4288333333333333,0.005532854855607856,0.0034292989681412017,0.09517,0.0037618110295736876,0.002331594632196793,96.76607467750436,11.81951735318608,7.325812753270755,409600.0,0.0,0.0,409600.0,0.0,0.0,9159854145880.0,0.0,0.0,14593704280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_replay,0.10090000000000002,0.003520416642008918,0.002181976840695918,0.48025555555555555,0.003173125317385911,0.0019667234476004962,-0.48025555555555555,0.003173125317385911,0.0019667234476004962,-0.02341111111111111,0.007684636303469284,0.004762986926960047,0.42490000000000006,0.003641123147845698,0.002256791508117466,0.1355888888888889,0.0030379628218587256,0.0018829488649412436,0.32399999999999995,0.003191307638640354,0.0019779929670698305,111.7651559033955,11.147724736781242,6.909431375778631,593920.0,0.0,0.0,593920.0,0.0,0.0,13276427534680.0,0.0,0.0,15799894360.0,0.0,0.0,24592000.0,0.0,0.0,0.0,0.0,0.0
slowheat_distillation,0.05488,0.0015031818105457337,0.0009316817386974052,0.5369222222222223,0.0036590080885458304,0.002267876709209641,-0.5369222222222223,0.0036590080885458304,0.002267876709209641,-0.023533333333333337,0.007645040172021624,0.004738444990426465,0.21528,0.007800826167072872,0.004835002150522328,0.3588444444444444,0.007648878989383917,0.00474082431407817,0.1604,0.006982358722762197,0.004327710772837451,104.85668432740495,11.470567054663963,7.109531117499742,409600.0,0.0,0.0,778240.0,0.0,0.0,11903432278360.0,0.0,0.0,14593704280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
derpp,0.11523000000000001,0.0035509153749420795,0.0022008801512122416,0.4451555555555555,0.005547450878402201,0.003438345676795935,-0.4451555555555555,0.005547450878402201,0.003438345676795935,-0.022933333333333333,0.007370128415905723,0.004568052918669403,0.39310999999999996,0.004711322060266697,0.002920107666203808,0.16440000000000002,0.004206663992746952,0.002607317355347287,0.27788,0.004905507109361891,0.003040464806571525,58.45531549930165,1.126189444968251,0.6980194496963432,593920.0,0.0,0.0,593920.0,0.0,0.0,13260627640320.0,0.0,0.0,0.0,0.0,0.0,24592000.0,0.0,0.0,800000.0,0.0,0.0
slowheat_derpp_hidden_beta_30_budget_0.25,0.11071,0.002120508324802234,0.0013143046763297425,0.44571111111111106,0.0033620981103625797,0.002083849998156006,-0.44571111111111106,0.0033620981103625797,0.002083849998156006,-0.022755555555555557,0.007431036386888759,0.004605804070198708,0.4144,0.0039330508373130535,0.0024377301646317548,0.13461111111111113,0.0049519640420543935,0.0030692591117725604,0.30369,0.0034517145498046864,0.0021393948427846005,109.48365520059596,11.004893294062333,6.820903530404624,593920.0,0.0,0.0,593920.0,0.0,0.0,13276025799680.0,0.0,0.0,15398159360.0,0.0,0.0,24592000.0,0.0,0.0,800000.0,0.0,0.0
er_ace,0.13536,0.003478888711451793,0.002156237562669449,0.15428888888888886,0.004486284539704694,0.002780627965905119,0.02781111111111111,0.005158409703789885,0.0031972154585849454,-0.0207,0.007544845350172838,0.0046763435964542605,0.44046,0.005282297479948138,0.0032740018977799297,0.11902222222222222,0.00793523164340953,0.004918307527826173,0.30510000000000004,0.006175039361098114,0.0038273290483631533,57.963528837100604,1.0717491145671607,0.6642769833309906,593920.0,0.0,0.0,593920.0,0.0,0.0,13260627640320.0,0.0,0.0,0.0,0.0,0.0,24592000.0,0.0,0.0,0.0,0.0,0.0
slowheat_er_ace_hidden_beta_30_budget_0.25,0.14912999999999998,0.0045499816849448255,0.002820107865549355,0.1467111111111111,0.002740340311088417,0.0016984805216146985,0.06786666666666667,0.004008153555510839,0.0024842793116348115,-0.01923333333333333,0.008691236145329503,0.005386883972718191,0.46652999999999994,0.0060266168877,0.0037353358462719703,0.09662222222222223,0.008061355936417132,0.004996480174525937,0.3174,0.005059863854119209,0.0031361361081574312,108.32726962969755,8.626451546237968,5.3467300621938865,593920.0,0.0,0.0,593920.0,0.0,0.0,13276025799680.0,0.0,0.0,15398159360.0,0.0,0.0,24592000.0,0.0,0.0,0.0,0.0,0.0
agem,0.05561000000000001,0.0009882082551545246,0.0006124978222183489,0.5302,0.004626161664070173,0.0028673247057928305,-0.5302,0.004626161664070173,0.0028673247057928305,-0.02331111111111111,0.007505060021473907,0.004651684394249431,0.27508000000000005,0.016057106422598895,0.009952297669717614,0.2863777777777778,0.018913578635206055,0.011722757489622211,0.21947,0.016098036457213593,0.009977666367999643,66.31427791809547,0.7656741165214135,0.47456973411438597,593920.0,0.0,0.0,593920.0,0.0,0.0,13260627640320.0,0.0,0.0,0.0,0.0,0.0,24592000.0,0.0,0.0,0.0,0.0,0.0
ewc,0.05588,0.0013222875800840122,0.0008195623330642845,0.5273111111111112,0.002440962728060514,0.0015129243732328872,-0.5273111111111112,0.002440962728060514,0.0015129243732328872,-0.023433333333333334,0.007600889775363742,0.004711080291070862,0.16777000000000003,0.00978434690944901,0.006064401043613273,0.4030111111111111,0.010851845531536517,0.006726043544411291,0.11189000000000002,0.009305130006853447,0.005767379330144478,68.4528161703056,1.8853437598250788,1.16854816887281,409600.0,0.0,0.0,409600.0,0.0,0.0,9188184925160.0,0.0,0.0,42924483560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
