method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes
vanilla,0.053700000000000005,0.5211111111111111,-0.5211111111111111,-0.027555555555555552,0.14930000000000002,0.41488888888888886,0.09560000000000002,43.36499879998155,409600,409600,9145260441600,0,0,0
slowheat,0.05689999999999999,0.5361111111111111,-0.5361111111111111,-0.027666666666666662,0.1503,0.43233333333333335,0.0934,91.9067563409917,409600,409600,9159854145880,14593704280,0,0
slowheat_replay,0.1049,0.47622222222222227,-0.47622222222222227,-0.027666666666666662,0.4247000000000001,0.1371111111111111,0.3198000000000001,104.32171571598155,593920,593920,13276427534680,15799894360,24592000,0
slowheat_distillation,0.0551,0.5405555555555555,-0.5405555555555555,-0.027666666666666662,0.21660000000000004,0.36111111111111116,0.16150000000000003,99.95678795300773,409600,778240,11903432278360,14593704280,0,0
derpp,0.1165,0.4425555555555556,-0.4425555555555556,-0.027555555555555552,0.3882,0.1688888888888889,0.2717,57.43212215299718,593920,593920,13260627640320,0,24592000,800000
slowheat_derpp_hidden_beta_30_budget_0.25,0.1139,0.4398888888888889,-0.4398888888888889,-0.026999999999999996,0.4164,0.13177777777777783,0.3025,106.45464024000103,593920,593920,13276025799680,15398159360,24592000,800000
er_ace,0.13390000000000002,0.15044444444444446,0.026111111111111116,-0.025555555555555557,0.4351,0.11966666666666666,0.30119999999999997,56.96889422897948,593920,593920,13260627640320,0,24592000,0
slowheat_er_ace_hidden_beta_30_budget_0.25,0.1417,0.14455555555555555,0.061000000000000006,-0.024444444444444446,0.45600000000000007,0.10722222222222223,0.3143000000000001,106.42194764502347,593920,593920,13276025799680,15398159360,24592000,0
agem,0.05639999999999999,0.5344444444444443,-0.5344444444444443,-0.027222222222222217,0.27440000000000003,0.29233333333333333,0.21800000000000003,65.12118151399773,593920,593920,13260627640320,0,24592000,0
ewc,0.054000000000000006,0.5283333333333334,-0.5283333333333334,-0.027555555555555552,0.15250000000000002,0.4188888888888889,0.09850000000000002,67.04686504299752,409600,409600,9188184925160,42924483560,0,0
si,0.056799999999999996,0.5315555555555557,-0.5315555555555557,-0.027555555555555552,0.1767,0.39844444444444443,0.1199,82.23933114900137,409600,409600,9224035989920,78775548320,0,0
lwf_calibrated,0.0548,0.5323333333333333,-0.5323333333333333,-0.027555555555555552,0.4013,0.14888888888888893,0.3465,51.00239383499138,409600,778240,11888838574080,0,0,0
replay_balanced,0.09359999999999999,0.4737777777777778,-0.4737777777777778,-0.027555555555555552,0.3991,0.15266666666666667,0.3055,57.19971158300177,593920,593920,13260627640320,0,24592000,0
replay_more_epochs,0.09179999999999999,0.46155555555555555,-0.46155555555555555,-0.026999999999999996,0.3748,0.16977777777777778,0.28300000000000003,113.76767453999491,1187840,1187840,26521255280640,0,24592000,0
slowheat_replay_hidden_beta_30_budget_0.25,0.10290000000000002,0.46888888888888897,-0.46888888888888897,-0.02744444444444444,0.43649999999999994,0.11544444444444443,0.3335999999999999,119.83028719300637,593920,593920,13276025799680,15398159360,24592000,0
slowheat_hidden_beta_30_budget_0.25,0.05500000000000001,0.534,-0.534,-0.02744444444444444,0.1605,0.4167777777777778,0.1055,113.2897748129908,409600,409600,9159526138880,14265697280,0,0
slowheat_replay_hidden_adaptive_beta_30_budget_0.25,0.09870000000000001,0.4746666666666667,-0.4746666666666667,-0.02744444444444444,0.41159999999999997,0.14344444444444443,0.31289999999999996,139.81993034799234,593920,593920,13276025799680,15398159360,24592000,0
slowheat_replay_partial_output_beta_30_budget_0.25,0.097,0.48566666666666664,-0.48566666666666664,-0.027666666666666662,0.41950000000000004,0.14333333333333334,0.3225,141.24826340502477,593920,593920,13276427534680,15799894360,24592000,0
slowheat_replay_hidden_beta_30_budget_0.25_calibrated,0.1236,0.4077777777777778,-0.4077777777777778,-0.02744444444444444,0.43649999999999994,0.11544444444444443,0.31289999999999996,142.53234430099837,593920,593920,13276025799680,15398159360,24592000,0
