method,final_average_accuracy_mean,final_average_accuracy_std,final_average_accuracy_ci95,average_forgetting_mean,average_forgetting_std,average_forgetting_ci95,backward_transfer_mean,backward_transfer_std,backward_transfer_ci95,forward_transfer_mean,forward_transfer_std,forward_transfer_ci95,task_aware_final_accuracy_mean,task_aware_final_accuracy_std,task_aware_final_accuracy_ci95,task_aware_forgetting_mean,task_aware_forgetting_std,task_aware_forgetting_ci95,classifier_gap_mean,classifier_gap_std,classifier_gap_ci95,elapsed_seconds_mean,elapsed_seconds_std,elapsed_seconds_ci95,learner_examples_processed_mean,learner_examples_processed_std,learner_examples_processed_ci95,total_model_examples_processed_mean,total_model_examples_processed_std,total_model_examples_processed_ci95,estimated_total_flops_mean,estimated_total_flops_std,estimated_total_flops_ci95,estimated_overhead_flops_mean,estimated_overhead_flops_std,estimated_overhead_flops_ci95,replay_memory_bytes_mean,replay_memory_bytes_std,replay_memory_bytes_ci95,stored_logits_bytes_mean,stored_logits_bytes_std,stored_logits_bytes_ci95,replay_metadata_bytes_mean,replay_metadata_bytes_std,replay_metadata_bytes_ci95,selector_forward_examples_mean,selector_forward_examples_std,selector_forward_examples_ci95,selection_seconds_mean,selection_seconds_std,selection_seconds_ci95
vanilla,0.17278,0.0021983832443158947,0.0013625720515097728,0.8514375,0.005723747436970167,0.003547615415865848,-0.8514375,0.005723747436970167,0.003547615415865848,-0.0892125,0.07791062922241954,0.04828950828682492,0.61942,0.03737149240322688,0.023163090968559827,0.2931375,0.047661583717916886,0.02954095564212505,0.4466399999999999,0.03685802189181858,0.022844838648393012,7.968550845698337,0.04358840434959308,0.027016372914152466,201600.0,0.0,0.0,201600.0,0.0,0.0,6780882124800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_none,0.17355,0.0017475379506290774,0.0010831352434278697,0.8501125,0.0063501558379827705,0.003935867365227982,-0.8501125,0.0063501558379827705,0.003935867365227982,-0.0901875,0.0779387947633697,0.04830696546996784,0.61118,0.03485375159147147,0.02160257904603059,0.303075,0.044513036479964685,0.027589465845983076,0.43762999999999996,0.034380357764281624,0.021309166512090517,12.894332023392781,0.11172023261184498,0.06924491757234143,201600.0,0.0,0.0,201600.0,0.0,0.0,6781002193350.0,0.0,0.0,120068550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_unidirectional,0.16853,0.003843045667175974,0.0023819443822222235,0.8255250000000001,0.00819400187128771,0.005078694976730399,-0.8255250000000001,0.00819400187128771,0.005078694976730399,-0.0894375,0.07786674537132152,0.04826230879411891,0.6058399999999999,0.02892350831647736,0.017926976183766572,0.2788875,0.03215254709540477,0.019928355153872798,0.43731,0.027937090041734867,0.01731558780290177,12.430493117606966,0.08271753738096807,0.05126886083053971,201600.0,0.0,0.0,201600.0,0.0,0.0,6781002196270.0,0.0,0.0,120071470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat,0.15405000000000002,0.005305814420677248,0.0032885778486553513,0.7920125,0.008084289032850451,0.005010694254957733,-0.7920125,0.008084289032850451,0.005010694254957733,-0.089175,0.07793179888708958,0.04830262938092615,0.5656299999999999,0.021033151082147532,0.013036482102844216,0.27753750000000005,0.024700782291930224,0.015309703477968914,0.41158,0.017606614918515385,0.010912692985489667,12.913581445801537,0.037301546593301385,0.023119738106418465,201600.0,0.0,0.0,201600.0,0.0,0.0,6781002196270.0,0.0,0.0,120071470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hard_freeze,0.15116000000000002,0.009572089055628818,0.005932842262824421,0.7830625,0.0180607818290842,0.011194188553044439,-0.7830625,0.0180607818290842,0.011194188553044439,-0.08925,0.07790026565351936,0.04828308488027204,0.5654,0.02891646973996347,0.0179226136288458,0.26641250000000005,0.03245461842241323,0.02011558090207135,0.41424000000000005,0.027957912813529,0.01732849389057097,12.641278191897436,0.11041616250058678,0.06843664654343691,201600.0,0.0,0.0,201600.0,0.0,0.0,6781002196270.0,0.0,0.0,120071470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lpr,0.36393,0.010741616886359941,0.0066577231223093995,0.6176375000000001,0.012608893741676504,0.007815073307753138,-0.6176375000000001,0.012608893741676504,0.007815073307753138,0.0087625,0.10590778958996988,0.0656423280634023,0.8241099999999999,0.010134698372971488,0.0062815511304489405,0.06046249999999999,0.01339880410293727,0.008304664821987426,0.4601800000000001,0.013139406379285198,0.008143888447173144,11.22984311740729,0.060214430025224565,0.037321290390153784,282240.0,0.0,0.0,286520.0,0.0,0.0,9558831581462.0,0.0,0.0,17610205462.0,0.0,0.0,2459200.0,0.0,0.0,0.0,0.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,0.012819385802140459,0.0006357395069464651,0.00039403542873864034
slowheat_lpr,0.37447,0.011413836632205097,0.007074369237371398,0.5690125,0.016577412050069122,0.010274786438710576,-0.5690125,0.016577412050069122,0.010274786438710576,0.0315,0.0972000728737724,0.06024522932703191,0.8126599999999999,0.008167986287941492,0.005062570351116129,0.05676250000000001,0.012191107016090769,0.007556126412462342,0.43818999999999997,0.010266282460343449,0.00636310779275522,15.058329246100039,0.09229320405449953,0.05720392052391348,282240.0,0.0,0.0,286520.0,0.0,0.0,9558970506742.0,0.0,0.0,17749130742.0,0.0,0.0,2459200.0,0.0,0.0,0.0,0.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,0.012574642599793151,0.00035682961024114843,0.000221165283770626
classifier_expander,0.33777,0.01630201419048169,0.010104093076900397,0.30296249999999997,0.03452309261365661,0.021397634488289696,-0.196825,0.054522841798440566,0.03379360745926825,-0.006762499999999995,0.0820124577681139,0.05083184795889941,0.81088,0.0082597820794498,0.005119465972149831,0.05034999999999999,0.008180430578181347,0.0050702834021164695,0.47311,0.015362902648190457,0.009522025712584006,11.923046831798274,0.08377369284714865,0.051923472770467764,282944.0,0.0,0.0,363584.0,0.0,0.0,10421031862272.0,0.0,0.0,0.0,0.0,0.0,2459200.0,0.0,0.0,0.0,0.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,0.012944237704505212,0.0005350025094457317,0.0003315979908158349
slowheat_classifier_expander,0.32584,0.00888334271419144,0.005505952857690595,0.2542125,0.028359060011259565,0.017577127499648185,-0.0988625,0.049770147023313296,0.0308478567187234,-0.025149999999999995,0.07743408487223181,0.04799414303850002,0.7915600000000002,0.010748663999668874,0.0066620909683905594,0.050324999999999995,0.010749063266681009,0.006662338436648531,0.46571999999999997,0.007520313232247092,0.0046611384322335124,15.681050598793082,0.09031377667577721,0.05597705872390027,282944.0,0.0,0.0,363584.0,0.0,0.0,10421170787552.0,0.0,0.0,138925280.0,0.0,0.0,2459200.0,0.0,0.0,0.0,0.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,0.012847717289696447,0.0004425742311467064,0.0002743103504077995
scroll,0.31521999999999994,0.01478901995100119,0.00916632953173976,0.23396250000000002,0.04837946971885674,0.029985905995335717,-0.15085,0.0675581745197755,0.04187299038494597,-0.1468625,0.07785183242865899,0.04825306565649482,0.72647,0.016582792285981245,0.01027812114347752,0.033949999999999994,0.030322124760643002,0.01879384763692629,0.41125,0.021572371733822426,0.013370694525300035,2.8023783426004227,0.037636411749073576,0.02332728968026684,41088.0,0.0,0.0,81088.0,0.0,0.0,1835848189829.0,0.0,0.0,5368792965.0,0.0,0.0,2459200.0,0.0,0.0,0.0,0.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,0.012893098100903444,0.00033093315822675537,0.00020511449652080944
slowheat_scroll,0.37112,0.029471485277203877,0.01826661582280029,0.21635,0.052243480454502646,0.03238084466162055,-0.1875875,0.06537307597551152,0.04051865227583465,-0.1468625,0.07785183242865899,0.04825306565649482,0.76187,0.022366544957443286,0.013862928188998624,0.046262500000000005,0.022547438416961402,0.013975047116795947,0.39075000000000004,0.031345892872910806,0.01942838568692726,3.535814595900592,0.027329320072133192,0.01693888807301282,41088.0,0.0,0.0,81088.0,0.0,0.0,1835869783909.0,0.0,0.0,5390387045.0,0.0,0.0,2459200.0,0.0,0.0,0.0,0.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,0.013129024702357129,0.0005640038380105832,0.0003495732004892581
