reference,method,metric,seed,difference
vanilla,slowheat_none,final_average_accuracy,2101606466,0.0007000000000000062
vanilla,slowheat_none,final_average_accuracy,1872839281,0.0020000000000000018
vanilla,slowheat_none,final_average_accuracy,637029796,0.00040000000000001146
vanilla,slowheat_none,final_average_accuracy,1357204345,0.00020000000000000573
vanilla,slowheat_none,final_average_accuracy,1758462037,0.0032999999999999974
vanilla,slowheat_none,final_average_accuracy,748737880,0.0005000000000000282
vanilla,slowheat_none,final_average_accuracy,1611510062,0.0020000000000000018
vanilla,slowheat_none,final_average_accuracy,333205446,0.0010000000000000009
vanilla,slowheat_none,final_average_accuracy,130501536,-0.0010000000000000009
vanilla,slowheat_none,final_average_accuracy,492612040,-0.0014000000000000123
vanilla,slowheat_none,average_forgetting,2101606466,0.001874999999999849
vanilla,slowheat_none,average_forgetting,1872839281,-0.0036249999999999893
vanilla,slowheat_none,average_forgetting,637029796,-0.0003749999999999032
vanilla,slowheat_none,average_forgetting,1357204345,-0.001374999999999904
vanilla,slowheat_none,average_forgetting,1758462037,-0.0026249999999998774
vanilla,slowheat_none,average_forgetting,748737880,-0.0004999999999999449
vanilla,slowheat_none,average_forgetting,1611510062,-0.0012499999999998623
vanilla,slowheat_none,average_forgetting,333205446,-0.002874999999999961
vanilla,slowheat_none,average_forgetting,130501536,0.0003750000000000142
vanilla,slowheat_none,average_forgetting,492612040,-0.002874999999999961
vanilla,slowheat_none,backward_transfer,2101606466,-0.001874999999999849
vanilla,slowheat_none,backward_transfer,1872839281,0.0036249999999999893
vanilla,slowheat_none,backward_transfer,637029796,0.0003749999999999032
vanilla,slowheat_none,backward_transfer,1357204345,0.001374999999999904
vanilla,slowheat_none,backward_transfer,1758462037,0.0026249999999998774
vanilla,slowheat_none,backward_transfer,748737880,0.0004999999999999449
vanilla,slowheat_none,backward_transfer,1611510062,0.0012499999999998623
vanilla,slowheat_none,backward_transfer,333205446,0.002874999999999961
vanilla,slowheat_none,backward_transfer,130501536,-0.0003750000000000142
vanilla,slowheat_none,backward_transfer,492612040,0.002874999999999961
vanilla,slowheat_none,forward_transfer,2101606466,0.00012499999999998623
vanilla,slowheat_none,forward_transfer,1872839281,-0.00037499999999998646
vanilla,slowheat_none,forward_transfer,637029796,-0.009749999999999981
vanilla,slowheat_none,forward_transfer,1357204345,0.0
vanilla,slowheat_none,forward_transfer,1758462037,-0.00037499999999998646
vanilla,slowheat_none,forward_transfer,748737880,0.0
vanilla,slowheat_none,forward_transfer,1611510062,0.0002500000000000002
vanilla,slowheat_none,forward_transfer,333205446,0.0
vanilla,slowheat_none,forward_transfer,130501536,0.0
vanilla,slowheat_none,forward_transfer,492612040,0.00037500000000000033
vanilla,slowheat_none,task_aware_final_accuracy,2101606466,0.0018000000000001348
vanilla,slowheat_none,task_aware_final_accuracy,1872839281,0.006199999999999983
vanilla,slowheat_none,task_aware_final_accuracy,637029796,0.007000000000000006
vanilla,slowheat_none,task_aware_final_accuracy,1357204345,-0.027499999999999858
vanilla,slowheat_none,task_aware_final_accuracy,1758462037,-0.01529999999999987
vanilla,slowheat_none,task_aware_final_accuracy,748737880,0.018299999999999983
vanilla,slowheat_none,task_aware_final_accuracy,1611510062,-0.014000000000000012
vanilla,slowheat_none,task_aware_final_accuracy,333205446,0.03490000000000004
vanilla,slowheat_none,task_aware_final_accuracy,130501536,-0.04640000000000022
vanilla,slowheat_none,task_aware_final_accuracy,492612040,-0.04739999999999989
vanilla,slowheat_none,task_aware_forgetting,2101606466,0.0005000000000000004
vanilla,slowheat_none,task_aware_forgetting,1872839281,-0.008874999999999994
vanilla,slowheat_none,task_aware_forgetting,637029796,-0.008624999999999994
vanilla,slowheat_none,task_aware_forgetting,1357204345,0.03325
vanilla,slowheat_none,task_aware_forgetting,1758462037,0.020625000000000004
vanilla,slowheat_none,task_aware_forgetting,748737880,-0.022749999999999937
vanilla,slowheat_none,task_aware_forgetting,1611510062,0.01874999999999999
vanilla,slowheat_none,task_aware_forgetting,333205446,-0.04524999999999996
vanilla,slowheat_none,task_aware_forgetting,130501536,0.05712499999999998
vanilla,slowheat_none,task_aware_forgetting,492612040,0.05462499999999998
vanilla,slowheat_none,classifier_gap,2101606466,0.001100000000000101
vanilla,slowheat_none,classifier_gap,1872839281,0.0041999999999999815
vanilla,slowheat_none,classifier_gap,637029796,0.00660000000000005
vanilla,slowheat_none,classifier_gap,1357204345,-0.027699999999999836
vanilla,slowheat_none,classifier_gap,1758462037,-0.01859999999999984
vanilla,slowheat_none,classifier_gap,748737880,0.017799999999999983
vanilla,slowheat_none,classifier_gap,1611510062,-0.016000000000000014
vanilla,slowheat_none,classifier_gap,333205446,0.03390000000000004
vanilla,slowheat_none,classifier_gap,130501536,-0.04540000000000022
vanilla,slowheat_none,classifier_gap,492612040,-0.04599999999999993
vanilla,slowheat_none,elapsed_seconds,2101606466,4.985720493015833
vanilla,slowheat_none,elapsed_seconds,1872839281,4.956675819994416
vanilla,slowheat_none,elapsed_seconds,637029796,4.9837507989723235
vanilla,slowheat_none,elapsed_seconds,1357204345,4.974863713985542
vanilla,slowheat_none,elapsed_seconds,1758462037,5.009557935030898
vanilla,slowheat_none,elapsed_seconds,748737880,4.987884994014166
vanilla,slowheat_none,elapsed_seconds,1611510062,4.7191136829787865
vanilla,slowheat_none,elapsed_seconds,333205446,5.002486748009687
vanilla,slowheat_none,elapsed_seconds,130501536,4.880207530979533
vanilla,slowheat_none,elapsed_seconds,492612040,4.7575500599632505
vanilla,slowheat_none,learner_examples_processed,2101606466,0.0
vanilla,slowheat_none,learner_examples_processed,1872839281,0.0
vanilla,slowheat_none,learner_examples_processed,637029796,0.0
vanilla,slowheat_none,learner_examples_processed,1357204345,0.0
vanilla,slowheat_none,learner_examples_processed,1758462037,0.0
vanilla,slowheat_none,learner_examples_processed,748737880,0.0
vanilla,slowheat_none,learner_examples_processed,1611510062,0.0
vanilla,slowheat_none,learner_examples_processed,333205446,0.0
vanilla,slowheat_none,learner_examples_processed,130501536,0.0
vanilla,slowheat_none,learner_examples_processed,492612040,0.0
vanilla,slowheat_none,total_model_examples_processed,2101606466,0.0
vanilla,slowheat_none,total_model_examples_processed,1872839281,0.0
vanilla,slowheat_none,total_model_examples_processed,637029796,0.0
vanilla,slowheat_none,total_model_examples_processed,1357204345,0.0
vanilla,slowheat_none,total_model_examples_processed,1758462037,0.0
vanilla,slowheat_none,total_model_examples_processed,748737880,0.0
vanilla,slowheat_none,total_model_examples_processed,1611510062,0.0
vanilla,slowheat_none,total_model_examples_processed,333205446,0.0
vanilla,slowheat_none,total_model_examples_processed,130501536,0.0
vanilla,slowheat_none,total_model_examples_processed,492612040,0.0
vanilla,slowheat_none,estimated_total_flops,2101606466,120068550.0
vanilla,slowheat_none,estimated_total_flops,1872839281,120068550.0
vanilla,slowheat_none,estimated_total_flops,637029796,120068550.0
vanilla,slowheat_none,estimated_total_flops,1357204345,120068550.0
vanilla,slowheat_none,estimated_total_flops,1758462037,120068550.0
vanilla,slowheat_none,estimated_total_flops,748737880,120068550.0
vanilla,slowheat_none,estimated_total_flops,1611510062,120068550.0
vanilla,slowheat_none,estimated_total_flops,333205446,120068550.0
vanilla,slowheat_none,estimated_total_flops,130501536,120068550.0
vanilla,slowheat_none,estimated_total_flops,492612040,120068550.0
vanilla,slowheat_none,estimated_overhead_flops,2101606466,120068550.0
vanilla,slowheat_none,estimated_overhead_flops,1872839281,120068550.0
vanilla,slowheat_none,estimated_overhead_flops,637029796,120068550.0
vanilla,slowheat_none,estimated_overhead_flops,1357204345,120068550.0
vanilla,slowheat_none,estimated_overhead_flops,1758462037,120068550.0
vanilla,slowheat_none,estimated_overhead_flops,748737880,120068550.0
vanilla,slowheat_none,estimated_overhead_flops,1611510062,120068550.0
vanilla,slowheat_none,estimated_overhead_flops,333205446,120068550.0
vanilla,slowheat_none,estimated_overhead_flops,130501536,120068550.0
vanilla,slowheat_none,estimated_overhead_flops,492612040,120068550.0
vanilla,slowheat_none,replay_memory_bytes,2101606466,0.0
vanilla,slowheat_none,replay_memory_bytes,1872839281,0.0
vanilla,slowheat_none,replay_memory_bytes,637029796,0.0
vanilla,slowheat_none,replay_memory_bytes,1357204345,0.0
vanilla,slowheat_none,replay_memory_bytes,1758462037,0.0
vanilla,slowheat_none,replay_memory_bytes,748737880,0.0
vanilla,slowheat_none,replay_memory_bytes,1611510062,0.0
vanilla,slowheat_none,replay_memory_bytes,333205446,0.0
vanilla,slowheat_none,replay_memory_bytes,130501536,0.0
vanilla,slowheat_none,replay_memory_bytes,492612040,0.0
vanilla,slowheat_none,stored_logits_bytes,2101606466,0.0
vanilla,slowheat_none,stored_logits_bytes,1872839281,0.0
vanilla,slowheat_none,stored_logits_bytes,637029796,0.0
vanilla,slowheat_none,stored_logits_bytes,1357204345,0.0
vanilla,slowheat_none,stored_logits_bytes,1758462037,0.0
vanilla,slowheat_none,stored_logits_bytes,748737880,0.0
vanilla,slowheat_none,stored_logits_bytes,1611510062,0.0
vanilla,slowheat_none,stored_logits_bytes,333205446,0.0
vanilla,slowheat_none,stored_logits_bytes,130501536,0.0
vanilla,slowheat_none,stored_logits_bytes,492612040,0.0
vanilla,slowheat_none,replay_metadata_bytes,2101606466,0.0
vanilla,slowheat_none,replay_metadata_bytes,1872839281,0.0
vanilla,slowheat_none,replay_metadata_bytes,637029796,0.0
vanilla,slowheat_none,replay_metadata_bytes,1357204345,0.0
vanilla,slowheat_none,replay_metadata_bytes,1758462037,0.0
vanilla,slowheat_none,replay_metadata_bytes,748737880,0.0
vanilla,slowheat_none,replay_metadata_bytes,1611510062,0.0
vanilla,slowheat_none,replay_metadata_bytes,333205446,0.0
vanilla,slowheat_none,replay_metadata_bytes,130501536,0.0
vanilla,slowheat_none,replay_metadata_bytes,492612040,0.0
vanilla,slowheat_none,selector_forward_examples,2101606466,0.0
vanilla,slowheat_none,selector_forward_examples,1872839281,0.0
vanilla,slowheat_none,selector_forward_examples,637029796,0.0
vanilla,slowheat_none,selector_forward_examples,1357204345,0.0
vanilla,slowheat_none,selector_forward_examples,1758462037,0.0
vanilla,slowheat_none,selector_forward_examples,748737880,0.0
vanilla,slowheat_none,selector_forward_examples,1611510062,0.0
vanilla,slowheat_none,selector_forward_examples,333205446,0.0
vanilla,slowheat_none,selector_forward_examples,130501536,0.0
vanilla,slowheat_none,selector_forward_examples,492612040,0.0
vanilla,slowheat_none,selection_seconds,2101606466,0.0
vanilla,slowheat_none,selection_seconds,1872839281,0.0
vanilla,slowheat_none,selection_seconds,637029796,0.0
vanilla,slowheat_none,selection_seconds,1357204345,0.0
vanilla,slowheat_none,selection_seconds,1758462037,0.0
vanilla,slowheat_none,selection_seconds,748737880,0.0
vanilla,slowheat_none,selection_seconds,1611510062,0.0
vanilla,slowheat_none,selection_seconds,333205446,0.0
vanilla,slowheat_none,selection_seconds,130501536,0.0
vanilla,slowheat_none,selection_seconds,492612040,0.0
vanilla,slowheat_unidirectional,final_average_accuracy,2101606466,-0.013800000000000007
vanilla,slowheat_unidirectional,final_average_accuracy,1872839281,-0.005900000000000016
vanilla,slowheat_unidirectional,final_average_accuracy,637029796,0.0
vanilla,slowheat_unidirectional,final_average_accuracy,1357204345,-0.0023000000000000242
vanilla,slowheat_unidirectional,final_average_accuracy,1758462037,-0.0010000000000000009
vanilla,slowheat_unidirectional,final_average_accuracy,748737880,-0.003599999999999992
vanilla,slowheat_unidirectional,final_average_accuracy,1611510062,-0.005899999999999989
vanilla,slowheat_unidirectional,final_average_accuracy,333205446,-0.0015999999999999903
vanilla,slowheat_unidirectional,final_average_accuracy,130501536,-0.004999999999999977
vanilla,slowheat_unidirectional,final_average_accuracy,492612040,-0.003400000000000014
vanilla,slowheat_unidirectional,average_forgetting,2101606466,-0.027875000000000094
vanilla,slowheat_unidirectional,average_forgetting,1872839281,-0.03375000000000006
vanilla,slowheat_unidirectional,average_forgetting,637029796,-0.018750000000000044
vanilla,slowheat_unidirectional,average_forgetting,1357204345,-0.02224999999999988
vanilla,slowheat_unidirectional,average_forgetting,1758462037,-0.025374999999999814
vanilla,slowheat_unidirectional,average_forgetting,748737880,-0.03675000000000006
vanilla,slowheat_unidirectional,average_forgetting,1611510062,-0.01387499999999997
vanilla,slowheat_unidirectional,average_forgetting,333205446,-0.028874999999999984
vanilla,slowheat_unidirectional,average_forgetting,130501536,-0.027249999999999996
vanilla,slowheat_unidirectional,average_forgetting,492612040,-0.024374999999999925
vanilla,slowheat_unidirectional,backward_transfer,2101606466,0.027875000000000094
vanilla,slowheat_unidirectional,backward_transfer,1872839281,0.03375000000000006
vanilla,slowheat_unidirectional,backward_transfer,637029796,0.018750000000000044
vanilla,slowheat_unidirectional,backward_transfer,1357204345,0.02224999999999988
vanilla,slowheat_unidirectional,backward_transfer,1758462037,0.025374999999999814
vanilla,slowheat_unidirectional,backward_transfer,748737880,0.03675000000000006
vanilla,slowheat_unidirectional,backward_transfer,1611510062,0.01387499999999997
vanilla,slowheat_unidirectional,backward_transfer,333205446,0.028874999999999984
vanilla,slowheat_unidirectional,backward_transfer,130501536,0.027249999999999996
vanilla,slowheat_unidirectional,backward_transfer,492612040,0.024374999999999925
vanilla,slowheat_unidirectional,forward_transfer,2101606466,0.0002500000000000002
vanilla,slowheat_unidirectional,forward_transfer,1872839281,-0.0007500000000000007
vanilla,slowheat_unidirectional,forward_transfer,637029796,-0.0036249999999999893
vanilla,slowheat_unidirectional,forward_transfer,1357204345,0.0
vanilla,slowheat_unidirectional,forward_transfer,1758462037,0.0007500000000000007
vanilla,slowheat_unidirectional,forward_transfer,748737880,0.0008750000000000147
vanilla,slowheat_unidirectional,forward_transfer,1611510062,0.00012499999999998623
vanilla,slowheat_unidirectional,forward_transfer,333205446,0.0001250000000000001
vanilla,slowheat_unidirectional,forward_transfer,130501536,0.0
vanilla,slowheat_unidirectional,forward_transfer,492612040,0.0
vanilla,slowheat_unidirectional,task_aware_final_accuracy,2101606466,0.04490000000000005
vanilla,slowheat_unidirectional,task_aware_final_accuracy,1872839281,-0.0817000000000001
vanilla,slowheat_unidirectional,task_aware_final_accuracy,637029796,0.02860000000000007
vanilla,slowheat_unidirectional,task_aware_final_accuracy,1357204345,0.021500000000000075
vanilla,slowheat_unidirectional,task_aware_final_accuracy,1758462037,-0.059799999999999964
vanilla,slowheat_unidirectional,task_aware_final_accuracy,748737880,-0.03190000000000004
vanilla,slowheat_unidirectional,task_aware_final_accuracy,1611510062,-0.07299999999999995
vanilla,slowheat_unidirectional,task_aware_final_accuracy,333205446,0.018900000000000028
vanilla,slowheat_unidirectional,task_aware_final_accuracy,130501536,-0.013900000000000023
vanilla,slowheat_unidirectional,task_aware_final_accuracy,492612040,0.010600000000000165
vanilla,slowheat_unidirectional,task_aware_forgetting,2101606466,-0.10125
vanilla,slowheat_unidirectional,task_aware_forgetting,1872839281,0.061
vanilla,slowheat_unidirectional,task_aware_forgetting,637029796,-0.05450000000000005
vanilla,slowheat_unidirectional,task_aware_forgetting,1357204345,-0.05199999999999999
vanilla,slowheat_unidirectional,task_aware_forgetting,1758462037,0.04812500000000003
vanilla,slowheat_unidirectional,task_aware_forgetting,748737880,-0.0013749999999999596
vanilla,slowheat_unidirectional,task_aware_forgetting,1611510062,0.0699999999999999
vanilla,slowheat_unidirectional,task_aware_forgetting,333205446,-0.05449999999999994
vanilla,slowheat_unidirectional,task_aware_forgetting,130501536,-0.016125
vanilla,slowheat_unidirectional,task_aware_forgetting,492612040,-0.041874999999999996
