method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes
vanilla,0.1678,0.853625,-0.853625,-0.16925,0.5395999999999999,0.38887499999999997,0.37179999999999985,8.076841564999995,201600,201600,6780882124800,0,0,0
slowheat_none,0.1722,0.8535,-0.8535,-0.16925,0.6228,0.29025,0.4506,13.028881094000099,201600,201600,6781002193350,120068550,0,0
slowheat_unidirectional,0.1665,0.831375,-0.831375,-0.16975,0.5932,0.29800000000000004,0.42669999999999997,12.485772256999553,201600,201600,6781002196270,120071470,0,0
slowheat,0.1535,0.7878750000000001,-0.7878750000000001,-0.16975,0.5547,0.28637500000000005,0.4012,12.948562638001022,201600,201600,6781002196270,120071470,0,0
hard_freeze,0.1487,0.7936249999999999,-0.7936249999999999,-0.168875,0.5860000000000001,0.24700000000000003,0.4373000000000001,12.72496397300165,201600,201600,6781002196270,120071470,0,0
lpr,0.3618,0.62,-0.62,-0.10275,0.8299999999999998,0.05450000000000002,0.46819999999999984,11.23942014000022,282240,286520,9558831581462,17610205462,2459200,0
slowheat_lpr,0.3641,0.566125,-0.566125,0.05600000000000001,0.8194000000000001,0.040750000000000036,0.45530000000000015,14.939355942000475,282240,286520,9558970506742,17749130742,2459200,0
classifier_expander,0.3112,0.309,-0.248,-0.06337499999999999,0.8122999999999999,0.048625,0.5010999999999999,11.79715660399961,282944,363584,10421031862272,0,2459200,0
slowheat_classifier_expander,0.3308,0.21687499999999998,-0.072625,-0.08562499999999999,0.7937,0.044125000000000025,0.4629,15.507901218999905,282944,363584,10421170787552,138925280,2459200,0
scroll,0.3243,0.16474999999999998,-0.16474999999999998,-0.247875,0.7062,0.045625,0.3819000000000001,2.6302682049990835,41088,81088,1835848189829,5368792965,2459200,0
slowheat_scroll,0.3964,0.16375,-0.11712499999999999,-0.247875,0.7794000000000001,0.04387499999999997,0.3830000000000001,3.3642917350007338,41088,81088,1835869783909,5390387045,2459200,0
