method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
vanilla,0.1736,0.854375,-0.854375,0.04675,0.6502999999999999,0.2585,0.4766999999999999,7.968108218017733,201600,201600,6780882124800,0,0,0,0,0,0.0
slowheat_none,0.1722,0.8515,-0.8515,0.047125,0.6029,0.313125,0.43069999999999997,12.725658277980983,201600,201600,6781002193350,120068550,0,0,0,0,0.0
slowheat_unidirectional,0.1702,0.8300000000000001,-0.8300000000000001,0.04675,0.6609,0.216625,0.4907,12.558472225005971,201600,201600,6781002196270,120071470,0,0,0,0,0.0
slowheat,0.1565,0.788875,-0.788875,0.046875,0.5599000000000001,0.284625,0.4034000000000001,12.95957735000411,201600,201600,6781002196270,120071470,0,0,0,0,0.0
hard_freeze,0.1551,0.7948749999999999,-0.7948749999999999,0.047125,0.5434,0.3095,0.3883,12.58474984599161,201600,201600,6781002196270,120071470,0,0,0,0,0.0
lpr,0.3741,0.61125,-0.61125,0.0955,0.8328,0.05437499999999998,0.4587,11.185694784013322,282240,286520,9558831581462,17610205462,2459200,0,6400,0,0.012786468985723332
slowheat_lpr,0.39580000000000004,0.546375,-0.546375,0.06874999999999999,0.8191,0.047875,0.4233,15.085957659000997,282240,286520,9558970506742,17749130742,2459200,0,6400,0,0.01325246601481922
classifier_expander,0.35019999999999996,0.313875,-0.16937499999999997,0.094625,0.8214,0.045499999999999985,0.47120000000000006,11.964095039002132,282944,363584,10421031862272,0,2459200,0,6400,0,0.012878160021500662
slowheat_classifier_expander,0.3301,0.241375,-0.06625,0.07749999999999999,0.8044,0.035500000000000004,0.4743,15.690873636980541,282944,363584,10421170787552,138925280,2459200,0,6400,0,0.012292392988456413
scroll,0.32899999999999996,0.22200000000000003,-0.15550000000000003,-0.042,0.7413,0.008500000000000008,0.4123,2.7923001059971284,41088,81088,1835848189829,5368792965,2459200,0,6400,0,0.012423861044226214
slowheat_scroll,0.42300000000000004,0.19775,-0.135875,-0.042,0.7976,0.02562500000000001,0.37459999999999993,3.5545247699774336,41088,81088,1835869783909,5390387045,2459200,0,6400,0,0.012498613010393456
