method,final_average_accuracy_mean,final_average_accuracy_std,final_average_accuracy_ci95,average_forgetting_mean,average_forgetting_std,average_forgetting_ci95,backward_transfer_mean,backward_transfer_std,backward_transfer_ci95,forward_transfer_mean,forward_transfer_std,forward_transfer_ci95,task_aware_final_accuracy_mean,task_aware_final_accuracy_std,task_aware_final_accuracy_ci95,task_aware_forgetting_mean,task_aware_forgetting_std,task_aware_forgetting_ci95,classifier_gap_mean,classifier_gap_std,classifier_gap_ci95,elapsed_seconds_mean,elapsed_seconds_std,elapsed_seconds_ci95,learner_examples_processed_mean,learner_examples_processed_std,learner_examples_processed_ci95,total_model_examples_processed_mean,total_model_examples_processed_std,total_model_examples_processed_ci95,estimated_total_flops_mean,estimated_total_flops_std,estimated_total_flops_ci95,estimated_overhead_flops_mean,estimated_overhead_flops_std,estimated_overhead_flops_ci95,replay_memory_bytes_mean,replay_memory_bytes_std,replay_memory_bytes_ci95,stored_logits_bytes_mean,stored_logits_bytes_std,stored_logits_bytes_ci95
vanilla,0.17350000000000004,0.0020143926572984143,0.0012485335042004707,0.8508000000000001,0.007006742784236093,0.004342824170718614,-0.8508000000000001,0.007006742784236093,0.004342824170718614,-0.08924999999999998,0.07810551979356017,0.04841030271428684,0.6115700000000001,0.03254596919913603,0.020172200700083378,0.3032125,0.04006323343929085,0.02483144934743933,0.43807,0.0315836121359726,0.019575725612661774,10.02772317439958,6.636222087505255,4.1131730636258315,201600.0,0.0,0.0,201600.0,0.0,0.0,6780882124800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_none,0.17274,0.002678805704040516,0.001660340977028514,0.8515,0.005097657414059038,0.0031595607992954385,-0.8515,0.005097657414059038,0.0031595607992954385,-0.089625,0.07816695540103033,0.048448380898299025,0.60788,0.036803616972007264,0.022811118129738586,0.30757500000000004,0.047244458816763785,0.029282418949867436,0.43513999999999997,0.034989973166926286,0.021687010053229757,20.773934285100403,24.67230248006245,15.292051507693202,201600.0,0.0,0.0,201600.0,0.0,0.0,6781002193350.0,0.0,0.0,120068550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_unidirectional_beta_3_budget_0.50,0.17304,0.0026141495324058573,0.0016202666666666648,0.8405125,0.009968779388671406,0.0061787134785487455,-0.8405125,0.009968779388671406,0.0061787134785487455,-0.08916249999999999,0.07800859216386928,0.04835022634699402,0.59672,0.026663658163625387,0.016526306547642963,0.31091250000000004,0.030213364523557013,0.018726437343588163,0.42368000000000006,0.025949300996794152,0.016083543388472853,20.362708601700433,24.195016546842954,14.996226621443208,201600.0,0.0,0.0,201600.0,0.0,0.0,6781002196270.0,0.0,0.0,120071470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_unidirectional_beta_3_budget_0.75,0.17346999999999999,0.0017751682236402905,0.0011002606640650612,0.8457125,0.00790943748877815,0.00490232014515124,-0.8457125,0.00790943748877815,0.00490232014515124,-0.0896625,0.07797148361384722,0.04832722622940176,0.6014200000000001,0.022550131805478296,0.013976716496294025,0.31077499999999997,0.025324751836011256,0.015696443808144,0.42794999999999994,0.021932282142996407,0.01359376930803225,18.28828716169992,17.67320174355099,10.953963927226908,201600.0,0.0,0.0,201600.0,0.0,0.0,6781002196270.0,0.0,0.0,120071470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_unidirectional_beta_10_budget_0.50,0.17192000000000002,0.0031396390450708364,0.0019459684409910982,0.83905,0.005948622623020453,0.003686994500191761,-0.83905,0.005948622623020453,0.003686994500191761,-0.08928749999999999,0.07808335667911426,0.048396565873635194,0.61498,0.04079607279574293,0.025285667886417843,0.28522499999999995,0.0535051204714714,0.03316281724562416,0.44306,0.04044695291366213,0.025069281141668197,12.604679459399994,0.20706079841161218,0.1283376124742792,201600.0,0.0,0.0,201600.0,0.0,0.0,6781002196270.0,0.0,0.0,120071470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_unidirectional_beta_10_budget_0.75,0.17158,0.004054572179102939,0.00251304987260942,0.8427125,0.007864753033489191,0.004874624432826695,-0.8427125,0.007864753033489191,0.004874624432826695,-0.08915,0.07797011981094637,0.048326380935606296,0.6026199999999999,0.03684417035148014,0.02283625337474506,0.30391250000000003,0.04328856060400562,0.026830527835222825,0.43104,0.03749003423133493,0.02323656395482486,12.620991644000606,0.18039077382688704,0.11180735997795732,201600.0,0.0,0.0,201600.0,0.0,0.0,6781002196270.0,0.0,0.0,120071470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_hidden_beta_3_budget_0.50,0.17342,0.0015461780837493007,0.0009583311049249439,0.844425,0.003860501550604796,0.002392763650862495,-0.844425,0.003860501550604796,0.002392763650862495,-0.0895125,0.07785381712079233,0.048254295781423547,0.61883,0.03425723119122278,0.02123285187146453,0.28766250000000004,0.044123526494125306,0.02734804505556313,0.44541,0.03413578929966481,0.021157581407250783,11.570559354300713,0.17925312426271497,0.11110223747278852,201600.0,0.0,0.0,201600.0,0.0,0.0,6780990084320.0,0.0,0.0,107959520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_hidden_beta_3_budget_0.75,0.17331,0.002089364603041907,0.001295001597596615,0.8473625,0.006253734995096048,0.003876105107650666,-0.8473625,0.006253734995096048,0.003876105107650666,-0.08933749999999999,0.07794184196672971,0.048308854146177665,0.6415000000000001,0.03513194178142357,0.02177500311213144,0.262125,0.044342026090130084,0.02748347250823867,0.46819,0.034878629241668596,0.02161799837337194,15.69725032729948,12.928653296957842,8.01326233341828,201600.0,0.0,0.0,201600.0,0.0,0.0,6780990084320.0,0.0,0.0,107959520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_hidden_beta_10_budget_0.50,0.17255,0.0022960110336552454,0.0014230823822487058,0.8414625000000001,0.004455431298489002,0.0027615049288788455,-0.8414625000000001,0.004455431298489002,0.0027615049288788455,-0.0896625,0.07796805457828368,0.048325100891140296,0.65288,0.02639401447298233,0.016359179656694287,0.24105,0.032635625132327054,0.020227770023191156,0.48033000000000003,0.025534423388394328,0.01582639958269447,17.51934391229988,18.978018565413187,11.762697772158706,201600.0,0.0,0.0,201600.0,0.0,0.0,6780990084320.0,0.0,0.0,107959520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_hidden_beta_10_budget_0.75,0.1728,0.0018535251699277131,0.0011488268025347523,0.8472750000000001,0.005559588813732343,0.00344586884705601,-0.8472750000000001,0.005559588813732343,0.00344586884705601,-0.08965,0.07801459532249932,0.048353947143261564,0.64242,0.03380959101267636,0.020955401614327948,0.26025,0.042297516015850294,0.02621627203559737,0.46962000000000004,0.03267914047557285,0.02025474111236402,17.614409366199833,19.004648618886247,11.779203250303349,201600.0,0.0,0.0,201600.0,0.0,0.0,6780990084320.0,0.0,0.0,107959520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
