reference,method,metric,seed,difference
vanilla,slowheat_none,final_average_accuracy,2101606466,0.0030000000000000027
vanilla,slowheat_none,final_average_accuracy,1872839281,-0.0008000000000000229
vanilla,slowheat_none,final_average_accuracy,637029796,-0.0025000000000000022
vanilla,slowheat_none,final_average_accuracy,1357204345,0.001600000000000018
vanilla,slowheat_none,final_average_accuracy,1758462037,-0.0031000000000000194
vanilla,slowheat_none,final_average_accuracy,748737880,-0.00520000000000001
vanilla,slowheat_none,final_average_accuracy,1611510062,0.0007999999999999952
vanilla,slowheat_none,final_average_accuracy,333205446,-0.0010999999999999899
vanilla,slowheat_none,final_average_accuracy,130501536,-0.0006999999999999784
vanilla,slowheat_none,final_average_accuracy,492612040,0.00040000000000001146
vanilla,slowheat_none,average_forgetting,2101606466,0.0007500000000001394
vanilla,slowheat_none,average_forgetting,1872839281,0.0015000000000000568
vanilla,slowheat_none,average_forgetting,637029796,-0.005375000000000019
vanilla,slowheat_none,average_forgetting,1357204345,0.0026249999999999885
vanilla,slowheat_none,average_forgetting,1758462037,0.009624999999999995
vanilla,slowheat_none,average_forgetting,748737880,-1.1102230246251565e-16
vanilla,slowheat_none,average_forgetting,1611510062,-0.0003750000000000142
vanilla,slowheat_none,average_forgetting,333205446,-0.0031250000000000444
vanilla,slowheat_none,average_forgetting,130501536,0.0022499999999998632
vanilla,slowheat_none,average_forgetting,492612040,-0.0008749999999999591
vanilla,slowheat_none,backward_transfer,2101606466,-0.0007500000000001394
vanilla,slowheat_none,backward_transfer,1872839281,-0.0015000000000000568
vanilla,slowheat_none,backward_transfer,637029796,0.005375000000000019
vanilla,slowheat_none,backward_transfer,1357204345,-0.0026249999999999885
vanilla,slowheat_none,backward_transfer,1758462037,-0.009624999999999995
vanilla,slowheat_none,backward_transfer,748737880,1.1102230246251565e-16
vanilla,slowheat_none,backward_transfer,1611510062,0.0003750000000000142
vanilla,slowheat_none,backward_transfer,333205446,0.0031250000000000444
vanilla,slowheat_none,backward_transfer,130501536,-0.0022499999999998632
vanilla,slowheat_none,backward_transfer,492612040,0.0008749999999999591
vanilla,slowheat_none,forward_transfer,2101606466,-0.000125000000000014
vanilla,slowheat_none,forward_transfer,1872839281,-0.0010000000000000009
vanilla,slowheat_none,forward_transfer,637029796,-0.0017500000000000016
vanilla,slowheat_none,forward_transfer,1357204345,-0.000125000000000014
vanilla,slowheat_none,forward_transfer,1758462037,-0.0005000000000000004
vanilla,slowheat_none,forward_transfer,748737880,-0.0002500000000000002
vanilla,slowheat_none,forward_transfer,1611510062,0.000125000000000014
vanilla,slowheat_none,forward_transfer,333205446,-0.0001250000000000001
vanilla,slowheat_none,forward_transfer,130501536,0.0
vanilla,slowheat_none,forward_transfer,492612040,0.0
vanilla,slowheat_none,task_aware_final_accuracy,2101606466,0.04679999999999995
vanilla,slowheat_none,task_aware_final_accuracy,1872839281,-0.023399999999999976
vanilla,slowheat_none,task_aware_final_accuracy,637029796,-0.015099999999999891
vanilla,slowheat_none,task_aware_final_accuracy,1357204345,0.06869999999999987
vanilla,slowheat_none,task_aware_final_accuracy,1758462037,-0.00019999999999997797
vanilla,slowheat_none,task_aware_final_accuracy,748737880,-0.05449999999999999
vanilla,slowheat_none,task_aware_final_accuracy,1611510062,-0.059499999999999886
vanilla,slowheat_none,task_aware_final_accuracy,333205446,-0.008999999999999897
vanilla,slowheat_none,task_aware_final_accuracy,130501536,0.00979999999999992
vanilla,slowheat_none,task_aware_final_accuracy,492612040,-0.000500000000000056
vanilla,slowheat_none,task_aware_forgetting,2101606466,-0.05400000000000005
vanilla,slowheat_none,task_aware_forgetting,1872839281,0.02975
vanilla,slowheat_none,task_aware_forgetting,637029796,0.010374999999999968
vanilla,slowheat_none,task_aware_forgetting,1357204345,-0.08124999999999993
vanilla,slowheat_none,task_aware_forgetting,1758462037,0.00599999999999995
vanilla,slowheat_none,task_aware_forgetting,748737880,0.06162500000000004
vanilla,slowheat_none,task_aware_forgetting,1611510062,0.07500000000000001
vanilla,slowheat_none,task_aware_forgetting,333205446,0.006749999999999978
vanilla,slowheat_none,task_aware_forgetting,130501536,-0.010874999999999968
vanilla,slowheat_none,task_aware_forgetting,492612040,0.00024999999999997247
vanilla,slowheat_none,classifier_gap,2101606466,0.04379999999999995
vanilla,slowheat_none,classifier_gap,1872839281,-0.022599999999999953
vanilla,slowheat_none,classifier_gap,637029796,-0.012599999999999945
vanilla,slowheat_none,classifier_gap,1357204345,0.06709999999999988
vanilla,slowheat_none,classifier_gap,1758462037,0.002900000000000069
vanilla,slowheat_none,classifier_gap,748737880,-0.04930000000000001
vanilla,slowheat_none,classifier_gap,1611510062,-0.06029999999999991
vanilla,slowheat_none,classifier_gap,333205446,-0.007899999999999907
vanilla,slowheat_none,classifier_gap,130501536,0.010499999999999898
vanilla,slowheat_none,classifier_gap,492612040,-0.0009000000000000674
vanilla,slowheat_none,elapsed_seconds,2101606466,4.93906669900025
vanilla,slowheat_none,elapsed_seconds,1872839281,5.062773512003332
vanilla,slowheat_none,elapsed_seconds,637029796,5.082485793998785
vanilla,slowheat_none,elapsed_seconds,1357204345,5.021524007002881
vanilla,slowheat_none,elapsed_seconds,1758462037,5.039683181999862
vanilla,slowheat_none,elapsed_seconds,748737880,5.093213224001374
vanilla,slowheat_none,elapsed_seconds,1611510062,62.07885795699622
vanilla,slowheat_none,elapsed_seconds,333205446,5.097769923002488
vanilla,slowheat_none,elapsed_seconds,130501536,4.9550644200026
vanilla,slowheat_none,elapsed_seconds,492612040,5.0916723890004505
vanilla,slowheat_none,learner_examples_processed,2101606466,0.0
vanilla,slowheat_none,learner_examples_processed,1872839281,0.0
vanilla,slowheat_none,learner_examples_processed,637029796,0.0
vanilla,slowheat_none,learner_examples_processed,1357204345,0.0
vanilla,slowheat_none,learner_examples_processed,1758462037,0.0
vanilla,slowheat_none,learner_examples_processed,748737880,0.0
vanilla,slowheat_none,learner_examples_processed,1611510062,0.0
vanilla,slowheat_none,learner_examples_processed,333205446,0.0
vanilla,slowheat_none,learner_examples_processed,130501536,0.0
vanilla,slowheat_none,learner_examples_processed,492612040,0.0
vanilla,slowheat_none,total_model_examples_processed,2101606466,0.0
vanilla,slowheat_none,total_model_examples_processed,1872839281,0.0
vanilla,slowheat_none,total_model_examples_processed,637029796,0.0
vanilla,slowheat_none,total_model_examples_processed,1357204345,0.0
vanilla,slowheat_none,total_model_examples_processed,1758462037,0.0
vanilla,slowheat_none,total_model_examples_processed,748737880,0.0
vanilla,slowheat_none,total_model_examples_processed,1611510062,0.0
vanilla,slowheat_none,total_model_examples_processed,333205446,0.0
vanilla,slowheat_none,total_model_examples_processed,130501536,0.0
vanilla,slowheat_none,total_model_examples_processed,492612040,0.0
vanilla,slowheat_none,estimated_total_flops,2101606466,120068550.0
vanilla,slowheat_none,estimated_total_flops,1872839281,120068550.0
vanilla,slowheat_none,estimated_total_flops,637029796,120068550.0
vanilla,slowheat_none,estimated_total_flops,1357204345,120068550.0
vanilla,slowheat_none,estimated_total_flops,1758462037,120068550.0
vanilla,slowheat_none,estimated_total_flops,748737880,120068550.0
vanilla,slowheat_none,estimated_total_flops,1611510062,120068550.0
vanilla,slowheat_none,estimated_total_flops,333205446,120068550.0
vanilla,slowheat_none,estimated_total_flops,130501536,120068550.0
vanilla,slowheat_none,estimated_total_flops,492612040,120068550.0
vanilla,slowheat_none,estimated_overhead_flops,2101606466,120068550.0
vanilla,slowheat_none,estimated_overhead_flops,1872839281,120068550.0
vanilla,slowheat_none,estimated_overhead_flops,637029796,120068550.0
vanilla,slowheat_none,estimated_overhead_flops,1357204345,120068550.0
vanilla,slowheat_none,estimated_overhead_flops,1758462037,120068550.0
vanilla,slowheat_none,estimated_overhead_flops,748737880,120068550.0
vanilla,slowheat_none,estimated_overhead_flops,1611510062,120068550.0
vanilla,slowheat_none,estimated_overhead_flops,333205446,120068550.0
vanilla,slowheat_none,estimated_overhead_flops,130501536,120068550.0
vanilla,slowheat_none,estimated_overhead_flops,492612040,120068550.0
vanilla,slowheat_none,replay_memory_bytes,2101606466,0.0
vanilla,slowheat_none,replay_memory_bytes,1872839281,0.0
vanilla,slowheat_none,replay_memory_bytes,637029796,0.0
vanilla,slowheat_none,replay_memory_bytes,1357204345,0.0
vanilla,slowheat_none,replay_memory_bytes,1758462037,0.0
vanilla,slowheat_none,replay_memory_bytes,748737880,0.0
vanilla,slowheat_none,replay_memory_bytes,1611510062,0.0
vanilla,slowheat_none,replay_memory_bytes,333205446,0.0
vanilla,slowheat_none,replay_memory_bytes,130501536,0.0
vanilla,slowheat_none,replay_memory_bytes,492612040,0.0
vanilla,slowheat_none,stored_logits_bytes,2101606466,0.0
vanilla,slowheat_none,stored_logits_bytes,1872839281,0.0
vanilla,slowheat_none,stored_logits_bytes,637029796,0.0
vanilla,slowheat_none,stored_logits_bytes,1357204345,0.0
vanilla,slowheat_none,stored_logits_bytes,1758462037,0.0
vanilla,slowheat_none,stored_logits_bytes,748737880,0.0
vanilla,slowheat_none,stored_logits_bytes,1611510062,0.0
vanilla,slowheat_none,stored_logits_bytes,333205446,0.0
vanilla,slowheat_none,stored_logits_bytes,130501536,0.0
vanilla,slowheat_none,stored_logits_bytes,492612040,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,final_average_accuracy,2101606466,0.0022999999999999965
vanilla,slowheat_unidirectional_beta_3_budget_0.50,final_average_accuracy,1872839281,-0.0031000000000000194
vanilla,slowheat_unidirectional_beta_3_budget_0.50,final_average_accuracy,637029796,-0.001799999999999996
vanilla,slowheat_unidirectional_beta_3_budget_0.50,final_average_accuracy,1357204345,0.0009000000000000119
vanilla,slowheat_unidirectional_beta_3_budget_0.50,final_average_accuracy,1758462037,-0.005900000000000016
vanilla,slowheat_unidirectional_beta_3_budget_0.50,final_average_accuracy,748737880,-0.0029000000000000137
vanilla,slowheat_unidirectional_beta_3_budget_0.50,final_average_accuracy,1611510062,-0.0014000000000000123
vanilla,slowheat_unidirectional_beta_3_budget_0.50,final_average_accuracy,333205446,0.0041999999999999815
vanilla,slowheat_unidirectional_beta_3_budget_0.50,final_average_accuracy,130501536,0.0002999999999999947
vanilla,slowheat_unidirectional_beta_3_budget_0.50,final_average_accuracy,492612040,0.002799999999999969
vanilla,slowheat_unidirectional_beta_3_budget_0.50,average_forgetting,2101606466,-0.014124999999999943
vanilla,slowheat_unidirectional_beta_3_budget_0.50,average_forgetting,1872839281,-0.015249999999999986
vanilla,slowheat_unidirectional_beta_3_budget_0.50,average_forgetting,637029796,-0.017874999999999974
vanilla,slowheat_unidirectional_beta_3_budget_0.50,average_forgetting,1357204345,-0.017625000000000002
vanilla,slowheat_unidirectional_beta_3_budget_0.50,average_forgetting,1758462037,0.00187499999999996
vanilla,slowheat_unidirectional_beta_3_budget_0.50,average_forgetting,748737880,-0.007875000000000076
vanilla,slowheat_unidirectional_beta_3_budget_0.50,average_forgetting,1611510062,-0.0007500000000000284
vanilla,slowheat_unidirectional_beta_3_budget_0.50,average_forgetting,333205446,-0.018750000000000044
vanilla,slowheat_unidirectional_beta_3_budget_0.50,average_forgetting,130501536,-0.004250000000000087
vanilla,slowheat_unidirectional_beta_3_budget_0.50,average_forgetting,492612040,-0.00824999999999998
vanilla,slowheat_unidirectional_beta_3_budget_0.50,backward_transfer,2101606466,0.014124999999999943
vanilla,slowheat_unidirectional_beta_3_budget_0.50,backward_transfer,1872839281,0.015249999999999986
vanilla,slowheat_unidirectional_beta_3_budget_0.50,backward_transfer,637029796,0.017874999999999974
vanilla,slowheat_unidirectional_beta_3_budget_0.50,backward_transfer,1357204345,0.017625000000000002
vanilla,slowheat_unidirectional_beta_3_budget_0.50,backward_transfer,1758462037,-0.00187499999999996
vanilla,slowheat_unidirectional_beta_3_budget_0.50,backward_transfer,748737880,0.007875000000000076
vanilla,slowheat_unidirectional_beta_3_budget_0.50,backward_transfer,1611510062,0.0007500000000000284
vanilla,slowheat_unidirectional_beta_3_budget_0.50,backward_transfer,333205446,0.018750000000000044
vanilla,slowheat_unidirectional_beta_3_budget_0.50,backward_transfer,130501536,0.004250000000000087
vanilla,slowheat_unidirectional_beta_3_budget_0.50,backward_transfer,492612040,0.00824999999999998
vanilla,slowheat_unidirectional_beta_3_budget_0.50,forward_transfer,2101606466,0.0002500000000000002
vanilla,slowheat_unidirectional_beta_3_budget_0.50,forward_transfer,1872839281,0.0002500000000000002
vanilla,slowheat_unidirectional_beta_3_budget_0.50,forward_transfer,637029796,0.0007500000000000007
vanilla,slowheat_unidirectional_beta_3_budget_0.50,forward_transfer,1357204345,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,forward_transfer,1758462037,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,forward_transfer,748737880,-0.000125000000000014
vanilla,slowheat_unidirectional_beta_3_budget_0.50,forward_transfer,1611510062,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,forward_transfer,333205446,0.0001250000000000001
vanilla,slowheat_unidirectional_beta_3_budget_0.50,forward_transfer,130501536,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,forward_transfer,492612040,-0.00037500000000000033
vanilla,slowheat_unidirectional_beta_3_budget_0.50,task_aware_final_accuracy,2101606466,-0.0006999999999999229
vanilla,slowheat_unidirectional_beta_3_budget_0.50,task_aware_final_accuracy,1872839281,-0.07019999999999993
vanilla,slowheat_unidirectional_beta_3_budget_0.50,task_aware_final_accuracy,637029796,-0.02269999999999983
vanilla,slowheat_unidirectional_beta_3_budget_0.50,task_aware_final_accuracy,1357204345,-0.0050000000000002265
vanilla,slowheat_unidirectional_beta_3_budget_0.50,task_aware_final_accuracy,1758462037,0.03069999999999995
vanilla,slowheat_unidirectional_beta_3_budget_0.50,task_aware_final_accuracy,748737880,-0.06099999999999994
vanilla,slowheat_unidirectional_beta_3_budget_0.50,task_aware_final_accuracy,1611510062,-0.026699999999999835
vanilla,slowheat_unidirectional_beta_3_budget_0.50,task_aware_final_accuracy,333205446,0.022800000000000042
vanilla,slowheat_unidirectional_beta_3_budget_0.50,task_aware_final_accuracy,130501536,0.023699999999999943
vanilla,slowheat_unidirectional_beta_3_budget_0.50,task_aware_final_accuracy,492612040,-0.0394000000000001
vanilla,slowheat_unidirectional_beta_3_budget_0.50,task_aware_forgetting,2101606466,-0.010375000000000023
vanilla,slowheat_unidirectional_beta_3_budget_0.50,task_aware_forgetting,1872839281,0.06862499999999999
vanilla,slowheat_unidirectional_beta_3_budget_0.50,task_aware_forgetting,637029796,0.008249999999999924
vanilla,slowheat_unidirectional_beta_3_budget_0.50,task_aware_forgetting,1357204345,-0.010249999999999981
vanilla,slowheat_unidirectional_beta_3_budget_0.50,task_aware_forgetting,1758462037,-0.04387500000000005
vanilla,slowheat_unidirectional_beta_3_budget_0.50,task_aware_forgetting,748737880,0.06475000000000003
vanilla,slowheat_unidirectional_beta_3_budget_0.50,task_aware_forgetting,1611510062,0.03087500000000004
vanilla,slowheat_unidirectional_beta_3_budget_0.50,task_aware_forgetting,333205446,-0.04200000000000004
vanilla,slowheat_unidirectional_beta_3_budget_0.50,task_aware_forgetting,130501536,-0.033500000000000085
vanilla,slowheat_unidirectional_beta_3_budget_0.50,task_aware_forgetting,492612040,0.04450000000000004
vanilla,slowheat_unidirectional_beta_3_budget_0.50,classifier_gap,2101606466,-0.002999999999999947
vanilla,slowheat_unidirectional_beta_3_budget_0.50,classifier_gap,1872839281,-0.06709999999999988
vanilla,slowheat_unidirectional_beta_3_budget_0.50,classifier_gap,637029796,-0.020899999999999863
vanilla,slowheat_unidirectional_beta_3_budget_0.50,classifier_gap,1357204345,-0.005900000000000238
vanilla,slowheat_unidirectional_beta_3_budget_0.50,classifier_gap,1758462037,0.036599999999999966
vanilla,slowheat_unidirectional_beta_3_budget_0.50,classifier_gap,748737880,-0.05809999999999993
vanilla,slowheat_unidirectional_beta_3_budget_0.50,classifier_gap,1611510062,-0.025299999999999823
vanilla,slowheat_unidirectional_beta_3_budget_0.50,classifier_gap,333205446,0.01860000000000006
vanilla,slowheat_unidirectional_beta_3_budget_0.50,classifier_gap,130501536,0.02339999999999992
vanilla,slowheat_unidirectional_beta_3_budget_0.50,classifier_gap,492612040,-0.04220000000000007
vanilla,slowheat_unidirectional_beta_3_budget_0.50,elapsed_seconds,2101606466,4.512338222000835
vanilla,slowheat_unidirectional_beta_3_budget_0.50,elapsed_seconds,1872839281,4.686904925998533
vanilla,slowheat_unidirectional_beta_3_budget_0.50,elapsed_seconds,637029796,4.970193031000235
vanilla,slowheat_unidirectional_beta_3_budget_0.50,elapsed_seconds,1357204345,4.6557612660035375
vanilla,slowheat_unidirectional_beta_3_budget_0.50,elapsed_seconds,1758462037,4.7603976230020635
vanilla,slowheat_unidirectional_beta_3_budget_0.50,elapsed_seconds,748737880,4.932808810001006
vanilla,slowheat_unidirectional_beta_3_budget_0.50,elapsed_seconds,1611510062,60.30906657699961
vanilla,slowheat_unidirectional_beta_3_budget_0.50,elapsed_seconds,333205446,4.848113471001852
vanilla,slowheat_unidirectional_beta_3_budget_0.50,elapsed_seconds,130501536,4.8825091050021
vanilla,slowheat_unidirectional_beta_3_budget_0.50,elapsed_seconds,492612040,4.791761241998756
vanilla,slowheat_unidirectional_beta_3_budget_0.50,learner_examples_processed,2101606466,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,learner_examples_processed,1872839281,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,learner_examples_processed,637029796,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,learner_examples_processed,1357204345,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,learner_examples_processed,1758462037,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,learner_examples_processed,748737880,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,learner_examples_processed,1611510062,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,learner_examples_processed,333205446,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,learner_examples_processed,130501536,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,learner_examples_processed,492612040,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,total_model_examples_processed,2101606466,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,total_model_examples_processed,1872839281,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,total_model_examples_processed,637029796,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,total_model_examples_processed,1357204345,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,total_model_examples_processed,1758462037,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,total_model_examples_processed,748737880,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,total_model_examples_processed,1611510062,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,total_model_examples_processed,333205446,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,total_model_examples_processed,130501536,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,total_model_examples_processed,492612040,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,estimated_total_flops,2101606466,120071470.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,estimated_total_flops,1872839281,120071470.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,estimated_total_flops,637029796,120071470.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,estimated_total_flops,1357204345,120071470.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,estimated_total_flops,1758462037,120071470.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,estimated_total_flops,748737880,120071470.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,estimated_total_flops,1611510062,120071470.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,estimated_total_flops,333205446,120071470.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,estimated_total_flops,130501536,120071470.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,estimated_total_flops,492612040,120071470.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,estimated_overhead_flops,2101606466,120071470.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,estimated_overhead_flops,1872839281,120071470.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,estimated_overhead_flops,637029796,120071470.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,estimated_overhead_flops,1357204345,120071470.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,estimated_overhead_flops,1758462037,120071470.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,estimated_overhead_flops,748737880,120071470.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,estimated_overhead_flops,1611510062,120071470.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,estimated_overhead_flops,333205446,120071470.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,estimated_overhead_flops,130501536,120071470.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,estimated_overhead_flops,492612040,120071470.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,replay_memory_bytes,2101606466,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,replay_memory_bytes,1872839281,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,replay_memory_bytes,637029796,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,replay_memory_bytes,1357204345,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,replay_memory_bytes,1758462037,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,replay_memory_bytes,748737880,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,replay_memory_bytes,1611510062,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,replay_memory_bytes,333205446,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,replay_memory_bytes,130501536,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,replay_memory_bytes,492612040,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,stored_logits_bytes,2101606466,0.0
vanilla,slowheat_unidirectional_beta_3_budget_0.50,stored_logits_bytes,1872839281,0.0
