method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes
vanilla,0.17470000000000002,0.84575,-0.84575,-0.13474999999999998,0.65,0.251625,0.4753,7.955298986998969,201600,201600,6780882124800,0,0,0
slowheat_none,0.1739,0.8472500000000001,-0.8472500000000001,-0.13574999999999998,0.6266,0.281375,0.45270000000000005,13.018072499002301,201600,201600,6781002193350,120068550,0,0
slowheat_unidirectional_beta_3_budget_0.50,0.1716,0.8305,-0.8305,-0.13449999999999998,0.5798000000000001,0.32025,0.4082000000000001,12.642203912997502,201600,201600,6781002196270,120071470,0,0
slowheat_unidirectional_beta_3_budget_0.75,0.1729,0.840625,-0.840625,-0.134375,0.5681,0.346625,0.39520000000000005,12.633949572998972,201600,201600,6781002196270,120071470,0,0
slowheat_unidirectional_beta_10_budget_0.50,0.1696,0.8356250000000001,-0.8356250000000001,-0.13474999999999998,0.5756,0.328125,0.406,12.661056190998352,201600,201600,6781002196270,120071470,0,0
slowheat_unidirectional_beta_10_budget_0.75,0.16899999999999998,0.8416250000000001,-0.8416250000000001,-0.13512499999999997,0.5494,0.36612500000000003,0.3804,12.609476557001472,201600,201600,6781002196270,120071470,0,0
slowheat_hidden_beta_3_budget_0.50,0.1708,0.839375,-0.839375,-0.13512499999999997,0.6824,0.199875,0.5116,11.657254289002594,201600,201600,6780990084320,107959520,0,0
slowheat_hidden_beta_3_budget_0.75,0.1726,0.840375,-0.840375,-0.13449999999999998,0.6007,0.30525,0.42810000000000004,11.608042478997959,201600,201600,6780990084320,107959520,0,0
slowheat_hidden_beta_10_budget_0.50,0.1703,0.83375,-0.83375,-0.13449999999999998,0.6357,0.252,0.46540000000000004,11.482951242000127,201600,201600,6780990084320,107959520,0,0
slowheat_hidden_beta_10_budget_0.75,0.1711,0.8414999999999999,-0.8414999999999999,-0.13474999999999998,0.6705,0.21725,0.49939999999999996,11.75786079399768,201600,201600,6780990084320,107959520,0,0
