method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes
vanilla,0.1738,0.8522500000000001,-0.8522500000000001,-0.01125,0.5824,0.3415,0.4086,134.2328073340468,201600,201600,671839322112000,0,0,0
slowheat_none,0.17909999999999998,0.8551249999999999,-0.8551249999999999,-0.0036249999999999998,0.5791000000000001,0.3551249999999999,0.4000000000000001,177.97215336799854,201600,201600,671862384663750,23062551750,0,0
slowheat_unidirectional,0.1668,0.848875,-0.848875,-0.009125,0.5668,0.34887500000000005,0.39999999999999997,186.0373336909688,201600,201600,671862384943630,23062831630,0,0
slowheat,0.1376,0.7995,-0.7995,-0.005249999999999998,0.5376,0.2995,0.39999999999999997,190.48599569499493,201600,201600,671862384943630,23062831630,0,0
hard_freeze,0.1488,0.74125,-0.74125,-0.007999999999999998,0.5488,0.24125,0.39999999999999997,188.15421994403005,201600,201600,671862384943630,23062831630,0,0
lpr,0.2182,0.814375,-0.814375,-0.006499999999999999,0.7932,0.09662499999999999,0.575,200.12048172100913,282240,282680,1044729819647380,103665996696980,2459200,0
slowheat_lpr,0.2657,0.7502500000000001,-0.7502500000000001,-0.009499999999999998,0.7963999999999999,0.0935,0.5307,257.09673293703236,282240,282680,1044755054582100,103691231631700,2459200,0
classifier_expander,0.3409,0.35749999999999993,-0.26375,0.017375,0.8126000000000001,0.05924999999999997,0.4717000000000001,202.8546610129997,282944,363584,1032499732807680,0,2459200,0
slowheat_classifier_expander,0.32269999999999993,0.36975,-0.254125,0.021625,0.8202,0.03737499999999999,0.4975000000000001,259.8616090880241,282944,363584,1032524967742400,25234934720,2459200,0
scroll,0.11150000000000002,0.449125,-0.449125,-0.022,0.5091,0.08862499999999998,0.39759999999999995,46.98651452199556,41088,81088,181382798464645,21728548485,2459200,0
slowheat_scroll,0.2452,0.16674999999999998,-0.05049999999999998,-0.022,0.7042,0.0016249999999999876,0.4590000000000001,56.22842700901674,41088,81088,181387408025925,26338109765,2459200,0
