method,final_average_accuracy_mean,final_average_accuracy_std,final_average_accuracy_ci95,average_forgetting_mean,average_forgetting_std,average_forgetting_ci95,backward_transfer_mean,backward_transfer_std,backward_transfer_ci95,forward_transfer_mean,forward_transfer_std,forward_transfer_ci95,task_aware_final_accuracy_mean,task_aware_final_accuracy_std,task_aware_final_accuracy_ci95,task_aware_forgetting_mean,task_aware_forgetting_std,task_aware_forgetting_ci95,classifier_gap_mean,classifier_gap_std,classifier_gap_ci95,elapsed_seconds_mean,elapsed_seconds_std,elapsed_seconds_ci95,learner_examples_processed_mean,learner_examples_processed_std,learner_examples_processed_ci95,total_model_examples_processed_mean,total_model_examples_processed_std,total_model_examples_processed_ci95,estimated_total_flops_mean,estimated_total_flops_std,estimated_total_flops_ci95,estimated_overhead_flops_mean,estimated_overhead_flops_std,estimated_overhead_flops_ci95,replay_memory_bytes_mean,replay_memory_bytes_std,replay_memory_bytes_ci95,stored_logits_bytes_mean,stored_logits_bytes_std,stored_logits_bytes_ci95,replay_metadata_bytes_mean,replay_metadata_bytes_std,replay_metadata_bytes_ci95,selector_forward_examples_mean,selector_forward_examples_std,selector_forward_examples_ci95,selection_seconds_mean,selection_seconds_std,selection_seconds_ci95
vanilla,0.17355,0.005608574784302259,0.003476230666173413,0.8599875000000001,0.014531031211017181,0.009006426454050583,-0.8599875000000001,0.014531031211017181,0.009006426454050583,-0.10291249999999999,0.09842444666539349,0.06100410406526396,0.57646,0.006130651587628239,0.0037998172213351868,0.35635000000000006,0.01833946867035988,0.01136692044682484,0.40291,0.007746318121820491,0.004801217714057321,148.9896017798048,28.384023951868173,17.592600310340675,201600.0,0.0,0.0,201600.0,0.0,0.0,671839322112000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_none,0.17538,0.0043738617566935825,0.00271094760308396,0.8571375,0.014486517918012205,0.00897883682920875,-0.8571375,0.014486517918012205,0.00897883682920875,-0.10407499999999999,0.09805488825709359,0.0607750493907199,0.57203,0.009881638415656476,0.006124702943907657,0.361325,0.019265343812717762,0.011940783805466414,0.39665000000000006,0.009909843591096684,0.006142184692762015,210.66126571799396,48.14169346880807,29.8385307487008,201600.0,0.0,0.0,201600.0,0.0,0.0,671862384663750.0,0.0,0.0,23062551750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_unidirectional,0.17027,0.003862655965926956,0.0023940989713135174,0.8505125,0.010407571028929951,0.006450679354834559,-0.8505125,0.010407571028929951,0.006450679354834559,-0.1027625,0.09927475639327676,0.06153113149477894,0.56922,0.011997481217137024,0.007436115898923461,0.351825,0.016352157519897968,0.010135172234462631,0.39894999999999997,0.01038430974542309,0.006436261861947165,186.39341720970407,41.112042860406056,25.481508161464006,201600.0,0.0,0.0,201600.0,0.0,0.0,671862384943630.0,0.0,0.0,23062831630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat,0.13522,0.010079440019718906,0.006247301648267387,0.8124374999999999,0.023998209568632422,0.014874244392573366,-0.8124374999999999,0.023998209568632422,0.014874244392573366,-0.1045625,0.09842400921664275,0.06100383293171922,0.53524,0.010060616283309898,0.006235634575566475,0.31241250000000004,0.02402126156021879,0.014888532164984496,0.40002000000000004,6.324555320335087e-05,3.919999999998963e-05,225.8767626980989,51.82552376624671,32.121792422375364,201600.0,0.0,0.0,201600.0,0.0,0.0,671862384943630.0,0.0,0.0,23062831630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hard_freeze,0.14318999999999998,0.005614356597153411,0.0034798142709058493,0.7720874999999999,0.03199739844025517,0.019832193021140587,-0.7720874999999999,0.03199739844025517,0.019832193021140587,-0.1039625,0.0986345677305319,0.061134338450706684,0.54466,0.0069397726507749715,0.004301315651957864,0.27025,0.03050039844912777,0.018904342813814562,0.40146999999999994,0.004992449855086718,0.0030943524786653117,223.68714043059737,51.981784670050814,32.21864393396582,201600.0,0.0,0.0,201600.0,0.0,0.0,671862384943630.0,0.0,0.0,23062831630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lpr,0.25293,0.018546760723461474,0.011495401392440947,0.786825,0.02636912125110648,0.016343750677926476,-0.786825,0.02636912125110648,0.016343750677926476,-0.10269999999999999,0.09993496496333112,0.06194033300595733,0.78889,0.017423639752423233,0.010799283802590301,0.11867499999999997,0.02053496340932269,0.012727702184168544,0.53596,0.015966089064013176,0.009895884526407956,222.956349079698,39.17242301769345,24.27931932788945,282240.0,0.0,0.0,282680.0,0.0,0.0,1044729819647380.0,0.0,0.0,103665996696980.0,0.0,0.0,2459200.0,0.0,0.0,0.0,0.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,0.01309032428835053,0.0004839000601857042,0.0002999243646155597
slowheat_lpr,0.24066,0.01181893020163462,0.007325448832968829,0.7819375000000001,0.018788224925025084,0.011645062455106606,-0.7819375000000001,0.018788224925025084,0.011645062455106606,-0.10451249999999998,0.09793066300676437,0.0606980537828667,0.77301,0.012516074109364794,0.007757543103615001,0.11905000000000002,0.02046212626075578,0.012682557251770815,0.53235,0.015982160193304413,0.009905845515541701,306.5985165479971,72.40593430736172,44.877663030662674,282240.0,0.0,0.0,282680.0,0.0,0.0,1044755054582100.0,0.0,0.0,103691231631700.0,0.0,0.0,2459200.0,0.0,0.0,0.0,0.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,0.013233381797908806,0.000852634295123726,0.0005284682112175817
classifier_expander,0.37305,0.017013932199491363,0.010545344430389915,0.33098750000000005,0.017736541259031686,0.010993222165649765,-0.27121249999999997,0.021454736753609132,0.013297783609183397,-0.09586249999999999,0.10086276171803392,0.06251538739226971,0.81744,0.009036125029876187,0.005600648318027295,0.06716250000000001,0.012836856929690135,0.007956366355525206,0.44438999999999995,0.01734137313543032,0.010748294425111816,221.20496277050407,36.988705409897285,22.92583713206842,282944.0,0.0,0.0,363584.0,0.0,0.0,1032499732807680.0,0.0,0.0,0.0,0.0,0.0,2459200.0,0.0,0.0,0.0,0.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,0.013375408085994422,0.0005299073932368212,0.0003284400050718086
slowheat_classifier_expander,0.36419,0.02489700785235045,0.01543132534035881,0.3365375,0.028676479061922663,0.017773865865521647,-0.2814,0.043742332661469555,0.027111778670287686,-0.088925,0.10404421469313471,0.06448727237559707,0.8321099999999999,0.010712137456590472,0.006639451582439278,0.037537500000000015,0.006036650216248524,0.003741554567734291,0.46792,0.019088146409050183,0.01183095571681908,296.7674817435967,66.60139607455147,41.279972960745695,282944.0,0.0,0.0,363584.0,0.0,0.0,1032524967742400.0,0.0,0.0,25234934720.0,0.0,0.0,2459200.0,0.0,0.0,0.0,0.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,0.013462424001772888,0.0004913375358884992,0.0003045341598151065
scroll,0.11012,0.01878686302239472,0.011644218339110994,0.39265,0.04949066269958853,0.030674630540200108,-0.353725,0.08647901961362267,0.05360025167229472,-0.12386249999999999,0.08480566940069514,0.0525630984650829,0.5064500000000001,0.009190363310434355,0.005696246194741864,0.0755125,0.028506788299748304,0.017668690441474903,0.39633,0.02000605741602612,0.012399882853210085,44.4611680169066,7.5226087779202535,4.662561226182339,41088.0,0.0,0.0,81088.0,0.0,0.0,181382798464645.0,0.0,0.0,21728548485.0,0.0,0.0,2459200.0,0.0,0.0,0.0,0.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,0.0131152769055916,0.0005249957197204343,0.00032539571828656605
