reference,method,metric,seed,difference
vanilla,slowheat_none,final_average_accuracy,2101606466,0.00010000000000001674
vanilla,slowheat_none,final_average_accuracy,1872839281,-0.0025000000000000022
vanilla,slowheat_none,final_average_accuracy,637029796,0.011200000000000015
vanilla,slowheat_none,final_average_accuracy,1357204345,-0.0066000000000000225
vanilla,slowheat_none,final_average_accuracy,1758462037,0.0050000000000000044
vanilla,slowheat_none,final_average_accuracy,748737880,0.005799999999999972
vanilla,slowheat_none,final_average_accuracy,1611510062,0.0116
vanilla,slowheat_none,final_average_accuracy,333205446,0.0006999999999999784
vanilla,slowheat_none,final_average_accuracy,130501536,-0.002600000000000019
vanilla,slowheat_none,final_average_accuracy,492612040,-0.004399999999999987
vanilla,slowheat_none,average_forgetting,2101606466,-0.01287500000000008
vanilla,slowheat_none,average_forgetting,1872839281,-0.012375000000000025
vanilla,slowheat_none,average_forgetting,637029796,0.0009999999999998899
vanilla,slowheat_none,average_forgetting,1357204345,0.0016249999999999876
vanilla,slowheat_none,average_forgetting,1758462037,1.1102230246251565e-16
vanilla,slowheat_none,average_forgetting,748737880,0.00275000000000003
vanilla,slowheat_none,average_forgetting,1611510062,0.007499999999999951
vanilla,slowheat_none,average_forgetting,333205446,0.0068749999999999645
vanilla,slowheat_none,average_forgetting,130501536,-0.005375000000000019
vanilla,slowheat_none,average_forgetting,492612040,-0.01762499999999989
vanilla,slowheat_none,backward_transfer,2101606466,0.01287500000000008
vanilla,slowheat_none,backward_transfer,1872839281,0.012375000000000025
vanilla,slowheat_none,backward_transfer,637029796,-0.0009999999999998899
vanilla,slowheat_none,backward_transfer,1357204345,-0.0016249999999999876
vanilla,slowheat_none,backward_transfer,1758462037,-1.1102230246251565e-16
vanilla,slowheat_none,backward_transfer,748737880,-0.00275000000000003
vanilla,slowheat_none,backward_transfer,1611510062,-0.007499999999999951
vanilla,slowheat_none,backward_transfer,333205446,-0.0068749999999999645
vanilla,slowheat_none,backward_transfer,130501536,0.005375000000000019
vanilla,slowheat_none,backward_transfer,492612040,0.01762499999999989
vanilla,slowheat_none,forward_transfer,2101606466,0.005250000000000001
vanilla,slowheat_none,forward_transfer,1872839281,-0.0006249999999999867
vanilla,slowheat_none,forward_transfer,637029796,-0.01137500000000001
vanilla,slowheat_none,forward_transfer,1357204345,0.0
vanilla,slowheat_none,forward_transfer,1758462037,0.0
vanilla,slowheat_none,forward_transfer,748737880,0.0
vanilla,slowheat_none,forward_transfer,1611510062,0.0
vanilla,slowheat_none,forward_transfer,333205446,-0.0040000000000000036
