method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
vanilla,0.17509999999999998,0.862625,-0.862625,-0.0072499999999999995,0.5914999999999999,0.342125,0.41639999999999994,191.50295076999464,201600,201600,671839322112000,0,0,0,0,0,0.0
slowheat_none,0.1752,0.8497499999999999,-0.8497499999999999,-0.0019999999999999983,0.5751999999999999,0.34975,0.3999999999999999,268.1151709140104,201600,201600,671862384663750,23062551750,0,0,0,0,0.0
slowheat_unidirectional,0.17529999999999998,0.83775,-0.83775,-0.0014999999999999979,0.5965,0.31125,0.4212,241.3440695470199,201600,201600,671862384943630,23062831630,0,0,0,0,0.0
slowheat,0.1313,0.8143750000000001,-0.8143750000000001,-0.007874999999999998,0.5313,0.314375,0.4,286.28944153297925,201600,201600,671862384943630,23062831630,0,0,0,0,0.0
hard_freeze,0.1432,0.7385,-0.7385,-0.0022499999999999985,0.5432,0.23850000000000002,0.4,282.48666114898515,201600,201600,671862384943630,23062831630,0,0,0,0,0.0
lpr,0.22890000000000002,0.810125,-0.810125,-0.002874999999999999,0.7890999999999999,0.11299999999999999,0.5601999999999999,265.5158004150144,282240,282680,1044729819647380,103665996696980,2459200,0,6400,0,0.013516899984097108
slowheat_lpr,0.2374,0.764875,-0.764875,-0.0024999999999999988,0.7897000000000001,0.078875,0.5523,398.4834390080068,282240,282680,1044755054582100,103691231631700,2459200,0,6400,0,0.013271892996272072
classifier_expander,0.3533,0.344625,-0.2575,0.003375000000000003,0.8194000000000001,0.05324999999999999,0.4661000000000001,283.3534126760205,282944,363584,1032499732807680,0,2459200,0,6400,0,0.013576878962339833
slowheat_classifier_expander,0.3189,0.37637499999999996,-0.26525,0.016375,0.8235000000000001,0.03912499999999999,0.5046000000000002,428.5046606910182,282944,363584,1032524967742400,25234934720,2459200,0,6400,0,0.013605225016362965
scroll,0.09659999999999999,0.435625,-0.435625,-0.022,0.5012000000000001,0.05637500000000001,0.40460000000000007,57.108023865002906,41088,81088,181382798464645,21728548485,2459200,0,6400,0,0.01264656096464023
slowheat_scroll,0.21350000000000002,0.183625,-0.155,-0.022,0.6698000000000001,0.0020000000000000018,0.45630000000000004,77.6787348180078,41088,81088,181387408025925,26338109765,2459200,0,6400,0,0.014844807970803231
