method,final_average_accuracy_mean,final_average_accuracy_std,final_average_accuracy_ci95,average_forgetting_mean,average_forgetting_std,average_forgetting_ci95,backward_transfer_mean,backward_transfer_std,backward_transfer_ci95,forward_transfer_mean,forward_transfer_std,forward_transfer_ci95,task_aware_final_accuracy_mean,task_aware_final_accuracy_std,task_aware_final_accuracy_ci95,task_aware_forgetting_mean,task_aware_forgetting_std,task_aware_forgetting_ci95,classifier_gap_mean,classifier_gap_std,classifier_gap_ci95,elapsed_seconds_mean,elapsed_seconds_std,elapsed_seconds_ci95,learner_examples_processed_mean,learner_examples_processed_std,learner_examples_processed_ci95,total_model_examples_processed_mean,total_model_examples_processed_std,total_model_examples_processed_ci95,estimated_total_flops_mean,estimated_total_flops_std,estimated_total_flops_ci95,estimated_overhead_flops_mean,estimated_overhead_flops_std,estimated_overhead_flops_ci95,fastheat_overhead_flops_mean,fastheat_overhead_flops_std,fastheat_overhead_flops_ci95,fastheat_state_bytes_mean,fastheat_state_bytes_std,fastheat_state_bytes_ci95,slowheat_state_bytes_mean,slowheat_state_bytes_std,slowheat_state_bytes_ci95,method_state_bytes_mean,method_state_bytes_std,method_state_bytes_ci95,replay_memory_bytes_mean,replay_memory_bytes_std,replay_memory_bytes_ci95,stored_logits_bytes_mean,stored_logits_bytes_std,stored_logits_bytes_ci95,replay_metadata_bytes_mean,replay_metadata_bytes_std,replay_metadata_bytes_ci95,selector_forward_examples_mean,selector_forward_examples_std,selector_forward_examples_ci95,selection_seconds_mean,selection_seconds_std,selection_seconds_ci95
vanilla,0.17417,0.005601993692725234,0.0034721516633541977,0.8500250000000001,0.019266299016100052,0.011941375846656494,-0.8500250000000001,0.019266299016100052,0.011941375846656494,-0.10415,0.09773234068959297,0.060575132337178324,0.57657,0.011242582740040951,0.006968224975319516,0.34702500000000003,0.022768673654826727,0.014112170137863284,0.4024,0.008243515970479823,0.005109384133359161,134.17876746860276,0.050733811988797436,0.03144514245240194,201600.0,0.0,0.0,201600.0,0.0,0.0,671839322112000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fastheat,0.16663,0.02454338788531218,0.01521214941405571,0.8558375,0.010313160753242567,0.0063921632597180355,-0.8558375,0.010313160753242567,0.0063921632597180355,-0.1102125,0.09130924731829373,0.056594057820440226,0.56292,0.02665707327437797,0.016522225191003253,0.360475,0.023321633971724858,0.014454898493052256,0.39629,0.013904072145318535,0.008617833199180006,145.72288663639628,0.45075701637634336,0.27938209323800833,201600.0,0.0,0.0,201600.0,0.0,0.0,672032393625600.0,0.0,0.0,193071513600.0,0.0,0.0,193071513600.0,0.0,0.0,7936.0,0.0,0.0,0.0,0.0,0.0,7936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat,0.12988000000000002,0.008790626320752755,0.0054484866416689,0.822175,0.017457110140124667,0.010820028963814163,-0.822175,0.017457110140124667,0.010820028963814163,-0.10511249999999998,0.0961918014885422,0.05962029624795941,0.52988,0.008790626320752769,0.005448486641668909,0.322175,0.017457110140124688,0.010820028963814175,0.4,5.233641528945917e-17,3.24384462690977e-17,205.90003948329831,0.5449502192453629,0.3377636452278004,201600.0,0.0,0.0,201600.0,0.0,0.0,671862384943630.0,0.0,0.0,23062831630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82128.0,0.0,0.0,82128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dualheat,0.12980999999999998,0.0117332812498844,0.007272363062688463,0.80945,0.02221104580058209,0.013766548813054856,-0.80945,0.02221104580058209,0.013766548813054856,-0.10957500000000002,0.09176565110226279,0.05687693981649231,0.53369,0.014391312966122598,0.008919828188679162,0.3046,0.023218676629912487,0.014391084871467393,0.40388,0.007487589732350423,0.004640856196867103,217.53736558120582,0.7516938278194667,0.4659046614039913,201600.0,0.0,0.0,201600.0,0.0,0.0,672055456457230.0,0.0,0.0,216134345230.0,0.0,0.0,193071513600.0,0.0,0.0,7936.0,0.0,0.0,82128.0,0.0,0.0,90064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lpr,0.24813000000000002,0.013672604401177966,0.008474368005016329,0.7928124999999999,0.023752649705991852,0.014722044812872358,-0.7928124999999999,0.023752649705991852,0.014722044812872358,-0.10364999999999999,0.09787064166541466,0.06066085217007753,0.7930200000000001,0.020243561390668848,0.012547089341800008,0.11377499999999999,0.023059690057664586,0.014292543973072882,0.54489,0.026295561518164163,0.016298157883092874,199.67534008859656,1.8668983295914858,1.1571155727686726,282240.0,0.0,0.0,282680.0,0.0,0.0,1044729819647380.0,0.0,0.0,103665996696980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2459200.0,0.0,0.0,0.0,0.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,0.0130145887931576,0.00017951870066753854,0.00011126684343386865
slowheat_lpr,0.24531,0.012302434266798128,0.007625127757326792,0.772775,0.01981299727732054,0.012280222939525342,-0.772775,0.01981299727732054,0.012280222939525342,-0.10433750000000001,0.09735502130661321,0.060341267360691425,0.7774,0.018980516325959058,0.011764245900184139,0.111375,0.01866880568101656,0.011571045640832226,0.53209,0.01714969711426732,0.010629492396367925,279.9864174196002,0.26062325349311954,0.1615359660793717,282240.0,0.0,0.0,282680.0,0.0,0.0,1044755054582100.0,0.0,0.0,103691231631700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81988.0,0.0,0.0,81988.0,0.0,0.0,2459200.0,0.0,0.0,0.0,0.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,0.013419880796573126,0.00047455230154484914,0.00029413056378432584
dualheat_lpr,0.24074,0.012339656036985447,0.007648198049504507,0.764575,0.019405773052825738,0.012027822750236679,-0.764575,0.019405773052825738,0.012027822750236679,-0.1090875,0.09295029380295446,0.05761118896943736,0.7603199999999999,0.030852689419958917,0.01912269501973448,0.11964999999999999,0.03368464866308621,0.020877961543748044,0.51958,0.02132649890524827,0.013218300967303712,289.6861914648995,1.0879249780383307,0.6743028873819983,282240.0,0.0,0.0,282680.0,0.0,0.0,1045025776087380.0,0.0,0.0,103961953136980.0,0.0,0.0,270721505280.0,0.0,0.0,7936.0,0.0,0.0,81988.0,0.0,0.0,89924.0,0.0,0.0,2459200.0,0.0,0.0,0.0,0.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,0.013468416105024517,0.0003591424548229074,0.00022259879969408424
classifier_expander,0.37595999999999996,0.024416670079635692,0.01513360890439259,0.32715,0.04302788178740747,0.02666895743077416,-0.26495,0.04453736726989297,0.02760454622581819,-0.09596249999999999,0.09849090570679328,0.06104529580588317,0.82073,0.011914328441931667,0.007384577274894531,0.0654,0.008628481583943049,0.005347988292599165,0.44477,0.021801633476008626,0.01351279242528679,202.49365712769796,0.9187727293383202,0.5694612374446658,282944.0,0.0,0.0,363584.0,0.0,0.0,1032499732807680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2459200.0,0.0,0.0,0.0,0.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,0.012977784790564328,0.0003926669903353445,0.00024337752207891048
slowheat_classifier_expander,0.36228000000000005,0.02018892985992296,0.012513228368233176,0.3308125,0.02177227866015764,0.013494598121923537,-0.27966250000000004,0.03428698580851536,0.02125129397432856,-0.08639999999999999,0.10681967866456067,0.06620752276743179,0.8314999999999999,0.01050259227259844,0.006509574131829039,0.036024999999999995,0.007877711173515649,0.004882655971224403,0.46921999999999997,0.014413712606789152,0.008933711629801187,282.2987617315026,1.1651311120494243,0.722155745013003,282944.0,0.0,0.0,363584.0,0.0,0.0,1032524967742400.0,0.0,0.0,25234934720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81988.0,0.0,0.0,81988.0,0.0,0.0,2459200.0,0.0,0.0,0.0,0.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,0.013358581197098828,0.00030998944002862675,0.00019213344549376385
dualheat_classifier_expander,0.35731999999999997,0.020447754562950574,0.012673649581184828,0.20336249999999997,0.021788874104051868,0.013504884084615048,-0.039825000000000006,0.026476679990764203,0.01641041627544327,-0.1100125,0.09179749092582967,0.05689667434359509,0.80845,0.012045307984623922,0.00746575923652631,0.047987500000000016,0.013379925105669817,0.008292963498251598,0.4511299999999999,0.014683024968385113,0.009100633160878877,293.97386911840584,0.283350266079159,0.17562231441927853,282944.0,0.0,0.0,363584.0,0.0,0.0,1032873170684864.0,0.0,0.0,373437877184.0,0.0,0.0,348202942464.0,0.0,0.0,7936.0,0.0,0.0,81988.0,0.0,0.0,89924.0,0.0,0.0,2459200.0,0.0,0.0,0.0,0.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,0.01324048789392691,0.000253198257820781,0.00015693390608284102
