reference,method,metric,seed,difference
vanilla,fastheat,final_average_accuracy,2101606466,-0.0007000000000000062
vanilla,fastheat,final_average_accuracy,1872839281,0.008199999999999985
vanilla,fastheat,final_average_accuracy,637029796,0.00839999999999999
vanilla,fastheat,final_average_accuracy,1357204345,0.01050000000000001
vanilla,fastheat,final_average_accuracy,1758462037,-0.0015000000000000013
vanilla,fastheat,final_average_accuracy,748737880,0.0010000000000000009
vanilla,fastheat,final_average_accuracy,1611510062,-0.008099999999999996
vanilla,fastheat,final_average_accuracy,333205446,0.0068999999999999895
vanilla,fastheat,final_average_accuracy,130501536,-0.01780000000000001
vanilla,fastheat,final_average_accuracy,492612040,-0.08229999999999998
vanilla,fastheat,average_forgetting,2101606466,-0.007750000000000035
vanilla,fastheat,average_forgetting,1872839281,0.037374999999999936
vanilla,fastheat,average_forgetting,637029796,0.0020000000000000018
vanilla,fastheat,average_forgetting,1357204345,0.017625000000000002
vanilla,fastheat,average_forgetting,1758462037,0.030000000000000027
vanilla,fastheat,average_forgetting,748737880,-0.0007499999999999174
vanilla,fastheat,average_forgetting,1611510062,0.006500000000000061
vanilla,fastheat,average_forgetting,333205446,-0.0003749999999999032
vanilla,fastheat,average_forgetting,130501536,-0.008875000000000077
vanilla,fastheat,average_forgetting,492612040,-0.017625000000000002
vanilla,fastheat,backward_transfer,2101606466,0.007750000000000035
vanilla,fastheat,backward_transfer,1872839281,-0.037374999999999936
vanilla,fastheat,backward_transfer,637029796,-0.0020000000000000018
vanilla,fastheat,backward_transfer,1357204345,-0.017625000000000002
vanilla,fastheat,backward_transfer,1758462037,-0.030000000000000027
vanilla,fastheat,backward_transfer,748737880,0.0007499999999999174
vanilla,fastheat,backward_transfer,1611510062,-0.006500000000000061
vanilla,fastheat,backward_transfer,333205446,0.0003749999999999032
vanilla,fastheat,backward_transfer,130501536,0.008875000000000077
vanilla,fastheat,backward_transfer,492612040,0.017625000000000002
vanilla,fastheat,forward_transfer,2101606466,-0.015875
vanilla,fastheat,forward_transfer,1872839281,-0.0012499999999999734
vanilla,fastheat,forward_transfer,637029796,-0.0073750000000000066
vanilla,fastheat,forward_transfer,1357204345,0.0
vanilla,fastheat,forward_transfer,1758462037,0.0
vanilla,fastheat,forward_transfer,748737880,0.0008750000000000008
vanilla,fastheat,forward_transfer,1611510062,0.0
vanilla,fastheat,forward_transfer,333205446,-0.024749999999999998
vanilla,fastheat,forward_transfer,130501536,-0.0026249999999999885
vanilla,fastheat,forward_transfer,492612040,-0.009625000000000009
vanilla,fastheat,task_aware_final_accuracy,2101606466,0.0027000000000000357
vanilla,fastheat,task_aware_final_accuracy,1872839281,0.010000000000000009
vanilla,fastheat,task_aware_final_accuracy,637029796,-0.03420000000000012
vanilla,fastheat,task_aware_final_accuracy,1357204345,0.016799999999999926
vanilla,fastheat,task_aware_final_accuracy,1758462037,-0.005199999999999982
vanilla,fastheat,task_aware_final_accuracy,748737880,0.0010000000000000009
vanilla,fastheat,task_aware_final_accuracy,1611510062,-0.03390000000000004
vanilla,fastheat,task_aware_final_accuracy,333205446,0.006500000000000061
vanilla,fastheat,task_aware_final_accuracy,130501536,-0.017900000000000027
vanilla,fastheat,task_aware_final_accuracy,492612040,-0.08230000000000004
vanilla,fastheat,task_aware_forgetting,2101606466,-0.01200000000000001
vanilla,fastheat,task_aware_forgetting,1872839281,0.03512500000000002
vanilla,fastheat,task_aware_forgetting,637029796,0.055249999999999966
vanilla,fastheat,task_aware_forgetting,1357204345,0.009749999999999981
vanilla,fastheat,task_aware_forgetting,1758462037,0.03462500000000002
vanilla,fastheat,task_aware_forgetting,748737880,-0.0007500000000000284
vanilla,fastheat,task_aware_forgetting,1611510062,0.03875000000000006
vanilla,fastheat,task_aware_forgetting,333205446,0.00012500000000004174
vanilla,fastheat,task_aware_forgetting,130501536,-0.008750000000000036
vanilla,fastheat,task_aware_forgetting,492612040,-0.017625000000000002
vanilla,fastheat,classifier_gap,2101606466,0.003400000000000014
vanilla,fastheat,classifier_gap,1872839281,0.0018000000000000238
vanilla,fastheat,classifier_gap,637029796,-0.04260000000000008
vanilla,fastheat,classifier_gap,1357204345,0.006299999999999972
vanilla,fastheat,classifier_gap,1758462037,-0.0037000000000000366
vanilla,fastheat,classifier_gap,748737880,0.0
vanilla,fastheat,classifier_gap,1611510062,-0.025800000000000045
vanilla,fastheat,classifier_gap,333205446,-0.00039999999999995595
vanilla,fastheat,classifier_gap,130501536,-0.0001000000000000445
vanilla,fastheat,classifier_gap,492612040,0.0
vanilla,fastheat,elapsed_seconds,2101606466,12.413037309976062
vanilla,fastheat,elapsed_seconds,1872839281,11.211191822978435
vanilla,fastheat,elapsed_seconds,637029796,11.283145175984828
vanilla,fastheat,elapsed_seconds,1357204345,12.232581936987117
vanilla,fastheat,elapsed_seconds,1758462037,11.35659193599713
vanilla,fastheat,elapsed_seconds,748737880,11.36310892298934
vanilla,fastheat,elapsed_seconds,1611510062,11.33781397002167
vanilla,fastheat,elapsed_seconds,333205446,11.262243089993717
vanilla,fastheat,elapsed_seconds,130501536,11.198248686006991
vanilla,fastheat,elapsed_seconds,492612040,11.78322882700013
vanilla,fastheat,learner_examples_processed,2101606466,0.0
vanilla,fastheat,learner_examples_processed,1872839281,0.0
vanilla,fastheat,learner_examples_processed,637029796,0.0
vanilla,fastheat,learner_examples_processed,1357204345,0.0
vanilla,fastheat,learner_examples_processed,1758462037,0.0
vanilla,fastheat,learner_examples_processed,748737880,0.0
vanilla,fastheat,learner_examples_processed,1611510062,0.0
vanilla,fastheat,learner_examples_processed,333205446,0.0
vanilla,fastheat,learner_examples_processed,130501536,0.0
vanilla,fastheat,learner_examples_processed,492612040,0.0
vanilla,fastheat,total_model_examples_processed,2101606466,0.0
vanilla,fastheat,total_model_examples_processed,1872839281,0.0
vanilla,fastheat,total_model_examples_processed,637029796,0.0
vanilla,fastheat,total_model_examples_processed,1357204345,0.0
vanilla,fastheat,total_model_examples_processed,1758462037,0.0
vanilla,fastheat,total_model_examples_processed,748737880,0.0
vanilla,fastheat,total_model_examples_processed,1611510062,0.0
vanilla,fastheat,total_model_examples_processed,333205446,0.0
vanilla,fastheat,total_model_examples_processed,130501536,0.0
vanilla,fastheat,total_model_examples_processed,492612040,0.0
vanilla,fastheat,estimated_total_flops,2101606466,193071513600.0
vanilla,fastheat,estimated_total_flops,1872839281,193071513600.0
vanilla,fastheat,estimated_total_flops,637029796,193071513600.0
vanilla,fastheat,estimated_total_flops,1357204345,193071513600.0
vanilla,fastheat,estimated_total_flops,1758462037,193071513600.0
vanilla,fastheat,estimated_total_flops,748737880,193071513600.0
vanilla,fastheat,estimated_total_flops,1611510062,193071513600.0
vanilla,fastheat,estimated_total_flops,333205446,193071513600.0
vanilla,fastheat,estimated_total_flops,130501536,193071513600.0
vanilla,fastheat,estimated_total_flops,492612040,193071513600.0
vanilla,fastheat,estimated_overhead_flops,2101606466,193071513600.0
vanilla,fastheat,estimated_overhead_flops,1872839281,193071513600.0
vanilla,fastheat,estimated_overhead_flops,637029796,193071513600.0
vanilla,fastheat,estimated_overhead_flops,1357204345,193071513600.0
vanilla,fastheat,estimated_overhead_flops,1758462037,193071513600.0
vanilla,fastheat,estimated_overhead_flops,748737880,193071513600.0
vanilla,fastheat,estimated_overhead_flops,1611510062,193071513600.0
vanilla,fastheat,estimated_overhead_flops,333205446,193071513600.0
vanilla,fastheat,estimated_overhead_flops,130501536,193071513600.0
vanilla,fastheat,estimated_overhead_flops,492612040,193071513600.0
vanilla,fastheat,fastheat_overhead_flops,2101606466,193071513600.0
vanilla,fastheat,fastheat_overhead_flops,1872839281,193071513600.0
vanilla,fastheat,fastheat_overhead_flops,637029796,193071513600.0
vanilla,fastheat,fastheat_overhead_flops,1357204345,193071513600.0
vanilla,fastheat,fastheat_overhead_flops,1758462037,193071513600.0
vanilla,fastheat,fastheat_overhead_flops,748737880,193071513600.0
vanilla,fastheat,fastheat_overhead_flops,1611510062,193071513600.0
vanilla,fastheat,fastheat_overhead_flops,333205446,193071513600.0
vanilla,fastheat,fastheat_overhead_flops,130501536,193071513600.0
vanilla,fastheat,fastheat_overhead_flops,492612040,193071513600.0
vanilla,fastheat,fastheat_state_bytes,2101606466,7936.0
vanilla,fastheat,fastheat_state_bytes,1872839281,7936.0
vanilla,fastheat,fastheat_state_bytes,637029796,7936.0
vanilla,fastheat,fastheat_state_bytes,1357204345,7936.0
vanilla,fastheat,fastheat_state_bytes,1758462037,7936.0
vanilla,fastheat,fastheat_state_bytes,748737880,7936.0
vanilla,fastheat,fastheat_state_bytes,1611510062,7936.0
vanilla,fastheat,fastheat_state_bytes,333205446,7936.0
vanilla,fastheat,fastheat_state_bytes,130501536,7936.0
vanilla,fastheat,fastheat_state_bytes,492612040,7936.0
vanilla,fastheat,slowheat_state_bytes,2101606466,0.0
vanilla,fastheat,slowheat_state_bytes,1872839281,0.0
vanilla,fastheat,slowheat_state_bytes,637029796,0.0
vanilla,fastheat,slowheat_state_bytes,1357204345,0.0
