method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,fastheat_overhead_flops,fastheat_state_bytes,slowheat_state_bytes,method_state_bytes,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
vanilla,0.1713,0.8225,-0.8225,-0.28175,0.5695,0.32475,0.3982,134.21254048700212,201600,201600,671839322112000,0,0,0,0,0,0,0,0,0,0.0
fastheat,0.1795,0.859875,-0.859875,-0.283,0.5795,0.359875,0.4,145.42373230998055,201600,201600,672032393625600,193071513600,193071513600,7936,0,7936,0,0,0,0,0.0
slowheat,0.1251,0.8268749999999999,-0.8268749999999999,-0.28012499999999996,0.5250999999999999,0.326875,0.3999999999999999,205.69618652600911,201600,201600,671862384943630,23062831630,0,0,82128,82128,0,0,0,0,0.0
dualheat,0.1299,0.816875,-0.816875,-0.283,0.5520999999999999,0.28912499999999997,0.4221999999999999,217.33643795500393,201600,201600,672055456457230,216134345230,193071513600,7936,82128,90064,0,0,0,0,0.0
lpr,0.24489999999999998,0.782875,-0.782875,-0.281375,0.7724,0.12462500000000004,0.5275,200.20911309798248,282240,282680,1044729819647380,103665996696980,0,0,0,0,2459200,0,6400,0,0.012762454978656024
slowheat_lpr,0.2452,0.756375,-0.756375,-0.28275,0.7756000000000001,0.10024999999999998,0.5304000000000001,280.15223998198053,282240,282680,1044755054582100,103691231631700,0,0,81988,81988,2459200,0,6400,0,0.01393749998533167
dualheat_lpr,0.2644,0.754125,-0.754125,-0.282875,0.7960999999999999,0.09412500000000001,0.5316999999999998,290.31883993698284,282240,282680,1045025776087380,103961953136980,270721505280,7936,81988,89924,2459200,0,6400,0,0.013550667994422838
classifier_expander,0.3749,0.27749999999999997,-0.221625,-0.2665,0.8122,0.06887500000000002,0.4373,202.84365824100678,282944,363584,1032499732807680,0,0,0,0,0,2459200,0,6400,0,0.01271851803176105
slowheat_classifier_expander,0.37629999999999997,0.293125,-0.241375,-0.26549999999999996,0.8286,0.025125000000000036,0.45230000000000004,282.6174990790023,282944,363584,1032524967742400,25234934720,0,0,81988,81988,2459200,0,6400,0,0.013021423044847324
dualheat_classifier_expander,0.3583,0.1985,-0.05437500000000001,-0.28075,0.8176,0.04275000000000001,0.4593,293.9549701359938,282944,363584,1032873170684864,373437877184,348202942464,7936,81988,89924,2459200,0,6400,0,0.013602681981865317
scroll,0.13740000000000002,0.323625,-0.323625,-0.28312499999999996,0.4918,0.082375,0.3544,47.17883835500106,41088,81088,181382798464645,21728548485,0,0,0,0,2459200,0,6400,0,0.012763929029460996
slowheat_scroll,0.22210000000000002,0.233875,-0.11275,-0.28312499999999996,0.666,0.010125000000000023,0.4439,59.31543449801393,41088,81088,181387408025925,26338109765,0,0,81988,81988,2459200,0,6400,0,0.01321905798977241
dualheat_scroll,0.21939999999999998,0.29174999999999995,-0.281375,-0.28312499999999996,0.6955,0.00412499999999999,0.4761,61.774849317996996,41088,81088,181465065679173,103995763013,77657653248,7936,81988,89924,2459200,0,6400,0,0.013947354047559202
