reference,method,metric,seed,difference
vanilla,slowheat_none,final_average_accuracy,2101606466,0.00029999999999996696
vanilla,slowheat_none,final_average_accuracy,1872839281,-0.0014000000000000123
vanilla,slowheat_none,final_average_accuracy,637029796,0.001899999999999985
vanilla,slowheat_none,final_average_accuracy,1357204345,0.0042999999999999705
vanilla,slowheat_none,final_average_accuracy,1758462037,0.00010000000000001674
vanilla,slowheat_none,average_forgetting,2101606466,0.002000000000000113
vanilla,slowheat_none,average_forgetting,1872839281,0.0024999999999999467
vanilla,slowheat_none,average_forgetting,637029796,-0.0020000000000000018
vanilla,slowheat_none,average_forgetting,1357204345,0.013124999999999942
vanilla,slowheat_none,average_forgetting,1758462037,-0.013749999999999929
vanilla,slowheat_none,backward_transfer,2101606466,-0.002000000000000113
vanilla,slowheat_none,backward_transfer,1872839281,-0.0024999999999999467
vanilla,slowheat_none,backward_transfer,637029796,0.0020000000000000018
vanilla,slowheat_none,backward_transfer,1357204345,-0.013124999999999942
vanilla,slowheat_none,backward_transfer,1758462037,0.013749999999999929
vanilla,slowheat_none,forward_transfer,2101606466,0.0
vanilla,slowheat_none,forward_transfer,1872839281,0.0
vanilla,slowheat_none,forward_transfer,637029796,0.000125000000000014
vanilla,slowheat_none,forward_transfer,1357204345,0.0010000000000000009
vanilla,slowheat_none,forward_transfer,1758462037,0.000125
vanilla,slowheat_none,task_aware_final_accuracy,2101606466,0.012299999999999978
vanilla,slowheat_none,task_aware_final_accuracy,1872839281,0.06640000000000001
vanilla,slowheat_none,task_aware_final_accuracy,637029796,-0.04050000000000009
vanilla,slowheat_none,task_aware_final_accuracy,1357204345,0.013500000000000068
vanilla,slowheat_none,task_aware_final_accuracy,1758462037,-0.007300000000000084
vanilla,slowheat_none,task_aware_forgetting,2101606466,-0.012999999999999956
vanilla,slowheat_none,task_aware_forgetting,1872839281,-0.08225000000000005
vanilla,slowheat_none,task_aware_forgetting,637029796,0.05099999999999988
vanilla,slowheat_none,task_aware_forgetting,1357204345,0.001625000000000043
vanilla,slowheat_none,task_aware_forgetting,1758462037,-0.004500000000000004
vanilla,slowheat_none,classifier_gap,2101606466,0.01200000000000001
vanilla,slowheat_none,classifier_gap,1872839281,0.06780000000000003
vanilla,slowheat_none,classifier_gap,637029796,-0.04240000000000005
vanilla,slowheat_none,classifier_gap,1357204345,0.009200000000000097
vanilla,slowheat_none,classifier_gap,1758462037,-0.007400000000000073
vanilla,slowheat_none,elapsed_seconds,2101606466,16.415491304011084
vanilla,slowheat_none,elapsed_seconds,1872839281,16.479301322018728
vanilla,slowheat_none,elapsed_seconds,637029796,16.83416575100273
vanilla,slowheat_none,elapsed_seconds,1357204345,16.256455328024458
vanilla,slowheat_none,elapsed_seconds,1758462037,16.750786894001067
vanilla,slowheat_none,learner_examples_processed,2101606466,0.0
vanilla,slowheat_none,learner_examples_processed,1872839281,0.0
vanilla,slowheat_none,learner_examples_processed,637029796,0.0
vanilla,slowheat_none,learner_examples_processed,1357204345,0.0
vanilla,slowheat_none,learner_examples_processed,1758462037,0.0
vanilla,slowheat_none,total_model_examples_processed,2101606466,0.0
vanilla,slowheat_none,total_model_examples_processed,1872839281,0.0
vanilla,slowheat_none,total_model_examples_processed,637029796,0.0
vanilla,slowheat_none,total_model_examples_processed,1357204345,0.0
vanilla,slowheat_none,total_model_examples_processed,1758462037,0.0
vanilla,slowheat_none,estimated_total_flops,2101606466,16757612550.0
vanilla,slowheat_none,estimated_total_flops,1872839281,16757612550.0
vanilla,slowheat_none,estimated_total_flops,637029796,16757612550.0
vanilla,slowheat_none,estimated_total_flops,1357204345,16757612550.0
vanilla,slowheat_none,estimated_total_flops,1758462037,16757612550.0
vanilla,slowheat_none,estimated_overhead_flops,2101606466,16757612550.0
vanilla,slowheat_none,estimated_overhead_flops,1872839281,16757612550.0
vanilla,slowheat_none,estimated_overhead_flops,637029796,16757612550.0
vanilla,slowheat_none,estimated_overhead_flops,1357204345,16757612550.0
vanilla,slowheat_none,estimated_overhead_flops,1758462037,16757612550.0
vanilla,slowheat_none,replay_memory_bytes,2101606466,0.0
vanilla,slowheat_none,replay_memory_bytes,1872839281,0.0
vanilla,slowheat_none,replay_memory_bytes,637029796,0.0
vanilla,slowheat_none,replay_memory_bytes,1357204345,0.0
vanilla,slowheat_none,replay_memory_bytes,1758462037,0.0
vanilla,slowheat_none,stored_logits_bytes,2101606466,0.0
vanilla,slowheat_none,stored_logits_bytes,1872839281,0.0
vanilla,slowheat_none,stored_logits_bytes,637029796,0.0
vanilla,slowheat_none,stored_logits_bytes,1357204345,0.0
vanilla,slowheat_none,stored_logits_bytes,1758462037,0.0
vanilla,slowheat_none,replay_metadata_bytes,2101606466,0.0
vanilla,slowheat_none,replay_metadata_bytes,1872839281,0.0
vanilla,slowheat_none,replay_metadata_bytes,637029796,0.0
vanilla,slowheat_none,replay_metadata_bytes,1357204345,0.0
vanilla,slowheat_none,replay_metadata_bytes,1758462037,0.0
vanilla,slowheat_none,selector_forward_examples,2101606466,0.0
vanilla,slowheat_none,selector_forward_examples,1872839281,0.0
vanilla,slowheat_none,selector_forward_examples,637029796,0.0
vanilla,slowheat_none,selector_forward_examples,1357204345,0.0
vanilla,slowheat_none,selector_forward_examples,1758462037,0.0
vanilla,slowheat_none,selection_seconds,2101606466,0.0
vanilla,slowheat_none,selection_seconds,1872839281,0.0
vanilla,slowheat_none,selection_seconds,637029796,0.0
vanilla,slowheat_none,selection_seconds,1357204345,0.0
vanilla,slowheat_none,selection_seconds,1758462037,0.0
vanilla,slowheat_unidirectional,final_average_accuracy,2101606466,-0.0037000000000000366
vanilla,slowheat_unidirectional,final_average_accuracy,1872839281,-0.0017000000000000348
vanilla,slowheat_unidirectional,final_average_accuracy,637029796,-0.006100000000000022
vanilla,slowheat_unidirectional,final_average_accuracy,1357204345,-0.0011000000000000176
vanilla,slowheat_unidirectional,final_average_accuracy,1758462037,-0.006500000000000006
vanilla,slowheat_unidirectional,average_forgetting,2101606466,-0.007874999999999965
vanilla,slowheat_unidirectional,average_forgetting,1872839281,-0.013124999999999831
vanilla,slowheat_unidirectional,average_forgetting,637029796,-0.003250000000000086
vanilla,slowheat_unidirectional,average_forgetting,1357204345,0.013749999999999818
