method,final_average_accuracy_mean,final_average_accuracy_std,final_average_accuracy_ci95,average_forgetting_mean,average_forgetting_std,average_forgetting_ci95,backward_transfer_mean,backward_transfer_std,backward_transfer_ci95,forward_transfer_mean,forward_transfer_std,forward_transfer_ci95,task_aware_final_accuracy_mean,task_aware_final_accuracy_std,task_aware_final_accuracy_ci95,task_aware_forgetting_mean,task_aware_forgetting_std,task_aware_forgetting_ci95,classifier_gap_mean,classifier_gap_std,classifier_gap_ci95,elapsed_seconds_mean,elapsed_seconds_std,elapsed_seconds_ci95,learner_examples_processed_mean,learner_examples_processed_std,learner_examples_processed_ci95,total_model_examples_processed_mean,total_model_examples_processed_std,total_model_examples_processed_ci95,estimated_total_flops_mean,estimated_total_flops_std,estimated_total_flops_ci95,estimated_overhead_flops_mean,estimated_overhead_flops_std,estimated_overhead_flops_ci95,replay_memory_bytes_mean,replay_memory_bytes_std,replay_memory_bytes_ci95,stored_logits_bytes_mean,stored_logits_bytes_std,stored_logits_bytes_ci95,replay_metadata_bytes_mean,replay_metadata_bytes_std,replay_metadata_bytes_ci95,selector_forward_examples_mean,selector_forward_examples_std,selector_forward_examples_ci95,selection_seconds_mean,selection_seconds_std,selection_seconds_ci95
vanilla,0.18726,0.001265964717781128,0.000784653061337723,0.8978249999999999,0.005372964730946984,0.0033301980421590657,-0.8978249999999999,0.005372964730946984,0.0033301980421590657,-0.11181250000000001,0.1086050478735271,0.06731410606770652,0.5804199999999999,0.034173017295976514,0.021180655558420376,0.406375,0.042304493128849666,0.026220596495037163,0.39316,0.034397067058431326,0.021319523039901447,57.595999114401636,5.288702083615915,3.277971512259695,201600.0,0.0,0.0,201600.0,0.0,0.0,184790030745600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_none,0.18714000000000003,0.001410437284438168,0.000874198085866885,0.8949624999999999,0.004260628050990731,0.002640764625171207,-0.8949624999999999,0.004260628050990731,0.002640764625171207,-0.1117875,0.1088700813725036,0.06747837553225643,0.5830200000000001,0.027542968451332764,0.017071308710360923,0.4001125,0.033314080377355275,0.02064828094068741,0.39587999999999995,0.027993443676848515,0.017350516147814046,129.28109892450158,68.31052163722316,42.33929995945654,201600.0,0.0,0.0,201600.0,0.0,0.0,184806788358150.0,0.0,0.0,16757612550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_unidirectional,0.18245999999999998,0.002712194683277733,0.001681035680763499,0.8899375,0.009965086622247158,0.006176424678206291,-0.8899375,0.009965086622247158,0.006176424678206291,-0.11168750000000001,0.1085552414735875,0.06728323574119749,0.58784,0.023962479931018084,0.014852098933745955,0.3832125,0.030136267487125133,0.018678652105337316,0.40537999999999996,0.023573092004797888,0.014610753796661774,136.61585866840034,68.01482626268589,42.15602606754213,201600.0,0.0,0.0,201600.0,0.0,0.0,184806788477390.0,0.0,0.0,16757731790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat,0.17997999999999997,0.0017054162085674083,0.0010570279172177875,0.8789374999999999,0.011202252067726752,0.006943227765640079,-0.8789374999999999,0.011202252067726752,0.006943227765640079,-0.11165,0.10858363392130306,0.06730083356261066,0.57821,0.026309079548069846,0.016306536444832997,0.38115,0.03918553623468741,0.024287446983987424,0.39823,0.02694756430964073,0.01670227340001621,144.51153836400482,77.87310829777196,48.26625257679175,201600.0,0.0,0.0,201600.0,0.0,0.0,184806788477390.0,0.0,0.0,16757731790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hard_freeze,0.15222999999999998,0.009649761079368173,0.005980983881900662,0.7923250000000001,0.024142890602963554,0.014963918626705585,-0.7923250000000001,0.024142890602963554,0.014963918626705585,-0.11122499999999999,0.10819933700248711,0.06706264386460699,0.56299,0.03392444055053326,0.02102658609538567,0.280875,0.05684564260638922,0.03523329431565168,0.41075999999999996,0.036281590066833846,0.02248756250177219,145.40817916329834,79.86360258970005,49.499973720674895,201600.0,0.0,0.0,201600.0,0.0,0.0,184806788477390.0,0.0,0.0,16757731790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lpr,0.23786000000000002,0.007802307351034058,0.004835920197852735,0.830875,0.016620979045905954,0.010301789542491047,-0.830875,0.016620979045905954,0.010301789542491047,-0.11187499999999999,0.10897581918327875,0.0675439125063589,0.76794,0.02088456101738527,0.012944385026549363,0.1694625,0.02558679740391298,0.015858861333827065,0.53008,0.025223525174372884,0.01563370287324436,104.64512198699522,13.013498512982022,8.065849943134543,282240.0,0.0,0.0,282680.0,0.0,0.0,353954071976920.0,0.0,0.0,95113591741400.0,0.0,0.0,2459200.0,0.0,0.0,0.0,0.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,0.013184282011934556,0.0004250807944895386,0.00026346780603545515
slowheat_lpr,0.27032,0.009107237659014803,0.005644724382209549,0.7880625,0.01322156934079058,0.008194813578314846,-0.7880625,0.01322156934079058,0.008194813578314846,-0.11140000000000001,0.1086819359159766,0.06736176177014506,0.77887,0.021996870989605153,0.01363380188991072,0.15416249999999998,0.02813953636690634,0.017441065335230464,0.50855,0.022016824374908258,0.013646169126250112,178.7878978970024,75.10998097667634,46.553648520050245,282240.0,0.0,0.0,282680.0,0.0,0.0,353971701249880.0,0.0,0.0,95131221014360.0,0.0,0.0,2459200.0,0.0,0.0,0.0,0.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,0.01314978529990185,0.00039618923690550045,0.0002455606331208226
classifier_expander,0.42338000000000003,0.013585351588301922,0.008420288151311154,0.3339625,0.04390978954692854,0.02721556952320164,-0.2719,0.07645634193591937,0.04738813168810191,-0.11103749999999998,0.10778534561417273,0.06680604934372834,0.8406100000000001,0.014364883880104592,0.008903447271453653,0.08026249999999999,0.015280985143126227,0.009471252716920701,0.41723,0.011658096852497952,0.007225763290399779,85.90793960299634,14.030713610990707,8.69632639281824,282944.0,0.0,0.0,363584.0,0.0,0.0,283990012329984.0,0.0,0.0,0.0,0.0,0.0,2459200.0,0.0,0.0,0.0,0.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,0.012952634698012843,0.0002298682950858217,0.0001424738453688538
slowheat_classifier_expander,0.4351,0.022281382362860685,0.01381014386601384,0.28423750000000003,0.01773419190434117,0.010991766020526454,-0.08362499999999999,0.0479194202107385,0.02970076435604534,-0.111825,0.10906568484684406,0.06759961182169942,0.85355,0.01433405036966175,0.00888433646368709,0.06364999999999998,0.015980652364656456,0.009904910953663337,0.41845,0.01576671952070066,0.00977231400323267,145.89252230259882,60.80730870429789,37.688760402550436,282944.0,0.0,0.0,363584.0,0.0,0.0,284007641602944.0,0.0,0.0,17629272960.0,0.0,0.0,2459200.0,0.0,0.0,0.0,0.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,0.013340903795324266,0.00042778047308040374,0.0002651410841617706
scroll,0.12305999999999999,0.02484092501408825,0.015396564837073953,0.34266250000000004,0.07555698387640947,0.046830703787686126,-0.2690125,0.060702469117363295,0.03762378015335218,-0.1125,0.10944937947136416,0.06783742821383094,0.52944,0.027482891647956812,0.017034072721851742,0.1105,0.016972915515936306,0.010519922026538245,0.40637999999999996,0.022786877315195655,0.014123452883452804,18.61346984480624,1.440927600817525,0.8930961797491147,41088.0,0.0,0.0,81088.0,0.0,0.0,49905259599493.0,0.0,0.0,21728548485.0,0.0,0.0,2459200.0,0.0,0.0,0.0,0.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,0.013050061507965439,0.0004892107024494364,0.000303215934792342
