reference,method,metric,seed,difference
vanilla,slowheat_none,final_average_accuracy,2101606466,-0.0007000000000000062
vanilla,slowheat_none,final_average_accuracy,1872839281,0.0012000000000000066
vanilla,slowheat_none,final_average_accuracy,637029796,-0.0007999999999999952
vanilla,slowheat_none,final_average_accuracy,1357204345,-0.00020000000000000573
vanilla,slowheat_none,final_average_accuracy,1758462037,0.00040000000000001146
vanilla,slowheat_none,final_average_accuracy,748737880,0.0
vanilla,slowheat_none,final_average_accuracy,1611510062,0.0030000000000000027
vanilla,slowheat_none,final_average_accuracy,333205446,-0.001700000000000007
vanilla,slowheat_none,final_average_accuracy,130501536,0.0008999999999999841
vanilla,slowheat_none,final_average_accuracy,492612040,-0.0032999999999999696
vanilla,slowheat_none,average_forgetting,2101606466,-0.004750000000000032
vanilla,slowheat_none,average_forgetting,1872839281,-0.0003750000000000142
vanilla,slowheat_none,average_forgetting,637029796,-0.008500000000000063
vanilla,slowheat_none,average_forgetting,1357204345,-0.007000000000000006
vanilla,slowheat_none,average_forgetting,1758462037,0.0068750000000000755
vanilla,slowheat_none,average_forgetting,748737880,-0.009000000000000008
vanilla,slowheat_none,average_forgetting,1611510062,-0.0036249999999998783
vanilla,slowheat_none,average_forgetting,333205446,-0.0017499999999999183
vanilla,slowheat_none,average_forgetting,130501536,0.0016249999999998765
vanilla,slowheat_none,average_forgetting,492612040,-0.0021250000000000435
vanilla,slowheat_none,backward_transfer,2101606466,0.004750000000000032
vanilla,slowheat_none,backward_transfer,1872839281,0.0003750000000000142
vanilla,slowheat_none,backward_transfer,637029796,0.008500000000000063
vanilla,slowheat_none,backward_transfer,1357204345,0.007000000000000006
vanilla,slowheat_none,backward_transfer,1758462037,-0.0068750000000000755
vanilla,slowheat_none,backward_transfer,748737880,0.009000000000000008
vanilla,slowheat_none,backward_transfer,1611510062,0.0036249999999998783
vanilla,slowheat_none,backward_transfer,333205446,0.0017499999999999183
vanilla,slowheat_none,backward_transfer,130501536,-0.0016249999999998765
