method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
vanilla,0.187,0.8986249999999999,-0.8986249999999999,-0.12475,0.6096,0.37037499999999995,0.42260000000000003,53.9595998970035,201600,201600,184790030745600,0,0,0,0,0,0.0
slowheat_none,0.19,0.895,-0.895,-0.124625,0.5707,0.41912499999999997,0.3807,85.07128614801331,201600,201600,184806788358150,16757612550,0,0,0,0,0.0
slowheat_unidirectional,0.1813,0.893875,-0.893875,-0.1245,0.5708,0.407,0.38949999999999996,92.90886447200319,201600,201600,184806788477390,16757731790,0,0,0,0,0.0
slowheat,0.1784,0.8851249999999999,-0.8851249999999999,-0.124125,0.5705,0.395,0.3921,95.1894857660227,201600,201600,184806788477390,16757731790,0,0,0,0,0.0
hard_freeze,0.15499999999999997,0.799625,-0.799625,-0.123625,0.5574999999999999,0.29674999999999996,0.4024999999999999,94.87394461801159,201600,201600,184806788477390,16757731790,0,0,0,0,0.0
lpr,0.2444,0.8210000000000001,-0.8210000000000001,-0.12475,0.7849999999999999,0.147,0.5406,94.87441870800103,282240,282680,353954071976920,95113591741400,2459200,0,6400,0,0.01276698597939685
slowheat_lpr,0.28369999999999995,0.7711249999999998,-0.7711249999999998,-0.1245,0.794,0.13512500000000002,0.5103000000000001,137.02372049700352,282240,282680,353971701249880,95131221014360,2459200,0,6400,0,0.012866895005572587
classifier_expander,0.41740000000000005,0.39299999999999996,-0.34199999999999997,-0.12425,0.8495000000000001,0.07912499999999997,0.4321000000000001,82.78632011602167,282944,363584,283990012329984,0,2459200,0,6400,0,0.013066220039036125
slowheat_classifier_expander,0.44239999999999996,0.270125,-0.02700000000000001,-0.124,0.8481,0.07287499999999997,0.4057,122.09873710898682,282944,363584,284007641602944,17629272960,2459200,0,6400,0,0.013418411981547251
scroll,0.156,0.29625,-0.278375,-0.125,0.5132,0.110125,0.35719999999999996,17.88147432199912,41088,81088,49905259599493,21728548485,2459200,0,6400,0,0.012689403985859826
slowheat_scroll,0.2029,0.31625000000000003,-0.201125,-0.125,0.7076,0.008125000000000021,0.5047,24.108991839981172,41088,81088,49908608012293,25076961285,2459200,0,6400,0,0.012800904019968584
