reference,method,metric,seed,difference
vanilla,fastheat,final_average_accuracy,2101606466,0.007500000000000007
vanilla,fastheat,final_average_accuracy,1872839281,-0.0007999999999999952
vanilla,fastheat,final_average_accuracy,637029796,0.0015000000000000013
vanilla,fastheat,final_average_accuracy,1357204345,-0.0009000000000000119
vanilla,fastheat,final_average_accuracy,1758462037,-0.00020000000000000573
vanilla,fastheat,final_average_accuracy,748737880,-0.0020000000000000018
vanilla,fastheat,final_average_accuracy,1611510062,0.0015999999999999903
vanilla,fastheat,final_average_accuracy,333205446,-0.0005999999999999894
vanilla,fastheat,final_average_accuracy,130501536,-0.006400000000000017
vanilla,fastheat,final_average_accuracy,492612040,-0.001700000000000007
vanilla,fastheat,average_forgetting,2101606466,0.004749999999999921
vanilla,fastheat,average_forgetting,1872839281,0.007624999999999993
vanilla,fastheat,average_forgetting,637029796,-0.009749999999999925
vanilla,fastheat,average_forgetting,1357204345,-0.004375000000000018
vanilla,fastheat,average_forgetting,1758462037,-0.007000000000000006
vanilla,fastheat,average_forgetting,748737880,-0.003375000000000017
vanilla,fastheat,average_forgetting,1611510062,0.0026249999999998774
vanilla,fastheat,average_forgetting,333205446,-0.003874999999999962
vanilla,fastheat,average_forgetting,130501536,-0.006625000000000103
vanilla,fastheat,average_forgetting,492612040,-0.0011249999999999316
vanilla,fastheat,backward_transfer,2101606466,-0.004749999999999921
vanilla,fastheat,backward_transfer,1872839281,-0.007624999999999993
vanilla,fastheat,backward_transfer,637029796,0.009749999999999925
vanilla,fastheat,backward_transfer,1357204345,0.004375000000000018
vanilla,fastheat,backward_transfer,1758462037,0.007000000000000006
vanilla,fastheat,backward_transfer,748737880,0.003375000000000017
vanilla,fastheat,backward_transfer,1611510062,-0.0026249999999998774
vanilla,fastheat,backward_transfer,333205446,0.003874999999999962
vanilla,fastheat,backward_transfer,130501536,0.006625000000000103
vanilla,fastheat,backward_transfer,492612040,0.0011249999999999316
vanilla,fastheat,forward_transfer,2101606466,0.0
vanilla,fastheat,forward_transfer,1872839281,0.0
vanilla,fastheat,forward_transfer,637029796,0.0
vanilla,fastheat,forward_transfer,1357204345,0.0002500000000000002
