method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,fastheat_overhead_flops,fastheat_state_bytes,slowheat_state_bytes,method_state_bytes,replay_memory_bytes,stored_logits_bytes,replay_metadata_bytes,selector_forward_examples,selection_seconds
vanilla,0.1832,0.89825,-0.89825,-0.25,0.5256000000000001,0.47025000000000006,0.34240000000000004,36.19692613900406,201600,201600,184790030745600,0,0,0,0,0,0,0,0,0,0.0
fastheat,0.1847,0.8885000000000001,-0.8885000000000001,-0.25,0.6346999999999999,0.326,0.44999999999999996,42.98807299800683,201600,201600,184888347033600,98316288000,98316288000,11008,0,11008,0,0,0,0,0.0
slowheat,0.1733,0.8714999999999999,-0.8714999999999999,-0.25,0.5708,0.374625,0.39749999999999996,59.907366439991165,201600,201600,184806788477390,16757731790,0,0,33324,33324,0,0,0,0,0.0
dualheat,0.1712,0.8585,-0.8585,-0.25,0.5711999999999999,0.3585,0.3999999999999999,67.15674540298642,201600,201600,184905104765390,115074019790,98316288000,11008,33324,44332,0,0,0,0,0.0
lpr,0.2246,0.8422499999999999,-0.8422499999999999,-0.249875,0.7858999999999999,0.1415,0.5612999999999999,67.4124147539842,282240,282680,353954071976920,95113591741400,0,0,0,0,2459200,0,6400,0,0.012576729990541935
slowheat_lpr,0.2642,0.791,-0.791,-0.25,0.7841000000000001,0.14449999999999996,0.5199000000000001,92.30445031300769,282240,282680,353971701249880,95131221014360,0,0,33184,33184,2459200,0,6400,0,0.012361975008388981
dualheat_lpr,0.2763,0.762375,-0.762375,-0.24975,0.7868,0.12650000000000003,0.5105000000000001,97.44118704501307,282240,282680,354109558632280,95269078396760,137857382400,11008,33184,44192,2459200,0,6400,0,0.012927971984026954
classifier_expander,0.4394,0.32375,-0.23299999999999998,-0.25,0.8443999999999999,0.073125,0.4049999999999999,56.3233693689981,282944,363584,283990012329984,0,0,0,0,0,2459200,0,6400,0,0.013040326943155378
slowheat_classifier_expander,0.4325,0.193625,-0.07637499999999998,-0.25,0.8598000000000001,0.05212499999999998,0.4273000000000001,80.91799611900933,282944,363584,284007641602944,17629272960,0,0,33184,33184,2459200,0,6400,0,0.012740438978653401
dualheat_classifier_expander,0.40390000000000004,0.18924999999999997,0.17712499999999998,-0.249875,0.8428000000000001,0.055249999999999966,0.43890000000000007,86.96820443400065,282944,363584,284184954248064,194941918080,177312645120,11008,33184,44192,2459200,0,6400,0,0.012861677998444065
scroll,0.1902,0.28362499999999996,-0.10812499999999999,-0.25,0.5824,0.04149999999999998,0.3922,12.192295815999387,41088,81088,49905259599493,21728548485,0,0,0,0,2459200,0,6400,0,0.012833635963033885
slowheat_scroll,0.24230000000000002,0.146875,-0.13725,-0.25,0.6989,0.014875,0.45659999999999995,15.777391008974519,41088,81088,49908608012293,25076961285,0,0,33184,33184,2459200,0,6400,0,0.013107453036354855
dualheat_scroll,0.196,0.35000000000000003,-0.35000000000000003,-0.25,0.6820999999999999,0.015375,0.4860999999999999,16.889214968978195,41088,81088,49948153008133,64621957125,39544995840,11008,33184,44192,2459200,0,6400,0,0.014018543035490438
