method,final_average_accuracy_mean,final_average_accuracy_std,final_average_accuracy_ci95,average_forgetting_mean,average_forgetting_std,average_forgetting_ci95,backward_transfer_mean,backward_transfer_std,backward_transfer_ci95,forward_transfer_mean,forward_transfer_std,forward_transfer_ci95,task_aware_final_accuracy_mean,task_aware_final_accuracy_std,task_aware_final_accuracy_ci95,task_aware_forgetting_mean,task_aware_forgetting_std,task_aware_forgetting_ci95,classifier_gap_mean,classifier_gap_std,classifier_gap_ci95,elapsed_seconds_mean,elapsed_seconds_std,elapsed_seconds_ci95,learner_examples_processed_mean,learner_examples_processed_std,learner_examples_processed_ci95,total_model_examples_processed_mean,total_model_examples_processed_std,total_model_examples_processed_ci95,estimated_total_flops_mean,estimated_total_flops_std,estimated_total_flops_ci95,estimated_overhead_flops_mean,estimated_overhead_flops_std,estimated_overhead_flops_ci95,replay_memory_bytes_mean,replay_memory_bytes_std,replay_memory_bytes_ci95,stored_logits_bytes_mean,stored_logits_bytes_std,stored_logits_bytes_ci95
vanilla,0.19618,0.0009681597664297661,0.0006000716401675184,0.9926999999999999,0.0011595018087284387,0.000718666666666687,-0.9926999999999999,0.0011595018087284387,0.000718666666666687,-0.13410000000000002,0.07465180283601104,0.04626966676632398,0.66474,0.04641121033160464,0.02876596618814981,0.4069999999999999,0.05767858739987003,0.03574955884731696,0.46856,0.04642918622303578,0.02877710776108909,1.5956603715982056,0.08665283782398515,0.05370798531523243,102400.0,0.0,0.0,102400.0,0.0,0.0,144231628800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat,0.19342,0.0010217631819555855,0.0006332953813190185,0.9898,0.0019032136564826896,0.0011796240455708266,-0.9898,0.0019032136564826896,0.0011796240455708266,-0.13410000000000002,0.07465180283601104,0.04626966676632398,0.682,0.03942914883405139,0.024438439637405458,0.379075,0.050502757075453056,0.031301933133416684,0.48858000000000007,0.03995213246985556,0.024762588253160345,3.89738795979938,0.11132650647508902,0.06900088358450981,102400.0,0.0,0.0,102400.0,0.0,0.0,144581142920.0,0.0,0.0,349514120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_beta_10,0.19410000000000002,0.0012692955176439838,0.0007867175124810961,0.9909250000000001,0.0017600899598220817,0.0010909150593270778,-0.9909250000000001,0.0017600899598220817,0.0010909150593270778,-0.13410000000000002,0.07465180283601104,0.04626966676632398,0.69118,0.053062349070587614,0.03288838468814721,0.36957499999999993,0.06764716981022437,0.041928150237439905,0.4970800000000001,0.05345662416077795,0.033132758920842484,3.8871113056957256,0.09554278246150708,0.0592180300873968,102400.0,0.0,0.0,102400.0,0.0,0.0,144581142920.0,0.0,0.0,349514120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_beta_30,0.19342,0.0010217631819555855,0.0006332953813190185,0.9898,0.0019032136564826896,0.0011796240455708266,-0.9898,0.0019032136564826896,0.0011796240455708266,-0.13410000000000002,0.07465180283601104,0.04626966676632398,0.682,0.03942914883405139,0.024438439637405458,0.379075,0.050502757075453056,0.031301933133416684,0.48858000000000007,0.03995213246985556,0.024762588253160345,3.903239620302338,0.0860659171369529,0.05334420810456145,102400.0,0.0,0.0,102400.0,0.0,0.0,144581142920.0,0.0,0.0,349514120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_beta_100,0.1921,0.002695263334897806,0.0016705415223147782,0.98855,0.003257043649282797,0.002018736568582775,-0.98855,0.003257043649282797,0.002018736568582775,-0.13410000000000002,0.07465180283601104,0.04626966676632398,0.62862,0.0665543353625859,0.041250804429274104,0.44289999999999996,0.08342163654858639,0.05170526601592702,0.4365200000000001,0.06635495125124842,0.041127224876743404,3.8736354257998755,0.09616664465793417,0.05960470388280666,102400.0,0.0,0.0,102400.0,0.0,0.0,144581142920.0,0.0,0.0,349514120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_adaptive,0.19241999999999998,0.0024247794859647677,0.0015028938958629864,0.9893999999999998,0.0022766935088705336,0.001411109256341723,-0.9893999999999998,0.0022766935088705336,0.001411109256341723,-0.13410000000000002,0.07465180283601104,0.04626966676632398,0.64748,0.06820219611974054,0.04227215910812009,0.42057500000000003,0.08564859164049342,0.05308554708204484,0.45506,0.06989185614616023,0.04331942124246608,3.8575706948991866,0.11615770347584617,0.07199529050859371,102400.0,0.0,0.0,102400.0,0.0,0.0,144581142920.0,0.0,0.0,349514120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_native_state,0.19519999999999998,0.0007717224601860156,0.000478318536356498,0.991225,0.0020563249310900015,0.001274523396760106,-0.991225,0.0020563249310900015,0.001274523396760106,-0.13410000000000002,0.07465180283601104,0.04626966676632398,0.8389599999999999,0.06020570663243734,0.037315883575287936,0.18655000000000002,0.07553060454029362,0.04681435370576944,0.64376,0.06010167681151297,0.037251405224262644,3.527604168790276,0.09877832369764877,0.06122343932223928,102400.0,0.0,0.0,102400.0,0.0,0.0,144581142920.0,0.0,0.0,349514120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_unidirectional,0.19422,0.0017164562977897895,0.001063870635410571,0.99085,0.0018226964152655884,0.001129718942431618,-0.99085,0.0018226964152655884,0.001129718942431618,-0.13410000000000002,0.07465180283601104,0.04626966676632398,0.7441599999999999,0.0475150315397372,0.02945012166102015,0.303425,0.06010327339024242,0.03725239479401141,0.54994,0.04843901549600508,0.03002281285037909,3.770522044802783,0.11767413453759301,0.07293518421826423,102400.0,0.0,0.0,102400.0,0.0,0.0,144581142920.0,0.0,0.0,349514120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_unbudgeted,0.19260000000000002,0.0018475208614067997,0.0011451052935574654,0.989875,0.00179215109730054,0.00111078675821339,-0.989875,0.00179215109730054,0.00111078675821339,-0.13410000000000002,0.07465180283601104,0.04626966676632398,0.6849399999999999,0.036109715528588104,0.022381033559293516,0.37444999999999995,0.044145403686756186,0.0273616046800378,0.49234,0.03533006903160222,0.021897803654045103,3.870124700400629,0.10485295842917348,0.06498853693645526,102400.0,0.0,0.0,102400.0,0.0,0.0,144581142920.0,0.0,0.0,349514120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_none,0.19604000000000002,0.0010823841996054637,0.0006708686773297916,0.9927250000000001,0.001157403703697812,0.0007173662476959476,-0.9927250000000001,0.001157403703697812,0.0007173662476959476,-0.13410000000000002,0.07465180283601104,0.04626966676632398,0.6597600000000001,0.04937950992061384,0.030605737334035918,0.41307499999999997,0.06111976517006954,0.03788242292644147,0.46372,0.049154920630820116,0.030466535450045677,3.8602226668968798,0.10041765378555871,0.062239506637508615,102400.0,0.0,0.0,102400.0,0.0,0.0,144581128000.0,0.0,0.0,349499200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hard_freeze,0.19576,0.009187818021706786,0.005694668608444217,0.982625,0.011146281143652067,0.0069085366274872885,-0.982625,0.011146281143652067,0.0069085366274872885,-0.13410000000000002,0.07465180283601104,0.04626966676632398,0.78496,0.06186097674984165,0.03834183062319507,0.24617499999999998,0.07612928057660279,0.04718541695740797,0.5892,0.06207329001537889,0.038473423748521966,3.744895378799993,0.10655854795537895,0.06604567227705804,102400.0,0.0,0.0,102400.0,0.0,0.0,144581142920.0,0.0,0.0,349514120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
replay,0.7593599999999999,0.014058860393202421,0.008713771949174609,0.2864,0.01815297649300399,0.011251331397760096,-0.2864,0.01815297649300399,0.011251331397760096,-0.13287499999999997,0.07610767682843973,0.04717202681557035,0.9831199999999999,0.0019395302982365913,0.001202133333333324,0.011575000000000007,0.0028675628444145124,0.0017773338647160976,0.22376000000000001,0.015412202957397057,0.009552582360806918,2.421040648102644,0.13364345919440002,0.0828330741858628,143360.0,0.0,0.0,143360.0,0.0,0.0,201924280320.0,0.0,0.0,0.0,0.0,0.0,628800.0,0.0,0.0,0.0,0.0,0.0
distillation,0.19596,0.0009033271832508974,0.0005598879887977596,0.9932000000000001,0.002454587541726687,0.0015213691202334647,-0.9932000000000001,0.002454587541726687,0.0015213691202334647,-0.13410000000000002,0.07465180283601104,0.04626966676632398,0.87744,0.02266447048184055,0.014047584342116927,0.14150000000000001,0.028506090967058636,0.017668258230196,0.6814799999999999,0.022522719393734143,0.01395972610746913,2.1611904884950492,0.12878908134592812,0.07982429962351197,102400.0,0.0,0.0,184320.0,0.0,0.0,182693396480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat_replay,0.7658600000000001,0.01369088910350398,0.008485700980931252,0.27127500000000004,0.018125890782708202,0.011234543500590775,-0.27127500000000004,0.018125890782708202,0.011234543500590775,-0.13232499999999997,0.07407063539472154,0.04590945545430821,0.9812,0.0022050447211387934,0.0013667008776205663,0.009450000000000005,0.004004858160895198,0.0024822368048910137,0.21534,0.013864438923615573,0.008593268273868016,4.756416131500737,0.19723834639237459,0.12224959363893109,143360.0,0.0,0.0,143360.0,0.0,0.0,202338347400.0,0.0,0.0,414067080.0,0.0,0.0,628800.0,0.0,0.0,0.0,0.0,0.0
slowheat_distillation,0.19324,0.002438214282807994,0.0015112208692165286,0.98885,0.0029135697844549576,0.0018058492615818085,-0.98885,0.0029135697844549576,0.0018058492615818085,-0.13410000000000002,0.07465180283601104,0.04626966676632398,0.83406,0.051347102049569354,0.03182526357024488,0.187875,0.06275993170628676,0.03889900867774281,0.6408200000000001,0.05035848819547038,0.031212514355196248,4.414699327701237,0.1214388650791756,0.07526858838275147,102400.0,0.0,0.0,184320.0,0.0,0.0,183042910600.0,0.0,0.0,349514120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
derpp,0.8249599999999999,0.010100297025335454,0.006260228954279554,0.203575,0.013606600726608152,0.008433458503682423,-0.203575,0.013606600726608152,0.008433458503682423,-0.13384999999999997,0.07429924479951176,0.046051149031388024,0.9845599999999999,0.002080170933147341,0.0012893033019597956,0.00990000000000001,0.0029302066669624396,0.0018161609081919067,0.15959999999999996,0.009476989676755636,0.005873899057128336,2.6184496406058315,0.12718391103745566,0.07882940475889136,143360.0,0.0,0.0,143360.0,0.0,0.0,201924280320.0,0.0,0.0,0.0,0.0,0.0,628800.0,0.0,0.0,8000.0,0.0,0.0
