reference,method,metric,seed,difference
replay,vanilla,final_average_accuracy,311,-0.5606
replay,vanilla,final_average_accuracy,617,-0.5968
replay,vanilla,final_average_accuracy,919,-0.5586
replay,vanilla,final_average_accuracy,1223,-0.5549999999999999
replay,vanilla,final_average_accuracy,1523,-0.561
replay,vanilla,final_average_accuracy,1823,-0.5604
replay,vanilla,final_average_accuracy,2129,-0.5679999999999998
replay,vanilla,final_average_accuracy,2423,-0.5406
replay,vanilla,final_average_accuracy,2729,-0.5584
replay,vanilla,final_average_accuracy,3037,-0.5724
replay,vanilla,average_forgetting,311,0.7042499999999998
replay,vanilla,average_forgetting,617,0.74725
replay,vanilla,average_forgetting,919,0.7015
replay,vanilla,average_forgetting,1223,0.6947499999999999
replay,vanilla,average_forgetting,1523,0.70425
replay,vanilla,average_forgetting,1823,0.70225
replay,vanilla,average_forgetting,2129,0.71275
replay,vanilla,average_forgetting,2423,0.67675
replay,vanilla,average_forgetting,2729,0.7015
replay,vanilla,average_forgetting,3037,0.7177500000000001
replay,vanilla,backward_transfer,311,-0.7042499999999998
replay,vanilla,backward_transfer,617,-0.74725
replay,vanilla,backward_transfer,919,-0.7015
replay,vanilla,backward_transfer,1223,-0.6947499999999999
replay,vanilla,backward_transfer,1523,-0.70425
replay,vanilla,backward_transfer,1823,-0.70225
replay,vanilla,backward_transfer,2129,-0.71275
replay,vanilla,backward_transfer,2423,-0.67675
replay,vanilla,backward_transfer,2729,-0.7015
replay,vanilla,backward_transfer,3037,-0.7177500000000001
replay,vanilla,forward_transfer,311,0.0
replay,vanilla,forward_transfer,617,-0.000250000000000028
replay,vanilla,forward_transfer,919,-0.0007500000000000007
replay,vanilla,forward_transfer,1223,-0.0005000000000000004
replay,vanilla,forward_transfer,1523,-0.0017500000000000016
replay,vanilla,forward_transfer,1823,0.0
replay,vanilla,forward_transfer,2129,-0.0007500000000000007
replay,vanilla,forward_transfer,2423,0.0
replay,vanilla,forward_transfer,2729,0.0
replay,vanilla,forward_transfer,3037,-0.008250000000000004
replay,vanilla,task_aware_final_accuracy,311,-0.2884000000000001
replay,vanilla,task_aware_final_accuracy,617,-0.3148000000000002
replay,vanilla,task_aware_final_accuracy,919,-0.3114
replay,vanilla,task_aware_final_accuracy,1223,-0.3839999999999999
replay,vanilla,task_aware_final_accuracy,1523,-0.26059999999999983
replay,vanilla,task_aware_final_accuracy,1823,-0.33719999999999983
replay,vanilla,task_aware_final_accuracy,2129,-0.383
replay,vanilla,task_aware_final_accuracy,2423,-0.24680000000000002
replay,vanilla,task_aware_final_accuracy,2729,-0.32799999999999996
replay,vanilla,task_aware_final_accuracy,3037,-0.3296000000000001
replay,vanilla,task_aware_forgetting,311,0.3577499999999999
replay,vanilla,task_aware_forgetting,617,0.3895
replay,vanilla,task_aware_forgetting,919,0.38749999999999996
replay,vanilla,task_aware_forgetting,1223,0.47675
replay,vanilla,task_aware_forgetting,1523,0.3237499999999999
replay,vanilla,task_aware_forgetting,1823,0.41925
replay,vanilla,task_aware_forgetting,2129,0.476
replay,vanilla,task_aware_forgetting,2423,0.30574999999999997
replay,vanilla,task_aware_forgetting,2729,0.4084999999999999
replay,vanilla,task_aware_forgetting,3037,0.4095
replay,vanilla,classifier_gap,311,0.2721999999999999
replay,vanilla,classifier_gap,617,0.28199999999999986
replay,vanilla,classifier_gap,919,0.24720000000000003
replay,vanilla,classifier_gap,1223,0.1710000000000001
replay,vanilla,classifier_gap,1523,0.3004000000000002
replay,vanilla,classifier_gap,1823,0.22320000000000018
replay,vanilla,classifier_gap,2129,0.1849999999999999
replay,vanilla,classifier_gap,2423,0.29380000000000006
replay,vanilla,classifier_gap,2729,0.23040000000000005
replay,vanilla,classifier_gap,3037,0.24279999999999996
replay,vanilla,elapsed_seconds,311,-0.7594281190249603
replay,vanilla,elapsed_seconds,617,-0.848624402016867
replay,vanilla,elapsed_seconds,919,-0.7203854930121452
replay,vanilla,elapsed_seconds,1223,-1.065508266998222
replay,vanilla,elapsed_seconds,1523,-0.8934973330178764
replay,vanilla,elapsed_seconds,1823,-0.7418467370152939
replay,vanilla,elapsed_seconds,2129,-0.7388007529953029
replay,vanilla,elapsed_seconds,2423,-0.7263728409889154
replay,vanilla,elapsed_seconds,2729,-0.9601419649843592
replay,vanilla,elapsed_seconds,3037,-0.7991968549904414
replay,vanilla,learner_examples_processed,311,-40960.0
replay,vanilla,learner_examples_processed,617,-40960.0
replay,vanilla,learner_examples_processed,919,-40960.0
replay,vanilla,learner_examples_processed,1223,-40960.0
replay,vanilla,learner_examples_processed,1523,-40960.0
replay,vanilla,learner_examples_processed,1823,-40960.0
replay,vanilla,learner_examples_processed,2129,-40960.0
replay,vanilla,learner_examples_processed,2423,-40960.0
replay,vanilla,learner_examples_processed,2729,-40960.0
replay,vanilla,learner_examples_processed,3037,-40960.0
replay,vanilla,total_model_examples_processed,311,-40960.0
replay,vanilla,total_model_examples_processed,617,-40960.0
replay,vanilla,total_model_examples_processed,919,-40960.0
replay,vanilla,total_model_examples_processed,1223,-40960.0
replay,vanilla,total_model_examples_processed,1523,-40960.0
replay,vanilla,total_model_examples_processed,1823,-40960.0
replay,vanilla,total_model_examples_processed,2129,-40960.0
replay,vanilla,total_model_examples_processed,2423,-40960.0
replay,vanilla,total_model_examples_processed,2729,-40960.0
replay,vanilla,total_model_examples_processed,3037,-40960.0
replay,vanilla,estimated_total_flops,311,-57692651520.0
replay,vanilla,estimated_total_flops,617,-57692651520.0
replay,vanilla,estimated_total_flops,919,-57692651520.0
replay,vanilla,estimated_total_flops,1223,-57692651520.0
replay,vanilla,estimated_total_flops,1523,-57692651520.0
replay,vanilla,estimated_total_flops,1823,-57692651520.0
replay,vanilla,estimated_total_flops,2129,-57692651520.0
replay,vanilla,estimated_total_flops,2423,-57692651520.0
replay,vanilla,estimated_total_flops,2729,-57692651520.0
replay,vanilla,estimated_total_flops,3037,-57692651520.0
replay,vanilla,estimated_overhead_flops,311,0.0
replay,vanilla,estimated_overhead_flops,617,0.0
replay,vanilla,estimated_overhead_flops,919,0.0
replay,vanilla,estimated_overhead_flops,1223,0.0
replay,vanilla,estimated_overhead_flops,1523,0.0
replay,vanilla,estimated_overhead_flops,1823,0.0
replay,vanilla,estimated_overhead_flops,2129,0.0
replay,vanilla,estimated_overhead_flops,2423,0.0
replay,vanilla,estimated_overhead_flops,2729,0.0
replay,vanilla,estimated_overhead_flops,3037,0.0
replay,vanilla,replay_memory_bytes,311,-628800.0
replay,vanilla,replay_memory_bytes,617,-628800.0
replay,vanilla,replay_memory_bytes,919,-628800.0
replay,vanilla,replay_memory_bytes,1223,-628800.0
replay,vanilla,replay_memory_bytes,1523,-628800.0
replay,vanilla,replay_memory_bytes,1823,-628800.0
replay,vanilla,replay_memory_bytes,2129,-628800.0
replay,vanilla,replay_memory_bytes,2423,-628800.0
replay,vanilla,replay_memory_bytes,2729,-628800.0
replay,vanilla,replay_memory_bytes,3037,-628800.0
replay,vanilla,stored_logits_bytes,311,0.0
replay,vanilla,stored_logits_bytes,617,0.0
replay,vanilla,stored_logits_bytes,919,0.0
replay,vanilla,stored_logits_bytes,1223,0.0
replay,vanilla,stored_logits_bytes,1523,0.0
replay,vanilla,stored_logits_bytes,1823,0.0
replay,vanilla,stored_logits_bytes,2129,0.0
replay,vanilla,stored_logits_bytes,2423,0.0
replay,vanilla,stored_logits_bytes,2729,0.0
replay,vanilla,stored_logits_bytes,3037,0.0
replay,slowheat,final_average_accuracy,311,-0.5641999999999999
replay,slowheat,final_average_accuracy,617,-0.5992000000000001
replay,slowheat,final_average_accuracy,919,-0.5598000000000001
replay,slowheat,final_average_accuracy,1223,-0.5572
replay,slowheat,final_average_accuracy,1523,-0.5640000000000001
replay,slowheat,final_average_accuracy,1823,-0.5604
replay,slowheat,final_average_accuracy,2129,-0.5737999999999999
replay,slowheat,final_average_accuracy,2423,-0.5436000000000001
replay,slowheat,final_average_accuracy,2729,-0.5616
replay,slowheat,final_average_accuracy,3037,-0.5756000000000001
replay,slowheat,average_forgetting,311,0.70025
replay,slowheat,average_forgetting,617,0.74575
replay,slowheat,average_forgetting,919,0.6980000000000001
replay,slowheat,average_forgetting,1223,0.69175
replay,slowheat,average_forgetting,1523,0.7000000000000001
replay,slowheat,average_forgetting,1823,0.6995
replay,slowheat,average_forgetting,2129,0.7092499999999999
replay,slowheat,average_forgetting,2423,0.67575
replay,slowheat,average_forgetting,2729,0.69825
replay,slowheat,average_forgetting,3037,0.7155
replay,slowheat,backward_transfer,311,-0.70025
replay,slowheat,backward_transfer,617,-0.74575
replay,slowheat,backward_transfer,919,-0.6980000000000001
replay,slowheat,backward_transfer,1223,-0.69175
replay,slowheat,backward_transfer,1523,-0.7000000000000001
replay,slowheat,backward_transfer,1823,-0.6995
replay,slowheat,backward_transfer,2129,-0.7092499999999999
replay,slowheat,backward_transfer,2423,-0.67575
replay,slowheat,backward_transfer,2729,-0.69825
replay,slowheat,backward_transfer,3037,-0.7155
replay,slowheat,forward_transfer,311,0.0
replay,slowheat,forward_transfer,617,-0.000250000000000028
replay,slowheat,forward_transfer,919,-0.0007500000000000007
replay,slowheat,forward_transfer,1223,-0.0005000000000000004
replay,slowheat,forward_transfer,1523,-0.0017500000000000016
replay,slowheat,forward_transfer,1823,0.0
replay,slowheat,forward_transfer,2129,-0.0007500000000000007
replay,slowheat,forward_transfer,2423,0.0
replay,slowheat,forward_transfer,2729,0.0
replay,slowheat,forward_transfer,3037,-0.008250000000000004
replay,slowheat,task_aware_final_accuracy,311,-0.2966
replay,slowheat,task_aware_final_accuracy,617,-0.2826000000000002
replay,slowheat,task_aware_final_accuracy,919,-0.31979999999999986
replay,slowheat,task_aware_final_accuracy,1223,-0.29059999999999986
replay,slowheat,task_aware_final_accuracy,1523,-0.3335999999999999
replay,slowheat,task_aware_final_accuracy,1823,-0.26239999999999986
replay,slowheat,task_aware_final_accuracy,2129,-0.23399999999999999
replay,slowheat,task_aware_final_accuracy,2423,-0.3802
replay,slowheat,task_aware_final_accuracy,2729,-0.3208
replay,slowheat,task_aware_final_accuracy,3037,-0.2906000000000001
replay,slowheat,task_aware_forgetting,311,0.35949999999999993
replay,slowheat,task_aware_forgetting,617,0.34475000000000006
replay,slowheat,task_aware_forgetting,919,0.393
replay,slowheat,task_aware_forgetting,1223,0.35424999999999995
replay,slowheat,task_aware_forgetting,1523,0.407
replay,slowheat,task_aware_forgetting,1823,0.32299999999999995
replay,slowheat,task_aware_forgetting,2129,0.2789999999999999
replay,slowheat,task_aware_forgetting,2423,0.46775
replay,slowheat,task_aware_forgetting,2729,0.39224999999999993
replay,slowheat,task_aware_forgetting,3037,0.3544999999999999
replay,slowheat,classifier_gap,311,0.26759999999999995
replay,slowheat,classifier_gap,617,0.3165999999999999
replay,slowheat,classifier_gap,919,0.24000000000000016
replay,slowheat,classifier_gap,1223,0.26660000000000017
replay,slowheat,classifier_gap,1523,0.23040000000000016
replay,slowheat,classifier_gap,1823,0.29800000000000015
replay,slowheat,classifier_gap,2129,0.3397999999999999
replay,slowheat,classifier_gap,2423,0.16340000000000005
replay,slowheat,classifier_gap,2729,0.24080000000000001
replay,slowheat,classifier_gap,3037,0.28500000000000003
replay,slowheat,elapsed_seconds,311,1.5293341419892386
replay,slowheat,elapsed_seconds,617,1.4176214220060501
replay,slowheat,elapsed_seconds,919,1.494261565967463
replay,slowheat,elapsed_seconds,1223,1.4582492689951323
replay,slowheat,elapsed_seconds,1523,1.462832544988487
replay,slowheat,elapsed_seconds,1823,1.5337632199807558
replay,slowheat,elapsed_seconds,2129,1.5561705389991403
replay,slowheat,elapsed_seconds,2423,1.500016472011339
replay,slowheat,elapsed_seconds,2729,1.353731945011532
replay,slowheat,elapsed_seconds,3037,1.4574919970182236
replay,slowheat,learner_examples_processed,311,-40960.0
replay,slowheat,learner_examples_processed,617,-40960.0
replay,slowheat,learner_examples_processed,919,-40960.0
replay,slowheat,learner_examples_processed,1223,-40960.0
replay,slowheat,learner_examples_processed,1523,-40960.0
replay,slowheat,learner_examples_processed,1823,-40960.0
replay,slowheat,learner_examples_processed,2129,-40960.0
replay,slowheat,learner_examples_processed,2423,-40960.0
replay,slowheat,learner_examples_processed,2729,-40960.0
replay,slowheat,learner_examples_processed,3037,-40960.0
replay,slowheat,total_model_examples_processed,311,-40960.0
replay,slowheat,total_model_examples_processed,617,-40960.0
replay,slowheat,total_model_examples_processed,919,-40960.0
replay,slowheat,total_model_examples_processed,1223,-40960.0
replay,slowheat,total_model_examples_processed,1523,-40960.0
replay,slowheat,total_model_examples_processed,1823,-40960.0
replay,slowheat,total_model_examples_processed,2129,-40960.0
replay,slowheat,total_model_examples_processed,2423,-40960.0
replay,slowheat,total_model_examples_processed,2729,-40960.0
replay,slowheat,total_model_examples_processed,3037,-40960.0
replay,slowheat,estimated_total_flops,311,-57343137400.0
replay,slowheat,estimated_total_flops,617,-57343137400.0
replay,slowheat,estimated_total_flops,919,-57343137400.0
replay,slowheat,estimated_total_flops,1223,-57343137400.0
replay,slowheat,estimated_total_flops,1523,-57343137400.0
replay,slowheat,estimated_total_flops,1823,-57343137400.0
replay,slowheat,estimated_total_flops,2129,-57343137400.0
replay,slowheat,estimated_total_flops,2423,-57343137400.0
replay,slowheat,estimated_total_flops,2729,-57343137400.0
replay,slowheat,estimated_total_flops,3037,-57343137400.0
replay,slowheat,estimated_overhead_flops,311,349514120.0
replay,slowheat,estimated_overhead_flops,617,349514120.0
replay,slowheat,estimated_overhead_flops,919,349514120.0
replay,slowheat,estimated_overhead_flops,1223,349514120.0
replay,slowheat,estimated_overhead_flops,1523,349514120.0
replay,slowheat,estimated_overhead_flops,1823,349514120.0
replay,slowheat,estimated_overhead_flops,2129,349514120.0
replay,slowheat,estimated_overhead_flops,2423,349514120.0
replay,slowheat,estimated_overhead_flops,2729,349514120.0
replay,slowheat,estimated_overhead_flops,3037,349514120.0
replay,slowheat,replay_memory_bytes,311,-628800.0
replay,slowheat,replay_memory_bytes,617,-628800.0
replay,slowheat,replay_memory_bytes,919,-628800.0
replay,slowheat,replay_memory_bytes,1223,-628800.0
replay,slowheat,replay_memory_bytes,1523,-628800.0
replay,slowheat,replay_memory_bytes,1823,-628800.0
replay,slowheat,replay_memory_bytes,2129,-628800.0
replay,slowheat,replay_memory_bytes,2423,-628800.0
replay,slowheat,replay_memory_bytes,2729,-628800.0
replay,slowheat,replay_memory_bytes,3037,-628800.0
replay,slowheat,stored_logits_bytes,311,0.0
replay,slowheat,stored_logits_bytes,617,0.0
replay,slowheat,stored_logits_bytes,919,0.0
replay,slowheat,stored_logits_bytes,1223,0.0
replay,slowheat,stored_logits_bytes,1523,0.0
replay,slowheat,stored_logits_bytes,1823,0.0
replay,slowheat,stored_logits_bytes,2129,0.0
replay,slowheat,stored_logits_bytes,2423,0.0
replay,slowheat,stored_logits_bytes,2729,0.0
replay,slowheat,stored_logits_bytes,3037,0.0
replay,slowheat_beta_10,final_average_accuracy,311,-0.564
replay,slowheat_beta_10,final_average_accuracy,617,-0.5966
replay,slowheat_beta_10,final_average_accuracy,919,-0.5612
replay,slowheat_beta_10,final_average_accuracy,1223,-0.5594
replay,slowheat_beta_10,final_average_accuracy,1523,-0.562
replay,slowheat_beta_10,final_average_accuracy,1823,-0.5606
replay,slowheat_beta_10,final_average_accuracy,2129,-0.5723999999999999
replay,slowheat_beta_10,final_average_accuracy,2423,-0.5424
replay,slowheat_beta_10,final_average_accuracy,2729,-0.5604
replay,slowheat_beta_10,final_average_accuracy,3037,-0.5736000000000001
replay,slowheat_beta_10,average_forgetting,311,0.702
replay,slowheat_beta_10,average_forgetting,617,0.7469999999999999
replay,slowheat_beta_10,average_forgetting,919,0.6985
replay,slowheat_beta_10,average_forgetting,1223,0.693
replay,slowheat_beta_10,average_forgetting,1523,0.7025
replay,slowheat_beta_10,average_forgetting,1823,0.6992499999999999
replay,slowheat_beta_10,average_forgetting,2129,0.7104999999999999
replay,slowheat_beta_10,average_forgetting,2423,0.6772499999999999
replay,slowheat_beta_10,average_forgetting,2729,0.69875
replay,slowheat_beta_10,average_forgetting,3037,0.7164999999999999
replay,slowheat_beta_10,backward_transfer,311,-0.702
replay,slowheat_beta_10,backward_transfer,617,-0.7469999999999999
replay,slowheat_beta_10,backward_transfer,919,-0.6985
replay,slowheat_beta_10,backward_transfer,1223,-0.693
replay,slowheat_beta_10,backward_transfer,1523,-0.7025
replay,slowheat_beta_10,backward_transfer,1823,-0.6992499999999999
replay,slowheat_beta_10,backward_transfer,2129,-0.7104999999999999
replay,slowheat_beta_10,backward_transfer,2423,-0.6772499999999999
replay,slowheat_beta_10,backward_transfer,2729,-0.69875
replay,slowheat_beta_10,backward_transfer,3037,-0.7164999999999999
replay,slowheat_beta_10,forward_transfer,311,0.0
replay,slowheat_beta_10,forward_transfer,617,-0.000250000000000028
replay,slowheat_beta_10,forward_transfer,919,-0.0007500000000000007
replay,slowheat_beta_10,forward_transfer,1223,-0.0005000000000000004
replay,slowheat_beta_10,forward_transfer,1523,-0.0017500000000000016
replay,slowheat_beta_10,forward_transfer,1823,0.0
replay,slowheat_beta_10,forward_transfer,2129,-0.0007500000000000007
replay,slowheat_beta_10,forward_transfer,2423,0.0
replay,slowheat_beta_10,forward_transfer,2729,0.0
replay,slowheat_beta_10,forward_transfer,3037,-0.008250000000000004
replay,slowheat_beta_10,task_aware_final_accuracy,311,-0.24919999999999998
replay,slowheat_beta_10,task_aware_final_accuracy,617,-0.34960000000000013
replay,slowheat_beta_10,task_aware_final_accuracy,919,-0.34419999999999995
replay,slowheat_beta_10,task_aware_final_accuracy,1223,-0.2095999999999999
replay,slowheat_beta_10,task_aware_final_accuracy,1523,-0.24239999999999995
replay,slowheat_beta_10,task_aware_final_accuracy,1823,-0.24639999999999984
replay,slowheat_beta_10,task_aware_final_accuracy,2129,-0.30999999999999994
replay,slowheat_beta_10,task_aware_final_accuracy,2423,-0.36660000000000004
replay,slowheat_beta_10,task_aware_final_accuracy,2729,-0.2976000000000001
replay,slowheat_beta_10,task_aware_final_accuracy,3037,-0.30380000000000007
replay,slowheat_beta_10,task_aware_forgetting,311,0.30225
replay,slowheat_beta_10,task_aware_forgetting,617,0.433
replay,slowheat_beta_10,task_aware_forgetting,919,0.42225
replay,slowheat_beta_10,task_aware_forgetting,1223,0.25150000000000006
replay,slowheat_beta_10,task_aware_forgetting,1523,0.298
replay,slowheat_beta_10,task_aware_forgetting,1823,0.3025
replay,slowheat_beta_10,task_aware_forgetting,2129,0.377
replay,slowheat_beta_10,task_aware_forgetting,2423,0.45375
replay,slowheat_beta_10,task_aware_forgetting,2729,0.36525
replay,slowheat_beta_10,task_aware_forgetting,3037,0.37449999999999994
replay,slowheat_beta_10,classifier_gap,311,0.31479999999999997
replay,slowheat_beta_10,classifier_gap,617,0.2469999999999999
replay,slowheat_beta_10,classifier_gap,919,0.21700000000000008
replay,slowheat_beta_10,classifier_gap,1223,0.3498000000000001
replay,slowheat_beta_10,classifier_gap,1523,0.3196000000000001
replay,slowheat_beta_10,classifier_gap,1823,0.31420000000000026
replay,slowheat_beta_10,classifier_gap,2129,0.26239999999999997
replay,slowheat_beta_10,classifier_gap,2423,0.17579999999999996
replay,slowheat_beta_10,classifier_gap,2729,0.2627999999999999
replay,slowheat_beta_10,classifier_gap,3037,0.26980000000000004
replay,slowheat_beta_10,elapsed_seconds,311,1.3797711359802634
replay,slowheat_beta_10,elapsed_seconds,617,1.3995908589859027
replay,slowheat_beta_10,elapsed_seconds,919,1.561519058974227
replay,slowheat_beta_10,elapsed_seconds,1223,1.4566662050201558
replay,slowheat_beta_10,elapsed_seconds,1523,1.4520041700161528
replay,slowheat_beta_10,elapsed_seconds,1823,1.5415741879551206
replay,slowheat_beta_10,elapsed_seconds,2129,1.558022728015203
replay,slowheat_beta_10,elapsed_seconds,2423,1.4892197209701408
replay,slowheat_beta_10,elapsed_seconds,2729,1.3649963130010292
replay,slowheat_beta_10,elapsed_seconds,3037,1.457342197012622
