method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,task_aware_final_accuracy,task_aware_forgetting,classifier_gap,elapsed_seconds,learner_examples_processed,total_model_examples_processed,estimated_total_flops,estimated_overhead_flops,replay_memory_bytes,stored_logits_bytes
vanilla,0.1972,0.9915,-0.9915,-0.12475,0.5982,0.49024999999999996,0.40099999999999997,1.6420189359923825,102400,102400,144231628800,0,0,0
slowheat,0.1914,0.988,-0.988,-0.12475,0.7472,0.29324999999999996,0.5558,3.9369902279868256,102400,102400,144581142920,349514120,0,0
slowheat_beta_10,0.1928,0.98925,-0.98925,-0.12475,0.6712,0.39125,0.47840000000000005,3.9388424170028884,102400,102400,144581142920,349514120,0,0
slowheat_beta_30,0.1914,0.988,-0.988,-0.12475,0.7472,0.29324999999999996,0.5558,3.9108065300097223,102400,102400,144581142920,349514120,0,0
slowheat_beta_100,0.196,0.9875,-0.9875,-0.12475,0.7864,0.24949999999999997,0.5904,3.9078627770068124,102400,102400,144581142920,349514120,0,0
slowheat_adaptive,0.1908,0.98925,-0.98925,-0.12475,0.6991999999999999,0.35375,0.5084,3.8966827260155696,102400,102400,144581142920,349514120,0,0
slowheat_native_state,0.1948,0.9915,-0.9915,-0.12475,0.7974,0.23825000000000002,0.6026,3.539025642006891,102400,102400,144581142920,349514120,0,0
slowheat_unidirectional,0.1958,0.9914999999999999,-0.9914999999999999,-0.12475,0.7318,0.3215,0.536,3.8195842019922566,102400,102400,144581142920,349514120,0,0
slowheat_unbudgeted,0.193,0.9894999999999999,-0.9894999999999999,-0.12475,0.6683999999999999,0.39525,0.4753999999999999,3.8977667419821955,102400,102400,144581142920,349514120,0,0
slowheat_none,0.1972,0.9915,-0.9915,-0.12475,0.5982,0.49024999999999996,0.40099999999999997,3.883384731976548,102400,102400,144581128000,349499200,0,0
hard_freeze,0.1928,0.98675,-0.98675,-0.12475,0.6848,0.37175,0.492,3.755652590014506,102400,102400,144581142920,349514120,0,0
replay,0.7651999999999999,0.27875,-0.27875,-0.124,0.9812,0.014250000000000013,0.21600000000000008,2.3808196889876854,143360,143360,201924280320,0,628800,0
distillation,0.196,0.992,-0.992,-0.12475,0.8756,0.14250000000000002,0.6796,2.188640169973951,102400,184320,182693396480,0,0,0
slowheat_replay,0.7876,0.24275000000000002,-0.24275000000000002,-0.12475,0.9805999999999999,0.008750000000000008,0.19299999999999995,4.8420977809873875,143360,143360,202338347400,414067080,628800,0
slowheat_distillation,0.1928,0.9884999999999999,-0.9884999999999999,-0.12475,0.798,0.232,0.6052000000000001,4.41722231899621,102400,184320,183042910600,349514120,0,0
derpp,0.8300000000000001,0.19625,-0.19625,-0.12475,0.985,0.009750000000000009,0.15499999999999992,2.50085429000319,143360,143360,201924280320,0,628800,8000
slowheat_derpp_hidden_beta_30_budget_0.25,0.8536000000000001,0.15449999999999997,-0.15449999999999997,-0.12475,0.9790000000000001,0.013000000000000012,0.12539999999999996,4.29432411302696,143360,143360,202331580800,407300480,628800,8000
er_ace,0.6956,0.04874999999999999,0.35975,-0.12475,0.9778,0.017000000000000015,0.2822,2.5779747710039373,143360,143360,201924280320,0,628800,0
slowheat_er_ace_hidden_beta_30_budget_0.25,0.6981999999999999,0.048000000000000015,0.45175,-0.12475,0.9798,0.013250000000000012,0.2816000000000001,4.222350886993809,143360,143360,202331580800,407300480,628800,0
agem,0.2042,0.9834999999999999,-0.9834999999999999,-0.12475,0.9296000000000001,0.07675000000000001,0.7254,2.6934731880028266,143360,143360,201924280320,0,628800,0
ewc,0.1958,0.99075,-0.99075,-0.12475,0.6814,0.38375,0.48560000000000003,2.8372482389968354,102400,102400,144834778290,603149490,0,0
si,0.1976,0.99125,-0.99125,-0.12475,0.667,0.40449999999999997,0.46940000000000004,3.1221267269866075,102400,102400,145402655880,1171027080,0,0
lwf_calibrated,0.1974,0.99075,-0.99075,-0.12475,0.9579999999999999,0.04000000000000001,0.7605999999999998,2.187641160999192,102400,184320,182693396480,0,0,0
replay_balanced,0.7858,0.2507499999999999,-0.2507499999999999,-0.12475,0.9827999999999999,0.01100000000000001,0.19699999999999984,2.325123843009351,143360,143360,201924280320,0,628800,0
replay_more_epochs,0.7852,0.25225,-0.25225,-0.12475,0.9816,0.012250000000000011,0.19640000000000002,4.616751203982858,286720,286720,403848560640,0,628800,0
replay_early_stopping,0.7966,0.22449999999999998,-0.22449999999999998,-0.1245,0.9767999999999999,0.009999999999999981,0.18019999999999992,1.4829945630044676,88064,88064,124039200768,0,628800,0
replay_global_lr_reduction,0.658,0.38774999999999993,-0.38774999999999993,-0.11649999999999999,0.9719999999999999,0.0062500000000000056,0.31399999999999983,2.3452352059830446,143360,143360,201924280320,0,628800,0
slowheat_replay_hidden_beta_30_budget_0.25,0.7712,0.26649999999999996,-0.26649999999999996,-0.12475,0.9785999999999999,0.013749999999999984,0.20739999999999992,4.10887518900563,143360,143360,202331580800,407300480,628800,0
slowheat_hidden_beta_30_budget_0.25,0.1946,0.9914999999999999,-0.9914999999999999,-0.12475,0.6839999999999999,0.37975000000000003,0.48939999999999995,3.2484553290123586,102400,102400,144576014720,344385920,0,0
slowheat_replay_hidden_adaptive_beta_30_budget_0.25,0.7738,0.26349999999999996,-0.26349999999999996,-0.12475,0.9806000000000001,0.01150000000000001,0.2068000000000001,4.115375273977406,143360,143360,202331580800,407300480,628800,0
slowheat_replay_partial_output_beta_30_budget_0.25,0.7764,0.26099999999999995,-0.26099999999999995,-0.12475,0.9800000000000001,0.013000000000000012,0.20360000000000011,4.8330334890051745,143360,143360,202338347400,414067080,628800,0
slowheat_replay_hidden_beta_30_budget_0.25_calibrated,0.8496,0.15399999999999997,-0.15399999999999997,-0.12475,0.9785999999999999,0.013749999999999984,0.1289999999999999,4.205529180995654,143360,143360,202331580800,407300480,628800,0
