method,final_average_accuracy,average_forgetting,backward_transfer,forward_transfer,elapsed_seconds
vanilla,0.5416666666666666,0.609375,-0.609375,-0.09375,0.06544102798216045
reduced_lr,0.40625,0.234375,-0.21875,0.0,0.06520374899264425
slowheat_max,0.625,0.265625,-0.265625,-0.09375,0.1573915219923947
slowheat_mean,0.625,0.265625,-0.265625,-0.09375,0.1613328880048357
slowheat_sum,0.625,0.265625,-0.265625,-0.09375,0.15854396898066625
slowheat_none,0.5416666666666666,0.609375,-0.609375,-0.09375,0.15576907701324672
slowheat_max_native_state,0.59375,0.34375,-0.34375,-0.09375,0.15102596700307913
slowheat_max_unidirectional,0.6458333333333334,0.34375,-0.34375,-0.09375,0.15305569098563865
slowheat_max_unbudgeted,0.6145833333333334,0.265625,-0.265625,-0.09375,0.15507171000353992
slowheat_max_sgd,0.3854166666666667,0.21875,-0.21875,-0.015625,0.1180905120272655
slowheat_max_legacy_adamw,0.5833333333333334,0.5,-0.5,-0.09375,0.1044014040089678
